Sample,Dataset,Number,Latitude,Longitude,Date,Time,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,State.zone,Depth,Observer,Successful.count,Successful.length,FishnClipz,Maxn.checker,Left.cam,Right.cam,Rear.cam,Time.out,Video.notes,Raw.hdd.number,Con.hdd.number,Maxn.analyst,Maxn.complete.yyyymmdd,Notes,Habitat.image.saved,Habitat.backwards.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd
FH39,FH,39,-33.90368897,114.9313721,20201029,14:44:00,MBH,C.FH.18,South-west,Fished,,,44.8,Daphne,Yes,Yes,Y,Rachel,1205,1206,1209,15:51,,RAW4,,Daphne,20210112,FHWY,Yes,Yes,,,Rachel,20210210
FH40,FH,40,-33.92368897,114.8888721,20201029,12:40:00,MBH,C.FH.21,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.9,Daphne,Yes,No,Y,,369,370,1207,13:44,,RAW4,CON3,Daphne,20210304,L fail. FHWY.,,Yes,,,,
FH41,FH,41,-33.67118897,114.8388721,20201012,8:01:00,MBH,C.FH.1,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.1,Claude,Yes,Yes,Y,Brooke,367,368,1208,9:10,,RAW2,CON1/CON2,Claude,20210113,filmed 70 but 41,Yes,Yes,,,Rachel,20210225
FH42,FH,42,-33.88118897,114.8113721,20201013,7:38:00,MBH,C.FH.16,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.7,Hayley,Yes,Yes,Y,Claude,367,368,1208,8:45,,RAW2,CON1/CON2,Hayley ,20210110,kelp obstructing R cam,Yes,Yes,,,Claude,20210208
FH44,FH,44,-33.77118897,114.8638721,20201017,11:28:00,MBH,C.FH.10,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.3,Daphne,Yes,Yes,Y,Brooke,373,374,440,12:41,,RAW1,BU1,Daphne,20201211,,Yes,Yes,,,Rachel,20210128
FH45,FH,45,-33.69368897,114.7988721,20201012,10:39:00,MBH,C.FH.4,South-west,Fished,Special Purpose Zone (Mining Exclusion),,47.6,Claude,Yes,Yes,Y,Brooke,375,376,561,11:44,,RAW2,CON1/CON2,Claude,20210113,was 112 changed to 45. kelp obstructing hard to see fish feed,Yes,Yes,,,Rachel,20210225
FH46,FH,46,-33.76618897,114.9288721,20201017,9:28:00,MBH,C.FH.9,South-west,Fished,,,44.9,Daphne,Yes,Yes,Y,Brooke Gibbons,1201,1202,420,10:46,,RAW1,,Daphne    ,20201216,,Yes,Yes,,,Brooke Gibbons,20210219
FH47,FH,47,-33.90618897,114.8488721,20201013,8:09:00,MBH,C.FH.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.5,Hayley ,Yes,Yes,Y,Claude,378,377,562,9:26,,RAW2,CON1/CON2,Hayley ,20210108,,Yes,Yes,,,Claude,20210208
FH48,FH,48,-33.79618897,114.8138721,20201012,13:23:00,MBH,C.FH.12,South-west,Fished,Special Purpose Zone (Mining Exclusion),,48.5,Claude,Yes,reconvert R videos,Y,Brooke,372,371,563,14:45,,RAW2,CON1/CON2,Claude,20210114,Habitat images for 439 saved in 563 folder,Yes,No,,,Rachel,reconvert R video
FH49,FH,49,-33.92118897,114.9163721,20201029,13:00:00,MBH,C.FH.20,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.9,Daphne,Yes,Yes,Y,Rachel,1201,1202,420,14:16,,RAW4,,Daphne,20210112,FHWY,Yes,Yes,,,Rachel,20210210
FH5,FH,5,-33.69368897,114.9413721,20201017,8:46:00,MBH,C.FH.5,South-west,No-take,,Injidup Sanctuary Zone,44.5,Daphne,Yes,Yes,Y,Brooke/Rachel,369,370,1207,9:53,,RAW1,BU1,Daphne,20201202,,Yes,Yes,,,Rachel,20210121
FH50,FH,50,-33.68118897,114.9313721,20201017,6:51:00,MBH,C.FH.3,South-west,No-take,,Injidup Sanctuary Zone,44.6,Daphne,Yes,Yes,Y,Brooke Gibbons,1205,1206,1209,7:58,,RAW1,,Daphne,20201118,,Yes,Yes,,,Brooke Gibbons,20210224
FH51,FH,51,-33.90618897,114.8538721,20201013,8:06:00,MBH,C.FH.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43,Hayley ,Yes,Yes,Y,Claude,369,370,1207,9:20,,RAW2,CON1/CON2,Hayley ,20210108,,Yes,Yes,,,Claude,20210208
FH52,FH,52,-33.99118897,114.8888721,20201013,12:36:00,MBH,C.FH.24,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.1,Hayley ,Yes,Yes,Y,Claude,372,371,563,13:51,,RAW2,CON1/CON2,Hayley ,20210108,,Yes,Yes,,,Claude,20210209
FH54,FH,54,-33.76618897,114.9388721,20201017,9:20:00,MBH,C.FH.9,South-west,Fished,,,43.2,Daphne,Yes,No,Y,,372,371,563,10:33,,RAW1,CON1/CON2,Daphne,20210304,L372 card didn't record,,Yes,,,,
FH55,FH,55,-33.92368897,114.9088721,20201029,12:52:00,MBH,C.FH.20,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.9,Rachel ,Yes,Yes,Y,Claude,372,371,563,14:02,,RAW4,CON3,Rachel,20201222,FHWY. bolt fell off bruv on the way down ,Yes,Yes,,,Claude,20210121
FH56,FH,56,-33.83118897,114.8663721,20201012,15:31:00,MBH,C.FH.14,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.5,Claude,Yes,Yes,Y,Brooke,369,370,1207,16:42,,RAW2,CON1/CON2,Claude,20210114,,Yes,Yes,,,Rachel,20210225
FH57,FH,57,-33.78868897,114.8113721,20201012,13:12:00,MBH,C.FH.12,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.8,Claude,Yes,Yes,Y,Rachel,369,370,1207,14:27,,RAW2,CON1/CON2,Claude,20210114,,Yes,Yes,,,Rachel ,20210225
FH58,FH,58,-33.66368897,114.8413721,20201012,7:47:00,MBH,C.FH.1,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.1,Daphne,Yes,Yes,Y,Claude,373,374,440,8:55,,RAW2,CON1/CON2,Daphne,20210114,,Yes,Yes,,,Claude,20210208
FH59,FH,59,-33.66868897,114.8188721,20201012,8:32:00,MBH,C.FH.2,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.6,Claude,Yes,reconvert R videos,Y,Rachel,372,371,563,9:54,,RAW2,CON1/CON2,Claude,20210115,Habitat images for 439 saved in 563 folder,Yes,No,,,Rachel,reconvert R videos
FH6,FH,6,-33.70618897,114.8213721,20201012,10:50:00,MBH,C.FH.6,South-west,Fished,Special Purpose Zone (Mining Exclusion),,46,Daphne,Yes,Yes,Y,Rachel,369,370,1207,11:56,,RAW2,BU1,Daphne,20201221,rear camera turned off - Claude,Yes,No ,,,Rachel,20210125
FH60,FH,60,-33.81618897,114.8213721,20201012,15:14:00,MBH,C.FH.13,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.5,Claude,Yes,Yes,Y,Rachel,375,376,561,16:22,,RAW2,CON1/CON2,Claude,20210115,,Yes,Yes,,,Rachel,20210225
FH61,FH,61,-33.84118897,114.8638721,20201012,15:43:00,MBH,C.FH.14,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.9,Claude,Yes,Yes,Y,Brooke Gibbons,367,368,1208,17:02,,RAW2,CON1/CON2,Claude,20210115,,Yes,Yes,,,Brooke Gibbons,20210226
FH62,FH,62,-33.75618897,114.8813721,20201017,11:17:00,MBH,C.FH.8,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.1,Daphne,Yes,No,Y,,1205,1206,1209,12:26,,RAW1,,Daphne,20210311,Battery died after 20mins down,,Yes,,,,
FH63,FH,63,-33.67868897,114.8163721,20201012,8:20:00,MBH,C.FH.2,South-west,Fished,Special Purpose Zone (Mining Exclusion),,46.3,Claude,Yes,Yes,Y,Brooke Gibbons,378,377,562,9:33,,RAW2,CON1/CON2,Claude,20210114,"filmed 31 is 63, occy on bait",Yes,Yes,,,Brooke Gibbons,20210226
FH64,FH,64,-33.70118897,114.9388721,20201017,8:56:00,MBH,C.FH.5,South-west,No-take,,Injidup Sanctuary Zone,44.2,Daphne,Yes,Yes,Y,Claude,1203,1204,439,10:05,,RAW1,,Daphne,20201216,,Yes,Yes,,,Claude,20210225
FH65,FH,65,-33.71368897,114.8188721,20201012,10:59:00,MBH,C.FH.6,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.7,Daphne,Yes,Yes,Y,Claude,367,368,1208,12:14,,RAW2,CON1/CON2,Daphne,20210114,filmed 33 but changed to 65. left right labelled backwards. backwards cam switched off - Claude,Yes,No,,,Claude,20210211
FH66,FH,66,-33.90618897,114.9363721,20201029,14:40:00,MBH,C.FH.18,South-west,Fished,,,41.8,Daphne,Yes,Yes,Y,Rachel,1201,1202,420,15:44,,RAW4,,Daphne,20210112,FHWY,Yes,Yes,,,Rachel,20210211
FH67,FH,67,-33.88868897,114.9238721,20201029,15:00:00,MBH,C.FH.17,South-west,Fished,,,46.1,Rachel,Yes,Yes,Y,Claude,375,376,561,16:15,,RAW4,CON3,Rachel,20201231,FHWY. Light off. Very poor vis and high surge. light was on in video ,Yes,Yes,,,Claude,20210125
FH68,FH,68,-33.95118897,114.8288721,20201013,10:01:00,MBH,C.FH.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.5,Rachel,Yes,Yes,Y,Claude,369,370,1207,11:11,,RAW2,CON1/CON2,Rachel,20210303,piece of rope over right cam,Yes,Yes,,,Claude,20210304
FH69,FH,69,-33.69618897,114.8038721,20201012,10:43:00,MBH,C.FH.4,South-west,Fished,Special Purpose Zone (Mining Exclusion),,46.9,Ramesh,Yes,Yes,Y,Claude,378,377,562,11:48,,RAW2,CON1/CON2,Ramesh,20210106,left right labelled backwards,Yes,Yes,,,Claude,20210209
FH7,FH,7,-33.78368897,114.8788721,20201017,11:45:00,MBH,C.FH.11,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45,Daphne,Yes,Yes,Y,Brooke,369,370,1207,13:05,,RAW1,BU1,Daphne,20201202,L369 memory card error but recovered all files,Yes,Yes,,,Rachel,20210125
FH70,FH,70,-33.67368897,114.8463721,20201012,8:07:00,MBH,C.FH.1,South-west,Fished,Special Purpose Zone (Mining Exclusion),,48.6,Daphne,Yes,Yes,Y,Claude,369,370,1207,9:19,,RAW2,CON1/CON2,Daphne,20210114,shocking vis,Yes,Yes,,,Claude,20210208
FH71,FH,71,-33.88368897,114.8188721,20201013,7:30:00,MBH,C.FH.16,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.3,Daphne,Yes,Yes,Y,Brooke,1205,1206,1209,8:32,,RAW2,,Daphne,20210107,,Yes,Yes,,,Brooke Gibbons,20210119
FH72,FH,72,-33.88868897,114.9288721,20201029,15:06:00,MBH,C.FH.17,South-west,Fished,,,44.1,Rachel,Yes,Yes,Y,Claude,369,370,1207,16:23,,RAW4,CON3,Rachel,20201231,FHWY. Tangled at surface. ,Yes,Yes,,,Claude,20210125
FH74,FH,74,-33.73118897,114.8063721,20201012,12:47:00,MBH,C.FH.7,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.9,Daphne,Yes,Yes,Y,Claude,373,374,440,14:02,,RAW2,CON1/CON2,Daphne,20210114,filmed 84 SHOULD BE 74. dropped frames,Yes,Yes,,,Claude,20210211
FH77,FH,77,-33.99618897,114.8763721,20201013,12:42:00,MBH,C.FH.24,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42,Daphne,Yes,No,Y,,369,370,1207,14:00,,RAW2,CON1/CON2,Daphne,20210309,R was zoomed in,,Yes,,,,
FH78,FH,78,-33.89118897,114.9163721,20201029,14:56:00,MBH,C.FH.17,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.8,Rachel,Yes,Yes,Y,Claude,373,374,440,16:09,,RAW4,CON3,Rachel,20201231,FHWY,Yes,Yes,,,Claude,20210125
FH79,FH,79,-33.88618897,114.8088721,20201013,7:43:00,MBH,C.FH.16,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.9,Daphne,Yes,Yes,Y,Brooke,1201,1202,420,8:51,,RAW2,,Daphne,20210108,,Yes,Yes,,,Brooke Gibbons,20210121
FH8,FH,8,-33.72368897,114.8013721,20201012,12:34:00,MBH,C.FH.7,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.9,Daphne,Yes,Yes,Y,Rachel,1205,1206,1209,13:50,,RAW2,,Daphne,20210104,,Yes,Yes,,,Rachel ,20210203
FH82,FH,82,-33.68618897,114.9238721,20201017,6:46:00,MBH,C.FH.3,South-west,No-take,,Injidup Sanctuary Zone,44.8,Daphne,Yes,Yes,Y,Claude,1201,1202,420,7:52,,RAW1,,Daphne,20201214,EPIC shark,Yes,Yes,,,Claude,20210225
FH83,FH,83,-33.91118897,114.8463721,20201013,8:13:00,MBH,C.FH.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,40.9,Daphne,Yes,Yes,Y,Rachel,1203,1204,439,9:32,,RAW2,,Daphne,20210108,,Yes,Yes,,,Rachel,20210204
FH84,FH,84,-33.73368897,114.7988721,20201012,12:50:00,MBH,C.FH.7,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.6,Daphne,Yes,Yes,Y,Rachel,1201,1202,420,14:10,,RAW2,,Daphne,20210105,filmed 74 SHOULD BE 84,Yes,Yes,,,Rachel,20210204
FH85,FH,85,-33.92618897,114.9138721,20201029,12:55:00,MBH,C.FH.20,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.7,Daphne,Yes,Yes,Y,Rachel/Brooke Gibbons,1205,1206,1209,14:11,,RAW4,,Daphne,20210112,FHWY,Yes,Yes,,,Rachel/Brooke,20210218
FH87,FH,87,-33.92868897,114.8938721,20201029,12:36:00,MBH,C.FH.21,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.8,Rachel,Yes,Yes,Y,Claude,378,377,562,13:37,,RAW4,CON3,Rachel,20210103,No light,Yes,Yes,,,Claude,20210121
FH89,FH,89,-33.68618897,114.8013721,20201012,10:34:00,MBH,C.FH.4,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.7,Daphne,Yes,Yes,Y,Claude,372,371,563,11:38,,RAW2,CON1/CON2,Daphne,20210114,Habitat images for 439 saved in 563 folder,Yes,No,,,Claude,20210223
FH9,FH,9,-33.90118897,114.8513721,20201013,7:58:00,MBH,C.FH.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.6,Hayley,Yes,Yes,Y,Mystery,375,376,561,9:10,,RAW2,CON1/CON2,Hayley ,20210111,,Yes,Yes,,,Mystery,20210210
FH92,FH,92,-33.84368897,114.8713721,20201012,15:47:00,MBH,C.FH.14,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.2,Daphne,Yes,Yes,Y,Rachel,1205,1206,1209,17:08,,RAW2,,Daphne,20210106,,Yes,Yes,,,Rachel,20210205
FH93,FH,93,-33.77618897,114.8688721,20201017,11:33:00,MBH,C.FH.10,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.3,Daphne,Yes,Yes,Y,Claude,1203,1204,439,12:49,,RAW1,,Daphne,20201216,,Yes,Yes,,,Claude,20210225
FH94,FH,94,-33.90868897,114.9413721,20201029,14:36:00,MBH,C.FH.18,South-west,Fished,,,41.9,Rachel,Yes,Yes,Y,Claude,367,368,1208,15:37,,RAW4,CON3,Rachel,20210103,Poor vis. high surge,Yes,Yes,,,Claude,20210122
FH95,FH,95,-33.75868897,114.8913721,20201017,11:07:00,MBH,C.FH.8,South-west,Fished,Special Purpose Zone (Mining Exclusion),,46.8,Daphne,Yes,Yes,Y,Brooke/Rachel,367,368,1208,12:12,,RAW1,BU1,Daphne,20201210,,Yes,Yes,,,Rachel,20210126
