"Sample","Latitude","Longitude","Location","Status","Site","Depth","Observer.count","Successful.count","Successful.length","Observer.length","Date.time.utc"
"10.01",-22.67587323,113.5564085,"Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No","Charlotte Aston","2019-08-12T04:13:00Z"
"10.02",-22.67334399,113.5564085,"Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T04:19:00Z"
"10.03",-22.66874535,113.5628228,"Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T04:24:00Z"
"10.04",-22.6669059,113.5518948,"Ningaloo Marine Park",NA,"10","110","Charlotte Aston","No","No",NA,"2019-08-12T04:33:00Z"
"10.07",-22.67311405,113.5400165,"Ningaloo Marine Park",NA,"10","138","Charlotte Aston","No","No",NA,"2019-08-12T04:40:00Z"
"10.08",-22.67035488,113.5383536,"Ningaloo Marine Park",NA,"10","157","Charlotte Aston","No","No","Charlotte Aston","2019-08-12T04:46:00Z"
"10.09",-22.62918,113.55942,"Ningaloo Marine Park",NA,"10","160","Brooke Gibbons","Yes","Yes",NA,"2019-08-12T06:34:00Z"
"10.11",-22.61773,113.5636,"Ningaloo Marine Park",NA,"10","160","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T06:41:00Z"
"10.12",-22.59615,113.57775,"Ningaloo Marine Park",NA,"10","136","Brooke Gibbons","Yes","Yes",NA,"2019-08-12T07:20:00Z"
"10.13",-22.638,113.579,"Ningaloo Marine Park",NA,"10","78","Brooke Gibbons","Yes","Yes",NA,"2019-08-12T06:53:00Z"
"10.14",-22.624,113.5916667,"Ningaloo Marine Park",NA,"10","74","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:02:00Z"
"10.15",-22.6058333,113.594,"Ningaloo Marine Park",NA,"10","84","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:10:00Z"
"11.01",-22.54044354,113.6215013,"Ningaloo Marine Park",NA,"11","84","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:06:00Z"
"11.02",-22.5365347,113.6248272,"Ningaloo Marine Park",NA,"11","81","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:11:00Z"
"11.03",-22.53377552,113.6274404,"Ningaloo Marine Park",NA,"11","79","Charlotte Aston","No","No",NA,"2019-08-12T00:15:00Z"
"11.04",-22.52871703,113.6243521,"Ningaloo Marine Park",NA,"11","91","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:19:00Z"
"11.05",-22.52618778,113.6255399,"Ningaloo Marine Park",NA,"11","91","Charlotte Aston","No","No",NA,"2019-08-12T00:25:00Z"
"11.06",-22.52388847,113.6345674,"Ningaloo Marine Park",NA,"11","77","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:31:00Z"
"12.02",-22.46724,113.67504,"Ningaloo Marine Park",NA,"12","56","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:37:00Z"
"12.03",-22.46824503,113.6678265,"Ningaloo Marine Park",NA,"12","65","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:44:00Z"
"12.04",-22.46433619,113.6687767,"Ningaloo Marine Park",NA,"12","70","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:48:00Z"
"12.05",-22.4673253,113.6599868,"Ningaloo Marine Park",NA,"12","86","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:29:00Z"
"12.06",-22.46548585,113.6573736,"Ningaloo Marine Park",NA,"12","94","Charlotte Aston","No","No",NA,"2019-08-12T02:25:00Z"
"12.11",-22.48475,113.64333,"Ningaloo Marine Park",NA,"12","100","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:14:00Z"
"13.02",-22.40386419,113.7058369,"Ningaloo Marine Park",NA,"13","69","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:32:00Z"
"13.03",-22.39903562,113.7013231,"Ningaloo Marine Park",NA,"13","83","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:52:00Z"
"13.04",-22.39765604,113.6972845,"Ningaloo Marine Park",NA,"13","92","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:48:00Z"
"13.05",-22.40087508,113.6932459,"Ningaloo Marine Park",NA,"13","96","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:43:00Z"
"13.06",-22.40478391,113.6922957,"Ningaloo Marine Park",NA,"13","94.5","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:39:00Z"
"13.08",-22.39328734,113.7039364,"Ningaloo Marine Park",NA,"13","85","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:56:00Z"
"14.01",-22.32524,113.72408,"Ningaloo Marine Park",NA,"14","96","Charlotte Aston","Yes","Yes",NA,"2019-08-12T06:46:00Z"
"14.02",-22.30284,113.73251,"Ningaloo Marine Park",NA,"14","101","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:12:00Z"
"14.03",-22.27651,113.74266,"Ningaloo Marine Park",NA,"14","109","Charlote Aston","No","No",NA,"2019-08-12T07:25:00Z"
"14.06",-22.17832,113.79046,"Ningaloo Marine Park",NA,"14","100","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:12:00Z"
"14.11",-22.3266667,113.7371667,"Ningaloo Marine Park",NA,"14","75","Charlotte Aston","Yes","Yes",NA,"2019-08-12T06:53:00Z"
"14.12",-22.3071667,113.746,"Ningaloo Marine Park",NA,"14","82","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:05:00Z"
"14.13",-22.2866667,113.7416667,"Ningaloo Marine Park",NA,"14","101","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:20:00Z"
"15.01",-22.17344,113.7915,"Ningaloo Marine Park",NA,"15","100","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:16:00Z"
"15.02",-22.16882,113.7941,"Ningaloo Marine Park",NA,"15","100","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:20:00Z"
"15.05",-22.16173,113.78335,"Ningaloo Marine Park",NA,"15","122","Charlotte Aston","No","No",NA,"2019-08-12T00:27:00Z"
"15.07",-22.13639,113.79163,"Ningaloo Marine Park",NA,"15","116","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:43:00Z"
"15.12",-22.14381158,113.7899349,"Ningaloo Marine Park",NA,"15","110","Charlotte Aston","Yes","Yes",NA,"2019-08-12T00:39:00Z"
"16.01",-22.12155,113.80074,"Ningaloo Marine Park",NA,"18","101","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:22:00Z"
