"Sample","Latitude","Longitude","Location","Status","Site","Depth","Observer.count","Successful.count","Successful.length","Observer.length","Date.time.utc"
"npz9.22",-27.1537,113.1413,"NPZ9","No-take","npz9.22","102","Molly","Y","Y","Claude","2021-05-15T02:34:00Z"
"npz9.2",-27.1411,113.1465,"NPZ9","No-take","npz9.2","92.1","Molly","Y","Y","Claude","2021-05-15T02:52:00Z"
"npz9.14",-27.1438,113.1364,"NPZ9","No-take","npz9.14","101","Molly","Y","Y","Claude","2021-05-15T02:56:00Z"
"npz9.3",-27.1312,113.1239,"NPZ9","No-take","npz9.3","104","Molly","Y","Y","Claude","2021-05-15T03:04:00Z"
"npz9.8",-27.1261,113.1189,"NPZ9","No-take","npz9.8","105","Molly","Y","Y","Claude","2021-05-15T03:08:00Z"
"npz9.24",-27.1311,113.1067,"NPZ9","No-take","npz9.24","117","Molly","Y","Y","Claude","2021-05-15T03:14:00Z"
"npz9.21",-27.1362,113.1014,"NPZ9","No-take","npz9.21","122","Molly","Y","Y","Claude","2021-05-15T03:26:00Z"
"npz9.16",-27.1187,113.109,"NPZ9","No-take","npz9.16","108","Molly","Y","Y","Claude","2021-05-15T05:16:00Z"
"npz9.27",-27.1164,113.1014,"NPZ9","No-take","npz9.27","114","Molly","Y","Y","Claude","2021-05-15T05:21:00Z"
"npz9.13",-27.1113,113.1038,"NPZ9","No-take","npz9.13","109","Molly","Y","Y","Claude","2021-05-15T05:27:00Z"
"npz9.17",-27.1012,113.0913,"NPZ9","No-take","npz9.17","114","Molly","Y","Y","Claude","2021-05-15T05:37:00Z"
"npz9.1",-27.0962,113.0863,"NPZ9","No-take","npz9.1","116","Molly","Y","Y","Claude","2021-05-15T05:43:00Z"
"npz9.28",-27.1013,113.0538,"NPZ9","No-take","npz9.28","132","Molly","Y","Y","Claude","2021-05-15T05:57:00Z"
"npz9.18",-27.1236,113.0664,"NPZ9","No-take","npz9.18","132","Molly","Y","Y","Claude","2021-05-15T06:08:00Z"
"npz9.25",-27.1462,113.074,"NPZ9","No-take","npz9.25","133","Molly","Y","Y","Claude","2021-05-15T06:17:00Z"
"npz9.4",-27.1163,113.1139,"NPZ9","No-take","npz9.4","104","Molly","Y","N","N/A","2021-05-15T05:11:00Z"
