"campaignid","sample","latitude","longitude","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward"
"2023-03_SwC_stereo-BRUVs","8","-34.090365","114.838835","18/03/2023 2:56",NA,NA,"47.2","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","46","-34.09568833","114.83982","18/03/2023 3:01",NA,NA,"46.3","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","39","-34.11577","114.7936983","18/03/2023 4:44",NA,NA,"64.3","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","31","-34.11714167","114.7880917","18/03/2023 4:48",NA,NA,"66.1","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","19","-34.12047","114.7822167","18/03/2023 5:01",NA,NA,"73.6","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","47","-34.11413167","114.7804383","18/03/2023 5:05",NA,NA,"73","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","22","-34.110025","114.7779333","18/03/2023 5:10",NA,NA,"78","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","6","-34.097395","114.7766617","18/03/2023 5:17",NA,NA,"71.3","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","7","-34.09623","114.7854017","18/03/2023 5:24",NA,NA,"62.7","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","45","-34.10723","114.7893333","18/03/2023 5:31",NA,NA,"61.9","Henry Evans","Sharnae Watson","Yes","Yes","Yes","Yes"
