"campaignid","sample","family","genus","species","length","range","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward","ZoneName","longitude","latitude","status"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",124.70871,"1718.10034","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",113.71198,"1699.24276","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",132.24485,"1717.56615","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",139.41289,"2252.66345","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",305.78657,"1970.69600","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",138.32862,"2292.97199","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",117.08355,"1150.96413","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",106.74427,"1652.04910","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",130.20514,"1806.14799","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",137.03567,"1633.42924","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",115.81068,"1538.85814","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
