Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
175,20210321,16:35:00,17:38:00,-115.619003,Tas Fracture,175,No-take,-43.72203295,146.2704362,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
171,20210321,16:39:00,17:42:00,-115.258003,Tas Fracture,171,No-take,-43.72069716,146.2733366,,,,,1258,1259,,,,Shenae,,,Yes,,,Yes,,
176,20210321,16:43:00,17:47:00,-109.757004,Tas Fracture,176,No-take,-43.71684641,146.2762672,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
173,20210321,16:45:00,17:53:00,-103.335999,Tas Fracture,173,No-take,-43.71625996,146.2753129,,,,,406,407,,,,Shenae,,,Yes,,,Yes,,
178,20210320,17:04:00,18:15:00,-87.58,Tas Fracture (Ref),178,Fished,-43.71140016,146.226493,,,,,282,283,,,,ashlee b,,,Yes,,,No,,
179,20210321,08:28:00,09:49:00,-83.23,Tas Fracture (Ref),179,Fished,-43.70414269,146.2366962,lost bait bag?,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
180,20210321,09:10:00,10:28:00,-68.76,Tas Fracture (Ref),180,Fished,-43.71483219,146.1930804,,,,,286,287,,,,Shenae,,,Yes,,,Yes,,
181,20210321,08:38:00,09:55:00,-62.58,Tas Fracture (Ref),181,Fished,-43.70669947,146.2235204,might be labelled 1257-1258 on clapper??,,,,1258,1259,,,,Shenae,,,Yes,,,Yes,,
182,20210320,17:11:00,18:20:00,-89.43,Tas Fracture (Ref),182,Fished,-43.7122499,146.2317905,406 Fail,,,,406,407,,,,Shenae,,,Yes,,,No,,
183,20210321,10:16:00,11:27:00,-86.47,Tas Fracture (Ref),183,Fished,-43.71757827,146.2074533,,,,,406,407,,,,Shenae,,,Yes,,,Yes,,
184,20210321,10:15:00,11:20:00,-76.32,Tas Fracture (Ref),184,Fished,-43.71395748,146.213568,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
185,20210321,08:27:00,09:42:00,-93.76,Tas Fracture (Ref),185,Fished,-43.70498524,146.2409823,,,,,406,407,,,,Shenae,,,Yes,,,Yes,,
186,20210321,09:02:00,10:20:00,-68.16,Tas Fracture (Ref),186,Fished,-43.71267361,146.2044846,,,,,282,283,,,,ashlee b,,,Yes,,,Yes,,
187,20210321,08:44:00,10:00:00,-59.6,Tas Fracture (Ref),187,Fished,-43.70726682,146.2171941,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
201,20210321,14:47:00,15:52:00,-139.98,Tas Fracture (Ref),201,Fished,-43.72638333,146.21385,,,,,282,283,,,,ashlee b,,,Yes,,,No,,
202,20210321,10:51:00,11:54:00,-130.47,Tas Fracture (Ref),202,Fished,-43.7262198,146.1876783,286 failed,,,,286,287,,,,ashlee b,,,Yes,,,No,,
