Dot Point Measurements

Generated: Thursday 26 October 2023 09:18:05

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		404	192											2023-03_SwC_stereo-BRUVs	yes	17	1													89.9
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		673	192											2023-03_SwC_stereo-BRUVs	yes	17	1					Relief	High	Wall	4			82003007		89.9
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		942	192											2023-03_SwC_stereo-BRUVs	yes	17	1					Relief	High	Wall	4			82003007		100.0
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		135	576											2023-03_SwC_stereo-BRUVs	yes	17	1													64.2
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		404	576											2023-03_SwC_stereo-BRUVs	yes	17	1													46.9
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		673	576											2023-03_SwC_stereo-BRUVs	yes	17	1					Relief	High	Wall	4			82003007		46.9
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		942	576											2023-03_SwC_stereo-BRUVs	yes	17	1					Relief	High	Wall	4			82003007		64.2
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		135	959											2023-03_SwC_stereo-BRUVs	yes	17	1													46.5
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		404	959											2023-03_SwC_stereo-BRUVs	yes	17	1													15.5
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		673	959											2023-03_SwC_stereo-BRUVs	yes	17	1					Relief	High	Wall	4			82003007		15.5
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		942	959											2023-03_SwC_stereo-BRUVs	yes	17	1					Relief	High	Wall	4			82003007		46.5
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		135	1343											2023-03_SwC_stereo-BRUVs	yes	17	1													64.2
