level_2	level_3	level_4	level_5	scientific	qualifiers
Cnidaria	Corals	Stony corals	Corymbose		
Cnidaria	Corals	Stony corals	Corymbose		Alive
Cnidaria	Corals	Stony corals	Corymbose		Recruit
Cnidaria	Corals	Stony corals	Corymbose		Bleached
Cnidaria	Corals	Stony corals	Corymbose		Dead
Cnidaria	Corals	Stony corals	Corymbose		Recently dead
Cnidaria	Corals	Stony corals	Digitate		
Cnidaria	Corals	Stony corals	Digitate		Alive
Cnidaria	Corals	Stony corals	Digitate		Recruit
Cnidaria	Corals	Stony corals	Digitate		Bleached
Cnidaria	Corals	Stony corals	Digitate		Dead
Cnidaria	Corals	Stony corals	Digitate		Recently dead
Cnidaria	Corals	Stony corals	Encrusting		
Cnidaria	Corals	Stony corals	Encrusting		Alive
Cnidaria	Corals	Stony corals	Encrusting		Recruit
Cnidaria	Corals	Stony corals	Encrusting		Bleached
Cnidaria	Corals	Stony corals	Encrusting		Dead
Cnidaria	Corals	Stony corals	Encrusting		Recently dead
Cnidaria	Corals	Stony corals	Foliose / plate		
Cnidaria	Corals	Stony corals	Foliose / plate		Alive
Cnidaria	Corals	Stony corals	Foliose / plate		Recruit
Cnidaria	Corals	Stony corals	Foliose / plate		Bleached
Cnidaria	Corals	Stony corals	Foliose / plate		Dead
Cnidaria	Corals	Stony corals	Foliose / plate		Recently dead
Cnidaria	Corals	Stony corals	Massive		
Cnidaria	Corals	Stony corals	Massive		Alive
Cnidaria	Corals	Stony corals	Massive		Recruit
Cnidaria	Corals	Stony corals	Massive		Bleached
Cnidaria	Corals	Stony corals	Massive		Dead
Cnidaria	Corals	Stony corals	Massive		Recently dead
Cnidaria	Corals	Stony corals	Solitary		
Cnidaria	Corals	Stony corals	Solitary		Alive
Cnidaria	Corals	Stony corals	Solitary		Recruit
Cnidaria	Corals	Stony corals	Solitary		Bleached
Cnidaria	Corals	Stony corals	Solitary		Dead
Cnidaria	Corals	Stony corals	Solitary		Recently dead
Cnidaria	Corals	Stony corals	Staghorn		
Cnidaria	Corals	Stony corals	Staghorn		Alive
Cnidaria	Corals	Stony corals	Staghorn		Recruit
Cnidaria	Corals	Stony corals	Staghorn		Bleached
Cnidaria	Corals	Stony corals	Staghorn		Dead
Cnidaria	Corals	Stony corals	Staghorn		Recently dead
Cnidaria	Corals	Stony corals	Sub-massive		
Cnidaria	Corals	Stony corals	Sub-massive		Alive
Cnidaria	Corals	Stony corals	Sub-massive		Recruit
Cnidaria	Corals	Stony corals	Sub-massive		Bleached
Cnidaria	Corals	Stony corals	Sub-massive		Dead
Cnidaria	Corals	Stony corals	Sub-massive		Recently dead
Cnidaria	Corals	Stony corals	Tabulate		
Cnidaria	Corals	Stony corals	Tabulate		Alive
Cnidaria	Corals	Stony corals	Tabulate		Recruit
Cnidaria	Corals	Stony corals	Tabulate		Bleached
Cnidaria	Corals	Stony corals	Tabulate		Dead
Cnidaria	Corals	Stony corals	Tabulate		Recently dead
Cnidaria	Corals				
Cnidaria	Corals				Alive
Cnidaria	Corals				Recruit
Cnidaria	Corals				Bleached
Cnidaria	Corals				Dead
Cnidaria	Corals				Recently dead
Cnidaria	Hydrocorals	Branching			
Cnidaria	Hydrocorals	Submassive / encrusting			
Cnidaria	Hydrocorals				
Cnidaria	Hydroids				
Cnidaria	True anemones	Flytrap			
Cnidaria	True anemones	Fourlobed			
Cnidaria	True anemones	Other anemones			
Cnidaria	True anemones				
Cnidaria	Tube anemones				
Cnidaria					
Crustacea	Barnacles	Acorn			
Crustacea	Barnacles	Stalked			
Crustacea	Barnacles				
Crustacea	Crabs	King crabs			
Crustacea	Crabs	Porcelain crabs			
Crustacea	Crabs	True crabs			
Crustacea	Crabs				
Crustacea	Hermit crabs	With anemones			
Crustacea	Hermit crabs	With shell or stone home 			
Crustacea	Hermit crabs				
Crustacea	Lobsters	Rock lobsters			
Crustacea	Lobsters	Slipper lobsters / bugs			
Crustacea	Lobsters	Squat lobsters			
Crustacea	Lobsters	True lobsters			
Crustacea	Lobsters				
Crustacea	Prawns / shrimps / mysids				
Crustacea					
Echinoderms	Feather stars	Stalked crinoids			
Echinoderms	Feather stars	Unstalked crinoids			
Echinoderms	Feather stars				
Echinoderms	Ophiuroids	Basket stars			
Echinoderms	Ophiuroids	Brittle / snake stars			
Echinoderms	Ophiuroids				
Echinoderms	Sea cucumbers	Benthic			
Echinoderms	Sea cucumbers	Pelagic / swimming			
Echinoderms	Sea cucumbers				
Echinoderms	Sea stars				
Echinoderms	Sea urchins	Irregular urchins			
Echinoderms	Sea urchins	Regular urchins			
Echinoderms	Sea urchins				
Echinoderms					
Fishes	Bony fishes				
Fishes	Eels				
Fishes	Elasmobranchs	Chimaeras			
Fishes	Elasmobranchs	Rays & skates			
Fishes	Elasmobranchs	Sharks			
Fishes	Elasmobranchs				
Fishes					
Jellies	Ctenophores				
Jellies	Cubozoa				
Jellies	Hydromedusae				
Jellies	Pyrosomes				
Jellies	Salps				
Jellies	Scyphozoa				
Jellies	Siphonophores				
Jellies					
Macroalgae	Articulated calcareous	Green			
Macroalgae	Articulated calcareous	Green			Drift
Macroalgae	Articulated calcareous	Green			No epiphytes
Macroalgae	Articulated calcareous	Green			Epiphytes algae
Macroalgae	Articulated calcareous	Green			Epiphytes other
Macroalgae	Articulated calcareous	Red			
Macroalgae	Articulated calcareous	Red			Drift
Macroalgae	Articulated calcareous	Red			No epiphytes
Macroalgae	Articulated calcareous	Red			Epiphytes algae
Macroalgae	Articulated calcareous	Red			Epiphytes other
Macroalgae	Articulated calcareous				
Macroalgae	Articulated calcareous				Drift
Macroalgae	Articulated calcareous				No epiphytes
Macroalgae	Articulated calcareous				Epiphytes algae
Macroalgae	Articulated calcareous				Epiphytes other
Macroalgae	Encrusting	Brown			
Macroalgae	Encrusting	Green			
Macroalgae	Encrusting	Red			
Macroalgae	Encrusting	Red	Calcareous		
Macroalgae	Encrusting	Red	Non-calcareous		
Macroalgae	Encrusting				
Macroalgae	Erect coarse branching	Brown			
Macroalgae	Erect coarse branching	Brown			Drift
Macroalgae	Erect coarse branching	Brown			No epiphytes
Macroalgae	Erect coarse branching	Brown			Epiphytes algae
Macroalgae	Erect coarse branching	Brown			Epiphytes other
Macroalgae	Erect coarse branching	Green			
Macroalgae	Erect coarse branching	Green			Drift
Macroalgae	Erect coarse branching	Green			No epiphytes
Macroalgae	Erect coarse branching	Green			Epiphytes algae
Macroalgae	Erect coarse branching	Green			Epiphytes other
Macroalgae	Erect coarse branching	Red			
Macroalgae	Erect coarse branching	Red			Drift
Macroalgae	Erect coarse branching	Red			No epiphytes
Macroalgae	Erect coarse branching	Red			Epiphytes algae
Macroalgae	Erect coarse branching	Red			Epiphytes other
Macroalgae	Erect coarse branching				
Macroalgae	Erect coarse branching				Drift
Macroalgae	Erect coarse branching				No epiphytes
Macroalgae	Erect coarse branching				Epiphytes algae
Macroalgae	Erect coarse branching				Epiphytes other
Macroalgae	Erect fine branching	Brown			
