sample,type,longitude,latitude,date,time,time.out,site,location,status,depth,observer,maxn.complete.yyyymmdd,maxn.checker,successful.count,successful.length,left.cam,right.cam,rear.cam,video.notes,raw.hd,con.hd,forward.habitat.image.saved,backward.habitat.image.saved,habitat.classification,length.analyst,length.complete.date.yyyymmdd,notes
8.01,new,113.5497567,-22.71266228,14082019,10:00:00,11:02:00,8,Ningaloo Marine Park,NA,87,Charlotte Aston,20190925,Todd,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,
8.02,new,113.5559334,-22.70277523,14082019,10:06:00,11:12:00,8,Ningaloo Marine Park,NA,76,Charlotte Aston,20190926,Todd - Go back for lamark+others for pictures,Yes,Yes,372,371,564,"Great habitat, massive grouper - good for cool clips, tiger on backwards photo",1,1,Yes,Yes,20200304,Charlotte Aston,20191205,Measurements accepted with high RMS. Sea fan covering right camera so very few actually measurements
8.05,legacy,113.57994,-22.7017,14082019,10:31:00,11:52:00,8,Ningaloo Marine Park,NA,63,Charlotte Aston,20191001,Todd - blennidae sp1,Yes,Yes,373,374,439,Dragged by whale,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,
8.06,legacy,113.58157,-22.69621,14082019,10:27:00,11:45:00,8,Ningaloo Marine Park,NA,61,Charlotte Aston,20191001,Todd,Yes,Yes,369,370,422,Lil hammer,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,
8.07,legacy,113.57783,-22.69542,14082019,10:23:00,11:38:00,8,Ningaloo Marine Park,NA,63,Charlotte Aston,20191004,Todd,Yes,Yes,367,368,440,Big red. Go back and check the grandoculis/griseus,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,
8.12,new,113.547381,-22.69932625,14082019,10:11:00,11:22:00,8,Ningaloo Marine Park,NA,95,Charlotte Aston,20191007,Todd,Yes,Yes,375,376,420,Lights turned off,1,1,Yes,Yes,20200304,Charlotte Aston,20200312,
9.01,new,113.5359779,-22.70139564,13082019,11:16:00,12:51:00,9,Ningaloo Marine Park,NA,?,Charlotte Aston,20191007,Todd - Can't measure macrorhinus,Yes,Yes,373,374,439,3.1 also in the raw folder Left,1,1,Yes,Yes,20200304,Charlotte Aston,20200312,
9.02,new,113.5214865,-22.7025453,13082019,11:00:00,12:14:00,9,Ningaloo Marine Park,NA,?,Todd Bond,20190902,,Yes,Yes,378,377,423,Converted wrong. Drops Frames.,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,
9.05,new,113.5248124,-22.69150858,13082019,11:05:00,12:28:00,9,Ningaloo Marine Park,NA,?,Charlotte Aston,20191007,Todd,No ,No,367,368,440,Flipped on back,1,1,Yes,Yes,20200304,Charlotte Aston,20200312,
9.06,new,113.5319393,-22.6931181,13082019,11:10:00,12:40:00,9,Ningaloo Marine Park,NA,?,Todd Bond,20190903,,Yes,Yes,369,370,422,Bait almost gone at 30 mins. Converted wrong. Drops Frames.,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,
9.07,new,113.5255251,-22.71082283,13082019,10:52:00,12:05:00,9,Ningaloo Marine Park,NA,?,Todd Bond,20190902,,Yes,Yes,372,371,564,Check shark. DROP FRAMES ? Light on backwards not working. Bait runs low quickly and almost gone at 30 mins. Converted wrong. Drops Frames.,1,1,Yes,Yes,20200305,Charlotte Aston,20200316,
9.08,new,113.5136468,-22.71220242,13082019,10:45:00,11:55:00,9,Ningaloo Marine Park,NA,?,Todd Bond,20190902,,Yes,Yes,375,376,420,Converted wrong. Drops Frames.,1,1,Yes,Yes,20200305,,NA,Still converted wrong 
10.01,new,113.5564085,-22.67587323,14082019,12:13:00,13:15:00,10,Ningaloo Marine Park,NA,93,Charlotte Aston,20191114,Todd,Yes,No,373,374,439,Shark flips BRUV,1,1,Yes,Yes,20200305,Charlotte Aston,20200312,
10.02,new,113.5564085,-22.67334399,14082019,12:19:00,13:23:00,10,Ningaloo Marine Park,NA,95,Charlotte Aston,20191008,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200305,Charlotte Aston,20200312,
10.03,new,113.5628228,-22.66874535,14082019,12:24:00,13:31:00,10,Ningaloo Marine Park,NA,88,Charlotte Aston,20191010,Todd,Yes,Yes,367,368,440,Backwards image ridge. Really cool drop. Tim should show this one.,1,1,Yes,Yes,20200305,Charlotte Aston,20200312,
10.04,new,113.5518948,-22.6669059,14082019,12:33:00,13:42:00,10,Ningaloo Marine Park,NA,110,Charlotte Aston,20191008,,No ,No ,375,376,420,This was on the raw hard drive but had no labsheet entry. Flipped on its side at 36 minutes,1,1,Yes,Yes,20200305,,NA,
10.07,new,113.5400165,-22.67311405,14082019,12:40:00,13:55:00,10,Ningaloo Marine Park,NA,138,Charlotte Aston,20191010,,No ,No ,372,371,564,Flipped at 30 mins,1,1,Yes,Yes,20200305,,NA,
10.08,new,113.5383536,-22.67035488,14082019,12:46:00,14:05:00,10,Ningaloo Marine Park,NA,157,Charlotte Aston,20191010,,No ,No ,378,377,423,Flipped at 27 mins,1,1,Yes,Yes,20200305,Charlotte Aston,20200316,
10.09,legacy,113.55942,-22.62918,14082019,14:34:00,16:05:00,10,Ningaloo Marine Park,NA,160,Brooke Gibbons,20190911,Todd - need to check shark,Yes,Yes,378,377,423,Converted wrong. ,2,1,Yes,Yes,20200305,,NA,Still converted wrong
10.11,legacy,113.5636,-22.61773,14082019,14:41:00,15:52:00,10,Ningaloo Marine Park,NA,160,Brooke Gibbons,20190925,,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200316,
10.12,legacy,113.57775,-22.59615,14082019,15:20:00,16:58:00,10,Ningaloo Marine Park,NA,136,Brooke Gibbons,20190925,,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,,NA,
10.13,new,113.579,-22.638,14082019,14:53:00,16:24:00,10,Ningaloo Marine Park,NA,78,Brooke Gibbons,20191010,,Yes,Yes,367,368,440,extra site - picked by Tim - good habitat. Skipped frames,2,2,Yes,Yes,20200305,,NA,
10.14,new,113.5916667,-22.624,14082019,15:02:00,16:36:00,10,Ningaloo Marine Park,NA,74,Charlotte Aston,20191015,,Yes,Yes,369,370,422,extra site - picked by Tim,2,2,Yes,Yes,20200305,,NA,
10.15,new,113.594,-22.6058333,14082019,15:10:00,16:47:00,10,Ningaloo Marine Park,NA,84,Charlotte Aston,20191015,,Yes,Yes,373,374,439,extra site - picked by Tim,2,2,Yes,Yes,20200305,,NA,
11.01,new,113.6215013,-22.54044354,15082019,8:06:00,9:12:00,11,Ningaloo Marine Park,NA,84,Charlotte Aston,20191114,,Yes,Yes,375,376,420,Cloudy day,2,2,Yes,Yes,20200305,,NA,
11.02,new,113.6248272,-22.5365347,15082019,8:11:00,9:18:00,11,Ningaloo Marine Park,NA,81,Charlotte Aston,20191016,,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,,NA,
11.03,new,113.6274404,-22.53377552,15082019,8:15:00,9:24:00,11,Ningaloo Marine Park,NA,79,Charlotte Aston,20191016,,No,No ,369,370,422,Flipped after 50 mins,2,2,Yes,Yes,20200305,,NA,
11.04,new,113.6243521,-22.52871703,15082019,8:19:00,9:32:00,11,Ningaloo Marine Park,NA,91,Charlotte Aston,20191017,,Yes,Yes,367,368,440,Bad vis. Bouncing. Sand bar,2,2,Yes,Yes,20200305,,NA,
11.05,new,113.6255399,-22.52618778,15082019,8:25:00,9:39:00,11,Ningaloo Marine Park,NA,91,Charlotte Aston,20191017,,No ,No,378,377,423,Flipped on back 40 in,2,2,Yes,Yes,20200305,,NA,
11.06,new,113.6345674,-22.52388847,15082019,8:31:00,9:47:00,11,Ningaloo Marine Park,NA,77,Charlotte Aston,20191017,,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,,NA,
12.02,legacy,113.67504,-22.46724,15082019,10:37:00,12:02:00,12,Ningaloo Marine Park,NA,56,Charlotte Aston,20190830,Brooke,Yes,Yes,369,370,422,Converted wrong. ,2,1,Yes,Yes,20200305,Charlotte Aston,20200303,
12.03,new,113.6678265,-22.46824503,15082019,10:44:00,11:49:00,12,Ningaloo Marine Park,NA,65,Charlotte Aston,20191022,,Yes,Yes,373,374,439,Changed from 12.08 to 12.03,2,2,Yes,Yes,20200305,,NA,
12.04,new,113.6687767,-22.46433619,15082019,10:48:00,11:56:00,12,Ningaloo Marine Park,NA,70,Charlotte Aston,20191022,,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,,NA,
12.05,new,113.6599868,-22.4673253,15082019,10:29:00,11:43:00,12,Ningaloo Marine Park,NA,86,Charlotte Aston,20191022,,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,,NA,
12.06,new,113.6573736,-22.46548585,15082019,10:25:00,11:35:00,12,Ningaloo Marine Park,NA,94,Charlotte Aston,20191022,,No ,No,378,377,423,Flipped on side,2,2,Yes,Yes,20200305,,NA,
