Dot Point Measurements

Generated: Wednesday 18 October 2023 11:31:17

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		2021	3644													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		139	197													20120319-1	60													100.0
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		408	197													20120319-1	60					Relief	High	High (>3m)	3			82003006		94.2
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		677	197													20120319-1	60					Relief	High	High (>3m)	3			82003006		90.1
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		946	197													20120319-1	60					Relief	High	High (>3m)	3			82003006		88.0
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		1214	197													20120319-1	60													88.0
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		1483	197													20120319-1	60					Relief	High	High (>3m)	3			82003006		90.1
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		1752	197													20120319-1	60					Relief	High	High (>3m)	3			82003006		94.2
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		2021	197													20120319-1	60					Relief	High	High (>3m)	3			82003006		100.0
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		139	580													20120319-1	60													83.4
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		408	580													20120319-1	60					Relief	High	High (>3m)	3			82003006		76.4
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		677	580													20120319-1	60					Relief	High	High (>3m)	3			82003006		71.3
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		946	580													20120319-1	60					Relief	High	High (>3m)	3			82003006		68.6
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		1214	580													20120319-1	60													68.6
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		1483	580													20120319-1	60					Relief	High	High (>3m)	3			82003006		71.3
20120319-1_60_02_20230319_TOP_1_0001_0001.mp4_0068954.jpg	      0		1752	580													20120319-1	60					Relief	High	High (>3m)	3			82003006		76.4
