Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
15.07,113.79163,-22.13639,20190812,8:43:00,15,Ningaloo Marine Park,NA,116,Charlotte Aston,Yes,Yes,
15.12,113.7899349,-22.14381158,20190812,8:39:00,15,Ningaloo Marine Park,NA,110,Charlotte Aston,Yes,Yes,
16.01,113.80074,-22.12155,20190812,10:22:00,18,Ningaloo Marine Park,NA,101,Charlotte Aston,Yes,Yes,
16.02,113.79192,-22.11624,20190812,10:28:00,16,Ningaloo Marine Park,NA,145,Charlotte Aston,Yes,Yes,
16.03,113.7967,-22.10669,20190812,10:39:00,16,Ningaloo Marine Park,NA,190,Charlotte Aston,Yes,Yes,
16.04,113.8081,-22.09742,20190812,10:48:00,16,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes,
16.05,113.82563,-22.0856,20190812,11:00:00,16,Ningaloo Marine Park,NA,85,Charlotte Aston,Yes,Yes,
17.08,113.8193929,-22.0943763,20190812,10:53:00,17,Ningaloo Marine Park,NA,90,Charlotte Aston,Yes,Yes,
18.01,113.812266,-22.06954369,20190812,12:33:00,18,Ningaloo Marine Park,NA,91,Charlotte Aston,Yes,Yes,
18.02,113.8120284,-22.06517499,20190812,12:38:00,18,Ningaloo Marine Park,NA,91,Charlotte Aston,Yes,Yes,
18.03,113.8082274,-22.06563485,20190812,12:46:00,18,Ningaloo Marine Park,NA,117,Charlotte Aston,Yes,Yes,
18.04,113.810603,-22.06172601,20190812,12:50:00,18,Ningaloo Marine Park,NA,134,Charlotte Aston,Yes,Yes,Charlotte Aston
18.07,113.8281828,-22.06264574,20190812,12:54:00,18,Ningaloo Marine Park,NA,109,Charlotte Aston,Yes,Yes,
18.08,113.823194,-22.0725328,20190812,12:58:00,18,Ningaloo Marine Park,NA,96,Charlotte Aston,Yes,Yes,
19.01,113.82289,-22.01347,20190812,14:42:00,19,Ningaloo Marine Park,NA,107,Charlotte Aston,Yes,Yes,
