Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
IO374,-33.98618897,114.7463721,20201015,7:31:00,C.IO.25,South-west,Fished,72.9,Hayley,Yes,Yes,Claude
FH9,-33.90118897,114.8513721,20201013,7:58:00,C.FH.19,South-west,Fished,43.6,Hayley,Yes,Yes,Mystery
IO267,-34.02618897,114.7638721,20201015,8:11:00,C.IO.23,South-west,Fished,62.5,,No,No,
FH10,-33.98618897,114.8863721,20201013,12:32:00,C.FH.24,South-west,Fished,42.9,Hayley,Yes,Yes,Rachel
FH42,-33.88118897,114.8113721,20201013,7:38:00,C.FH.16,South-west,Fished,45.7,Hayley,Yes,Yes,Claude
IO3,-34.07618897,114.7838721,20201015,12:03:00,C.IO.43,South-west,No-take,62,Hayley ,Yes,Yes,Claude
IO80,-34.09368897,114.8888721,20201016,10:30:00,C.IO.52,South-west,No-take,41.6,Hayley ,Yes,Yes,Claude
IO81,-34.09868897,114.8913721,20201016,10:20:00,C.IO.52,South-west,No-take,42,Hayley ,Yes,Yes,Claude
IO91,-34.09368897,114.8938721,20201016,10:25:00,C.IO.52,South-west,No-take,43.5,Hayley ,Yes,Yes,Claude
IO123,-34.10618897,114.8188721,20201015,12:42:00,C.IO.59,South-west,No-take,49.1,Hayley ,Yes,Yes,Daphne
IO125,-34.10868897,114.8263721,20201015,12:38:00,C.IO.59,South-west,No-take,55.8,Hayley ,Yes,Yes,Daphne
IO132,-33.99118897,114.8713721,20201013,12:47:00,C.IO.37,South-west,Fished,42.6,Hayley ,Yes,Yes,Daphne
IO145,-33.98618897,114.8238721,20201013,10:24:00,C.IO.22,South-west,Fished,45.5,Hayley ,Yes,Yes,Daphne
IO152,-33.98118897,114.8688721,20201013,12:18:00,C.IO.37,South-west,Fished,41.2,Hayley ,Yes,Yes,Daphne
IO155,-34.04368897,114.8838721,20201016,7:42:00,C.IO.65,South-west,Fished,41.9,Hayley ,Yes,Yes,Claude
IO164,-34.03368897,114.9038721,20201016,7:14:00,C.IO.62,South-west,Fished,44.1,Hayley ,Yes,Yes,Daphne
IO165,-34.04368897,114.8988721,20201016,7:23:00,C.IO.62,South-west,Fished,42.6,Hayley ,Yes,Yes,Ramesh/Claude
IO184,-34.04118897,114.9038721,20201016,7:19:00,C.IO.62,South-west,Fished,45.9,Hayley ,Yes,Yes,Ramesh/Brooke
IO201,-34.05618897,114.8338721,20201015,14:46:00,C.IO.5,South-west,No-take,45.3,Hayley ,Yes,Yes,Ramesh/Claude
IO204,-34.06618897,114.7863721,20201015,10:35:00,C.IO.7,South-west,No-take,61.5,Hayley ,Yes,Yes,Ramesh/Claude
IO210,-34.09118897,114.8738721,20201016,10:09:00,C.IO.6,South-west,No-take,43.5,Hayley ,Yes,Yes,Ramesh/Claude
IO215,-34.06868897,114.9263721,20201016,12:34:00,C.IO.2,South-west,No-take,46.7,Hayley ,Yes,Yes,Ramesh/Claude
