"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"56","Amblyapistus binotatus","Amblyapistus","binotatus",NA,"Ablabys binotatus","Ablabys","binotatus","Tetrarogidae","Tetrarogidae"
"57","Amblyapistus marleyi","Amblyapistus","marleyi",NA,"Ablabys binotatus","Ablabys","binotatus","Tetrarogidae","Tetrarogidae"
"58","Apistus binotatus","Apistus","binotatus",NA,"Ablabys binotatus","Ablabys","binotatus","Tetrarogidae","Tetrarogidae"
"59","Amblyapistus macracanthus","Amblyapistus","macracanthus",NA,"Ablabys macracanthus","Ablabys","macracanthus","Tetrarogidae","Tetrarogidae"
"60","Apistus macracanthus","Apistus","macracanthus",NA,"Ablabys macracanthus","Ablabys","macracanthus","Tetrarogidae","Tetrarogidae"
"61","Ablabys taenionotus","Ablabys","taenionotus","misspelling","Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"62","Ambliapistus taenionotus","Ambliapistus","taenionotus","misspelling","Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"63","Amblyapistus slacksmithi","Amblyapistus","slacksmithi",NA,"Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"64","Amblyapistus taenianotus","Amblyapistus","taenianotus",NA,"Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"65","Amblyapistus taenionotris","Amblyapistus","taenionotris",NA,"Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"66","Amblyapistus taenionotus","Amblyapistus","taenionotus","misspelling","Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"67","Apistus taenianotus","Apistus","taenianotus",NA,"Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"68","Apistus taenionotus","Apistus","taenionotus","misspelling","Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
