"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"389","Sparus chrysopterus","Sparus","chrysopterus",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"390","Sparus latus","Sparus","latus",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"391","Acanthopagrus morrisoni","Acanthopagrus","morrisoni",NA,"Acanthopagrus morrisonae","Acanthopagrus","morrisonae","Sparidae","Sparidae"
"392","Roughleyia palmaris","Roughleyia","palmaris",NA,"Acanthopagrus palmaris","Acanthopagrus","palmaris","Sparidae","Sparidae"
"393","Acanthopagrus schlegeli","Acanthopagrus","schlegeli","misspelling","Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"394","Acanthopagrus schlegelii czerskii","Acanthopagrus","schlegelii czerskii","subspecies not recognized","Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"395","Acanthopagrus schlegelii schlegelii","Acanthopagrus","schlegelii schlegelii","subspecies not recognized","Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"396","Acanthopagrus swinhonis czerskii","Acanthopagrus","swinhonis czerskii",NA,"Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"397","Chrysophrys schlegelii","Chrysophrys","schlegelii",NA,"Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"398","Mylio macrocephalus","Mylio","macrocephalus",NA,"Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"399","Pagrus macrocephalus","Pagrus","macrocephalus",NA,"Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"400","Sparus macrocephalus","Sparus","macrocephalus",NA,"Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"401","Sparus macrocephalus czerskii","Sparus","macrocephalus czerskii",NA,"Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"402","Sparus swinhonis czerskii","Sparus","swinhonis czerskii",NA,"Acanthopagrus schlegelii","Acanthopagrus","schlegelii","Sparidae","Sparidae"
"403","Chrysophrys estuarius","Chrysophrys","estuarius","synonym","Acanthopagrus vagus","Acanthopagrus","vagus","Sparidae","Sparidae"
"404","Chrysophrys vagus","Chrysophrys","vagus","synonym","Acanthopagrus vagus","Acanthopagrus","vagus","Sparidae","Sparidae"
"405","Pagrus caffer","Pagrus","caffer","synonym","Acanthopagrus vagus","Acanthopagrus","vagus","Sparidae","Sparidae"
"406","Sparus vagus","Sparus","vagus",NA,"Acanthopagrus vagus","Acanthopagrus","vagus","Sparidae","Sparidae"
"407","Acanthoclinus indicus","Acanthoclinus","indicus",NA,"Acanthoplesiops indicus","Acanthoplesiops","indicus","Plesiopidae","Plesiopidae"
"408","Neacanthopsis gracilentus","Neacanthopsis","gracilentus",NA,"Acanthopsoides gracilentus","Acanthopsoides","gracilentus","Cobitidae","Cobitidae"
"409","Acanthorhodeus asmussi sungariensis","Acanthorhodeus","asmussi sungariensis","junior synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"410","Acanthorhodeus atranalis","Acanthorhodeus","atranalis","synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"411","Acanthorhodeus gracilis","Acanthorhodeus","gracilis","synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"412","Acanthorhodeus tokunagai","Acanthorhodeus","tokunagai",NA,"Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"413","Acanthorhodeus wangi","Acanthorhodeus","wangi","synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"414","Acheilognathus bleekeri","Acheilognathus","bleekeri","junior synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"415","Acheilognathus chankaensis","Acheilognathus","chankaensis",NA,"Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"416","Achilognathus chankaensis","Achilognathus","chankaensis",NA,"Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"417","Devario chankaensis","Devario","chankaensis","synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"418","Paracheilognathus bleekeri","Paracheilognathus","bleekeri","synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"419","Parachilognathus imberbis","Parachilognathus","imberbis","synonym","Acanthorhodeus chankaensis","Acanthorhodeus","chankaensis","Cyprinidae","Cyprinidae"
"420","Cocotropus dezwaani","Cocotropus","dezwaani",NA,"Acanthosphex leurynnis","Acanthosphex","leurynnis","Aploactinidae","Aploactinidae"
"421","Prosopodasys leurynnis","Prosopodasys","leurynnis",NA,"Acanthosphex leurynnis","Acanthosphex","leurynnis","Aploactinidae","Aploactinidae"
"422","Acanthostracion guineensis","Acanthostracion","guineensis",NA,"Acanthostracion guineense","Acanthostracion","guineense","Ostraciidae","Ostraciidae"
"423","Lactophrys guineensis","Lactophrys","guineensis",NA,"Acanthostracion guineense","Acanthostracion","guineense","Ostraciidae","Ostraciidae"
"424","Ostracion guineense","Ostracion","guineense",NA,"Acanthostracion guineense","Acanthostracion","guineense","Ostraciidae","Ostraciidae"
"425","Ostracion guineensis","Ostracion","guineensis",NA,"Acanthostracion guineense","Acanthostracion","guineense","Ostraciidae","Ostraciidae"
"426","Ostracion guineënsis","Ostracion","guineënsis",NA,"Acanthostracion guineense","Acanthostracion","guineense","Ostraciidae","Ostraciidae"
"427","Lactophrys notacanthus","Lactophrys","notacanthus",NA,"Acanthostracion notacanthus","Acanthostracion","notacanthus","Ostraciidae","Ostraciidae"
"428","Ostracion notacanthus","Ostracion","notacanthus",NA,"Acanthostracion notacanthus","Acanthostracion","notacanthus","Ostraciidae","Ostraciidae"
"429","Ostracion quadricornis notacanthus","Ostracion","quadricornis notacanthus",NA,"Acanthostracion notacanthus","Acanthostracion","notacanthus","Ostraciidae","Ostraciidae"
"430","Acanthostracion poligonos","Acanthostracion","poligonos","misspelling","Acanthostracion polygonium","Acanthostracion","polygonium","Ostraciidae","Ostraciidae"
"431","Acanthostracion polygonia","Acanthostracion","polygonia","misspelling","Acanthostracion polygonium","Acanthostracion","polygonium","Ostraciidae","Ostraciidae"
"432","Acanthostracion polygonius","Acanthostracion","polygonius",NA,"Acanthostracion polygonium","Acanthostracion","polygonium","Ostraciidae","Ostraciidae"
"433","Lactophrys polygonia","Lactophrys","polygonia",NA,"Acanthostracion polygonium","Acanthostracion","polygonium","Ostraciidae","Ostraciidae"
"434","Lactophrys polygonius","Lactophrys","polygonius","misspelling","Acanthostracion polygonium","Acanthostracion","polygonium","Ostraciidae","Ostraciidae"
"435","Lactophrys saxatilis","Lactophrys","saxatilis",NA,"Acanthostracion polygonium","Acanthostracion","polygonium","Ostraciidae","Ostraciidae"
"436","Acanthostracion tricornis","Acanthostracion","tricornis",NA,"Acanthostracion quadricornis","Acanthostracion","quadricornis","Ostraciidae","Ostraciidae"
"437","Lactophrys quadricornis","Lactophrys","quadricornis",NA,"Acanthostracion quadricornis","Acanthostracion","quadricornis","Ostraciidae","Ostraciidae"
"438","Lactophrys tricornis","Lactophrys","tricornis",NA,"Acanthostracion quadricornis","Acanthostracion","quadricornis","Ostraciidae","Ostraciidae"
"439","Ostracion quadricornis","Ostracion","quadricornis",NA,"Acanthostracion quadricornis","Acanthostracion","quadricornis","Ostraciidae","Ostraciidae"
"440","Ostracion tricornis","Ostracion","tricornis",NA,"Acanthostracion quadricornis","Acanthostracion","quadricornis","Ostraciidae","Ostraciidae"
"441","Acanthurus achillas","Acanthurus","achillas","misspelling","Acanthurus achilles","Acanthurus","achilles","Acanthuridae","Acanthuridae"
"442","Acanthurus aterrimus","Acanthurus","aterrimus",NA,"Acanthurus achilles","Acanthurus","achilles","Acanthuridae","Acanthuridae"
"443","Hepatus achilles","Hepatus","achilles",NA,"Acanthurus achilles","Acanthurus","achilles","Acanthuridae","Acanthuridae"
"444","Hepatus aterrimus","Hepatus","aterrimus",NA,"Acanthurus achilles","Acanthurus","achilles","Acanthuridae","Acanthuridae"
"445","Teuthis achilles","Teuthis","achilles",NA,"Acanthurus achilles","Acanthurus","achilles","Acanthuridae","Acanthuridae"
"446","Teuthis aterrimus","Teuthis","aterrimus",NA,"Acanthurus achilles","Acanthurus","achilles","Acanthuridae","Acanthuridae"
"447","Hepatus bahianus","Hepatus","bahianus",NA,"Acanthurus bahianus","Acanthurus","bahianus","Acanthuridae","Acanthuridae"
"448","Teuthis bahianus","Teuthis","bahianus",NA,"Acanthurus bahianus","Acanthurus","bahianus","Acanthuridae","Acanthuridae"
"449","Acanthurus barine","Acanthurus","barine",NA,"Acanthurus bariene","Acanthurus","bariene","Acanthuridae","Acanthuridae"
"450","Acanthurus kingii","Acanthurus","kingii",NA,"Acanthurus bariene","Acanthurus","bariene","Acanthuridae","Acanthuridae"
"451","Acanthurus nummifer","Acanthurus","nummifer",NA,"Acanthurus bariene","Acanthurus","bariene","Acanthuridae","Acanthuridae"
"452","Hepatus bariene","Hepatus","bariene",NA,"Acanthurus bariene","Acanthurus","bariene","Acanthuridae","Acanthuridae"
"453","Rhombotides nummifer","Rhombotides","nummifer",NA,"Acanthurus bariene","Acanthurus","bariene","Acanthuridae","Acanthuridae"
"454","Acanthurus chirurgicus","Acanthurus","chirurgicus","misspelling","Acanthurus chirurgus","Acanthurus","chirurgus","Acanthuridae","Acanthuridae"
"455","Acanthurus phlebotomus","Acanthurus","phlebotomus",NA,"Acanthurus chirurgus","Acanthurus","chirurgus","Acanthuridae","Acanthuridae"
"456","Chaetodon chirurgus","Chaetodon","chirurgus",NA,"Acanthurus chirurgus","Acanthurus","chirurgus","Acanthuridae","Acanthuridae"
"457","Acanthurus brevis","Acanthurus","brevis",NA,"Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"458","Acanthurus broussonnetii","Acanthurus","broussonnetii",NA,"Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"459","Acanthurus caeruleus","Acanthurus","caeruleus","misspelling","Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"460","Acanthurus coerulus","Acanthurus","coerulus","misspelling","Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"461","Acanthurus heliodes","Acanthurus","heliodes","misspelling","Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"462","Acanthurus violaceus","Acanthurus","violaceus",NA,"Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"463","Acronurus caeruleatus","Acronurus","caeruleatus",NA,"Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"464","Hepatus caeruleus","Hepatus","caeruleus","misspelling","Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"465","Hepatus pawnee","Hepatus","pawnee",NA,"Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"466","Teuthis coeruleus","Teuthis","coeruleus",NA,"Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"467","Teuthis helioides","Teuthis","helioides",NA,"Acanthurus coeruleus","Acanthurus","coeruleus","Acanthuridae","Acanthuridae"
"468","Acanthurus dussumiere","Acanthurus","dussumiere","misspelling","Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"469","Acanthurus dussumierri","Acanthurus","dussumierri","misspelling","Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"470","Acanthurus lamarrii","Acanthurus","lamarrii",NA,"Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"471","Acanthurus undulatus","Acanthurus","undulatus",NA,"Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"472","Hepatus dussumieri","Hepatus","dussumieri",NA,"Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"473","Rhombotides dussumieri","Rhombotides","dussumieri",NA,"Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"474","Rhombotides lamarrii","Rhombotides","lamarrii",NA,"Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"475","Teuthis dussumieri","Teuthis","dussumieri",NA,"Acanthurus dussumieri","Acanthurus","dussumieri","Acanthuridae","Acanthuridae"
"476","Acanthurus gahm","Acanthurus","gahm","misspelling","Acanthurus gahhm","Acanthurus","gahhm","Acanthuridae","Acanthuridae"
"477","Chaetodon nigrofuscus gahhm","Chaetodon","nigrofuscus gahhm",NA,"Acanthurus gahhm","Acanthurus","gahhm","Acanthuridae","Acanthuridae"
"478","Harpurus guttatus","Harpurus","guttatus",NA,"Acanthurus guttatus","Acanthurus","guttatus","Acanthuridae","Acanthuridae"
"479","Hepatus guttatus","Hepatus","guttatus",NA,"Acanthurus guttatus","Acanthurus","guttatus","Acanthuridae","Acanthuridae"
"480","Rhombotides guttatus","Rhombotides","guttatus",NA,"Acanthurus guttatus","Acanthurus","guttatus","Acanthuridae","Acanthuridae"
"481","Teuthis guttatus","Teuthis","guttatus",NA,"Acanthurus guttatus","Acanthurus","guttatus","Acanthuridae","Acanthuridae"
"482","Zabrasoma guttatus","Zabrasoma","guttatus",NA,"Acanthurus guttatus","Acanthurus","guttatus","Acanthuridae","Acanthuridae"
"483","Acanthurus japonica","Acanthurus","japonica","misspelling","Acanthurus japonicus","Acanthurus","japonicus","Acanthuridae","Acanthuridae"
"484","Acanthurus japonicas","Acanthurus","japonicas","misspelling","Acanthurus japonicus","Acanthurus","japonicus","Acanthuridae","Acanthuridae"
"485","Hepatus aliala japonicus","Hepatus","aliala japonicus",NA,"Acanthurus japonicus","Acanthurus","japonicus","Acanthuridae","Acanthuridae"
"486","Acanthurus leucochilus","Acanthurus","leucochilus",NA,"Acanthurus leucocheilus","Acanthurus","leucocheilus","Acanthuridae","Acanthuridae"
"487","Acanthurus leuocheilus","Acanthurus","leuocheilus","misspelling","Acanthurus leucocheilus","Acanthurus","leucocheilus","Acanthuridae","Acanthuridae"
"488","Acanthurus leuococheilus","Acanthurus","leuococheilus","misspelling","Acanthurus leucocheilus","Acanthurus","leucocheilus","Acanthuridae","Acanthuridae"
"489","Acanthurus melanosternon","Acanthurus","melanosternon",NA,"Acanthurus leucocheilus","Acanthurus","leucocheilus","Acanthuridae","Acanthuridae"
"490","Hepatus leucopareius","Hepatus","leucopareius",NA,"Acanthurus leucopareius","Acanthurus","leucopareius","Acanthuridae","Acanthuridae"
"491","Hepatus umbra","Hepatus","umbra",NA,"Acanthurus leucopareius","Acanthurus","leucopareius","Acanthuridae","Acanthuridae"
"492","Teuthis bishopi","Teuthis","bishopi",NA,"Acanthurus leucopareius","Acanthurus","leucopareius","Acanthuridae","Acanthuridae"
"493","Teuthis leucopareius","Teuthis","leucopareius",NA,"Acanthurus leucopareius","Acanthurus","leucopareius","Acanthuridae","Acanthuridae"
"494","Teuthis umbra","Teuthis","umbra",NA,"Acanthurus leucopareius","Acanthurus","leucopareius","Acanthuridae","Acanthuridae"
"495","Acanthurus delisiani","Acanthurus","delisiani",NA,"Acanthurus leucosternon","Acanthurus","leucosternon","Acanthuridae","Acanthuridae"
"496","Acanthurus delisianus","Acanthurus","delisianus",NA,"Acanthurus leucosternon","Acanthurus","leucosternon","Acanthuridae","Acanthuridae"
"497","Acanthurus leucosternum","Acanthurus","leucosternum","misspelling","Acanthurus leucosternon","Acanthurus","leucosternon","Acanthuridae","Acanthuridae"
"498","Hepatus leucosternon","Hepatus","leucosternon",NA,"Acanthurus leucosternon","Acanthurus","leucosternon","Acanthuridae","Acanthuridae"
"499","Rhombotides leucosternon","Rhombotides","leucosternon",NA,"Acanthurus leucosternon","Acanthurus","leucosternon","Acanthuridae","Acanthuridae"
"500","Acanthurus vittatus","Acanthurus","vittatus",NA,"Acanthurus lineatus","Acanthurus","lineatus","Acanthuridae","Acanthuridae"
"501","Chaetodon lineatus","Chaetodon","lineatus",NA,"Acanthurus lineatus","Acanthurus","lineatus","Acanthuridae","Acanthuridae"
"502","Ctenodon lineatus","Ctenodon","lineatus",NA,"Acanthurus lineatus","Acanthurus","lineatus","Acanthuridae","Acanthuridae"
"503","Harpurus lineatus","Harpurus","lineatus",NA,"Acanthurus lineatus","Acanthurus","lineatus","Acanthuridae","Acanthuridae"
"504","Hepatus lineatus","Hepatus","lineatus",NA,"Acanthurus lineatus","Acanthurus","lineatus","Acanthuridae","Acanthuridae"
"505","Rhombotides lineatus","Rhombotides","lineatus",NA,"Acanthurus lineatus","Acanthurus","lineatus","Acanthuridae","Acanthuridae"
"506","Teuthis lineatus","Teuthis","lineatus",NA,"Acanthurus lineatus","Acanthurus","lineatus","Acanthuridae","Acanthuridae"
"507","Hepatus maculiceps","Hepatus","maculiceps",NA,"Acanthurus maculiceps","Acanthurus","maculiceps","Acanthuridae","Acanthuridae"
"508","Acanthurus aurolineatus","Acanthurus","aurolineatus",NA,"Acanthurus mata","Acanthurus","mata","Acanthuridae","Acanthuridae"
"509","Acanthurus bleekeri","Acanthurus","bleekeri",NA,"Acanthurus mata","Acanthurus","mata","Acanthuridae","Acanthuridae"
"510","Acanthurus weberi","Acanthurus","weberi",NA,"Acanthurus mata","Acanthurus","mata","Acanthuridae","Acanthuridae"
"511","Chaetodon mata","Chaetodon","mata",NA,"Acanthurus mata","Acanthurus","mata","Acanthuridae","Acanthuridae"
"512","Chaetodon meta","Chaetodon","meta","misspelling","Acanthurus mata","Acanthurus","mata","Acanthuridae","Acanthuridae"
"513","Hepatus weberi","Hepatus","weberi",NA,"Acanthurus mata","Acanthurus","mata","Acanthuridae","Acanthuridae"
"514","Acanthurus monrovie","Acanthurus","monrovie",NA,"Acanthurus monroviae","Acanthurus","monroviae","Acanthuridae","Acanthuridae"
"515","Teuthis munroviae","Teuthis","munroviae",NA,"Acanthurus monroviae","Acanthurus","monroviae","Acanthuridae","Acanthuridae"
"516","Acanthurus aliala","Acanthurus","aliala",NA,"Acanthurus nigricans","Acanthurus","nigricans","Acanthuridae","Acanthuridae"
"517","Acanthurus glaucoparecius","Acanthurus","glaucoparecius","misspelling","Acanthurus nigricans","Acanthurus","nigricans","Acanthuridae","Acanthuridae"
"518","Acanthurus glaucopareius","Acanthurus","glaucopareius",NA,"Acanthurus nigricans","Acanthurus","nigricans","Acanthuridae","Acanthuridae"
"519","Chaetodon nigricans","Chaetodon","nigricans",NA,"Acanthurus nigricans","Acanthurus","nigricans","Acanthuridae","Acanthuridae"
"520","Hepatus aliala","Hepatus","aliala",NA,"Acanthurus nigricans","Acanthurus","nigricans","Acanthuridae","Acanthuridae"
"521","Acanthurus gahm nigricauda","Acanthurus","gahm nigricauda",NA,"Acanthurus nigricauda","Acanthurus","nigricauda","Acanthuridae","Acanthuridae"
"522","Acanthurus nigricauada","Acanthurus","nigricauada",NA,"Acanthurus nigricauda","Acanthurus","nigricauda","Acanthuridae","Acanthuridae"
"523","Acanthurus nigricaudus","Acanthurus","nigricaudus","misspelling","Acanthurus nigricauda","Acanthurus","nigricauda","Acanthuridae","Acanthuridae"
"524","Acanthurus fuliginosus","Acanthurus","fuliginosus",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"525","Acanthurus lineolatus","Acanthurus","lineolatus",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"526","Acanthurus matoides","Acanthurus","matoides",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"527","Acanthurus rubropunctatus","Acanthurus","rubropunctatus",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"528","Chaetodon nigrofuscus","Chaetodon","nigrofuscus",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"529","Ctenodon rubropunctatus","Ctenodon","rubropunctatus",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"530","Hepatus fuliginosus","Hepatus","fuliginosus",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"531","Hepatus lineolatus","Hepatus","lineolatus",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"532","Hepatus lucillae","Hepatus","lucillae",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"533","Teuthis lucillae","Teuthis","lucillae",NA,"Acanthurus nigrofuscus","Acanthurus","nigrofuscus","Acanthuridae","Acanthuridae"
"534","Acanthurus atramentatus","Acanthurus","atramentatus",NA,"Acanthurus nigroris","Acanthurus","nigroris","Acanthuridae","Acanthuridae"
"535","Acanthurus bipunctatus","Acanthurus","bipunctatus",NA,"Acanthurus nigroris","Acanthurus","nigroris","Acanthuridae","Acanthuridae"
"536","Acanthurus nigros","Acanthurus","nigros",NA,"Acanthurus nigroris","Acanthurus","nigroris","Acanthuridae","Acanthuridae"
"537","Hepatus atramentatus","Hepatus","atramentatus",NA,"Acanthurus nigroris","Acanthurus","nigroris","Acanthuridae","Acanthuridae"
"538","Teuthis atrimentatus","Teuthis","atrimentatus",NA,"Acanthurus nigroris","Acanthurus","nigroris","Acanthuridae","Acanthuridae"
"539","Harpurina nubilus","Harpurina","nubilus",NA,"Acanthurus nubilus","Acanthurus","nubilus","Acanthuridae","Acanthuridae"
"540","Hepatus nubilus","Hepatus","nubilus",NA,"Acanthurus nubilus","Acanthurus","nubilus","Acanthuridae","Acanthuridae"
"541","Acanthurus chrysosoma","Acanthurus","chrysosoma",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"542","Acanthurus eparai","Acanthurus","eparai","junior synonym","Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"543","Acanthurus eparei","Acanthurus","eparei",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"544","Acanthurus erythromelas","Acanthurus","erythromelas",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"545","Acanthurus humeralis","Acanthurus","humeralis",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"546","Acanthurus olicaceous","Acanthurus","olicaceous",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"547","Ctenodon erythromelas","Ctenodon","erythromelas","synonym","Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"548","Harpurus paroticus","Harpurus","paroticus",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"549","Hepatus chrysosoma","Hepatus","chrysosoma",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"550","Hepatus olivaceus","Hepatus","olivaceus",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"551","Rhombotides olivaceus","Rhombotides","olivaceus",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"552","Rhombotides xanthosoma","Rhombotides","xanthosoma",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"553","Teuthis olivaceus","Teuthis","olivaceus",NA,"Acanthurus olivaceus","Acanthurus","olivaceus","Acanthuridae","Acanthuridae"
"554","Acanthurus triostegus polyzona","Acanthurus","triostegus polyzona",NA,"Acanthurus polyzona","Acanthurus","polyzona","Acanthuridae","Acanthuridae"
"555","Rhombotides polyzona","Rhombotides","polyzona",NA,"Acanthurus polyzona","Acanthurus","polyzona","Acanthuridae","Acanthuridae"
"556","Acanthurus armiger","Acanthurus","armiger","synonym","Acanthurus pyroferus","Acanthurus","pyroferus","Acanthuridae","Acanthuridae"
"557","Acanthurus celebicus","Acanthurus","celebicus",NA,"Acanthurus pyroferus","Acanthurus","pyroferus","Acanthuridae","Acanthuridae"
"558","Acanthurus fuscus","Acanthurus","fuscus",NA,"Acanthurus pyroferus","Acanthurus","pyroferus","Acanthuridae","Acanthuridae"
"559","Hepatus celebicus","Hepatus","celebicus",NA,"Acanthurus pyroferus","Acanthurus","pyroferus","Acanthuridae","Acanthuridae"
"560","Hepatus pyriferus","Hepatus","pyriferus","misspelling","Acanthurus pyroferus","Acanthurus","pyroferus","Acanthuridae","Acanthuridae"
"561","Hepatus pyroferus","Hepatus","pyroferus",NA,"Acanthurus pyroferus","Acanthurus","pyroferus","Acanthuridae","Acanthuridae"
"562","Rhombotides celebicus","Rhombotides","celebicus",NA,"Acanthurus pyroferus","Acanthurus","pyroferus","Acanthuridae","Acanthuridae"
"563","Acanthurus carinatus","Acanthurus","carinatus",NA,"Acanthurus sohal","Acanthurus","sohal","Acanthuridae","Acanthuridae"
"564","Aspisurus sohar","Aspisurus","sohar","misspelling","Acanthurus sohal","Acanthurus","sohal","Acanthuridae","Acanthuridae"
"565","Chaetodon sohal","Chaetodon","sohal",NA,"Acanthurus sohal","Acanthurus","sohal","Acanthuridae","Acanthuridae"
"566","Chaetodon sohar","Chaetodon","sohar","misspelling","Acanthurus sohal","Acanthurus","sohal","Acanthuridae","Acanthuridae"
"567","Choetodon sohab","Choetodon","sohab","misspelling","Acanthurus sohal","Acanthurus","sohal","Acanthuridae","Acanthuridae"
"568","Ctenodon ruppelii","Ctenodon","ruppelii",NA,"Acanthurus sohal","Acanthurus","sohal","Acanthuridae","Acanthuridae"
"569","Acanthurus bicommatus","Acanthurus","bicommatus","synonym","Acanthurus tennentii","Acanthurus","tennentii","Acanthuridae","Acanthuridae"
"570","Acanthurus plagiatus","Acanthurus","plagiatus",NA,"Acanthurus tennentii","Acanthurus","tennentii","Acanthuridae","Acanthuridae"
"571","Acanthurus tennenti","Acanthurus","tennenti","misspelling","Acanthurus tennentii","Acanthurus","tennentii","Acanthuridae","Acanthuridae"
"572","Acanthurus philippinus","Acanthurus","philippinus",NA,"Acanthurus thompsoni","Acanthurus","thompsoni","Acanthuridae","Acanthuridae"
"573","Hepatus philippinus","Hepatus","philippinus",NA,"Acanthurus thompsoni","Acanthurus","thompsoni","Acanthuridae","Acanthuridae"
"574","Hepatus thompsoni","Hepatus","thompsoni",NA,"Acanthurus thompsoni","Acanthurus","thompsoni","Acanthuridae","Acanthuridae"
"575","Teuthis thompsoni","Teuthis","thompsoni",NA,"Acanthurus thompsoni","Acanthurus","thompsoni","Acanthuridae","Acanthuridae"
"576","Acronurus nigriculus","Acronurus","nigriculus",NA,"Acanthurus tractus","Acanthurus","tractus","Acanthuridae","Acanthuridae"
"577","Teuthis tractus","Teuthis","tractus",NA,"Acanthurus tractus","Acanthurus","tractus","Acanthuridae","Acanthuridae"
"578","Acanthurus hirudo","Acanthurus","hirudo",NA,"Acanthurus triostegus","Acanthurus","triostegus","Acanthuridae","Acanthuridae"
"579","Acanthurus hirundo","Acanthurus","hirundo","junior synonym","Acanthurus triostegus","Acanthurus","triostegus","Acanthuridae","Acanthuridae"
