Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
FH84,-33.73368897,114.7988721,South-west,Fished,C.FH.7,45.6,Daphne,Yes,Yes,Rachel,2020-10-12T04:50:00Z
FH92,-33.84368897,114.8713721,South-west,Fished,C.FH.14,44.2,Daphne,Yes,Yes,Rachel,2020-10-12T07:47:00Z
FH110,-33.80868897,114.8213721,South-west,Fished,C.FH.13,44.7,Daphne,Yes,Yes,Rachel,2020-10-12T07:06:00Z
FH111,-33.98618897,114.8788721,South-west,Fished,C.FH.24,41.4,Daphne,Yes,Yes,Rachel,2020-10-13T04:28:00Z
FH113,-33.72368897,114.7963721,South-west,Fished,C.FH.7,45,NA,No,No,NA,2020-10-12T04:41:00Z
IO133,-33.99118897,114.8663721,South-west,Fished,C.IO.37,40.8,Daphne,Yes,Yes,Rachel,2020-10-13T04:50:00Z
FHC01,-33.669869,114.809825,South-west,Fished,C.FH.2,44.8,Daphne,Yes,Yes,Rachel,2020-10-12T00:38:00Z
FHC02,-33.72358,114.813293,South-west,Fished,C.FH.6,42,Daphne,Yes,Yes,Rachel,2020-10-12T03:13:00Z
IO337,-34.00536667,114.8202333,South-west,Fished,C.IO.21,43,Daphne,Yes,Yes,Claude,2020-10-18T23:02:00Z
IO338,-33.97231667,114.92245,South-west,Fished,C.IO.20,46,Daphne,Yes,Yes,Claude,2020-10-19T03:50:00Z
IO339,-34.01461667,114.8785,South-west,Fished,C.IO.19,41.1,Daphne,Yes,Yes,Claude,2020-10-19T01:41:00Z
IO95,-34.12618897,114.7338721,South-west,No-take,C.IO.68,124,Daphne,Yes,Yes,Claude,2020-10-22T00:21:00Z
IO98,-34.13368897,114.7313721,South-west,No-take,C.IO.68,128,Daphne,Yes,Yes,Claude,2020-10-22T00:13:00Z
FH39,-33.90368897,114.9313721,South-west,Fished,C.FH.18,44.8,Daphne,Yes,Yes,Rachel,2020-10-29T06:44:00Z
FH33,-33.70868897,114.8263721,South-west,Fished,C.FH.6,42.3,NA,No,No,NA,2020-10-12T02:54:00Z
FH49,-33.92118897,114.9163721,South-west,Fished,C.FH.20,43.9,Daphne,Yes,Yes,Rachel,2020-10-29T05:00:00Z
FH66,-33.90618897,114.9363721,South-west,Fished,C.FH.18,41.8,Daphne,Yes,Yes,Rachel,2020-10-29T06:40:00Z
FH85,-33.92618897,114.9138721,South-west,Fished,C.FH.20,44.7,Daphne,Yes,Yes,Rachel/Brooke,2020-10-29T04:55:00Z
IO323,-34.03103333,114.6001,South-west,Fished,C.IO.27,141,Daphne,Yes,Yes,Claude,2020-11-23T01:48:00Z
IO351,-34.03118897,114.5963721,South-west,Fished,C.IO.27,142,Daphne,Yes,Yes,Claude,2020-11-23T02:13:00Z
IO364,-34.00868897,114.6888721,South-west,Fished,C.IO.24,130,Daphne,Yes,Yes,Claude,2020-11-23T04:21:00Z
IOCP11-1,-33.992845,114.696642,South-west,Fished,C.IO.41,124,Daphne,Yes,Yes,Claude,2020-11-23T04:39:00Z
IOCP11-2,-33.974332,114.692773,South-west,Fished,C.IO.41,124,Daphne,Yes,Yes,Claude,2020-11-23T04:47:00Z
IOCP2311,-34.01858,114.601465,South-west,Fished,C.IO.46,142,Daphne,Yes,Yes,Claude,2020-11-23T02:19:00Z
IOREDO344,-34.0844,114.6744,South-west,No-take,C.IO.14,138,Daphne - finishes at 59:27,Yes,Yes,Claude,2020-11-22T23:12:00Z
IO307,-34.11868897,114.7263721,South-west,No-take,C.IO.9,128,Daphne - finishes at 59:36,Yes,Yes,Claude,2020-10-22T01:56:00Z
IO1,-34.07868897,114.7788721,South-west,No-take,C.IO.43,64.6,Hayley,Yes,Yes,Daphne,2020-10-15T04:07:00Z
IO4,-34.09118897,114.7813721,South-west,No-take,C.IO.43,65.6,Hayley,Yes,Yes,Claude,2020-10-15T04:17:00Z
IO158,-33.98118897,114.8188721,South-west,Fished,C.IO.33,44.6,Hayley,Yes,Yes,Claude,2020-10-13T02:21:00Z
IO207,-34.06118897,114.7863721,South-west,No-take,C.IO.7,60.4,Hayley,Yes,Yes,Ramesh/Claude,2020-10-15T02:23:00Z
IO237,-34.08118897,114.9363721,South-west,No-take,C.IO.1,43.2,Hayley,Yes,Yes,Claude,2020-10-16T04:15:00Z
IO312,-34.05868897,114.7788721,South-west,No-take,C.IO.8,61.2,Hayley,Yes,Yes,Claude,2020-10-15T02:17:00Z
IO335,-34.06686667,114.7939833,South-west,No-take,C.IO.7,58,Hayley,Yes,Yes,Claude,2020-10-15T02:31:00Z
IO206,-34.06368897,114.7913721,South-west,No-take,C.IO.7,58.2,NA,No,No,NA,2020-10-15T02:28:00Z
IO357,-34.08496667,114.928,South-west,No-take,C.IO.1,45.9,Hayley,Yes,Yes,Claude,2020-10-16T04:08:00Z
IO361,-33.98868897,114.7413721,South-west,Fished,C.IO.25,84.7,Hayley,Yes,Yes,Claude,2020-10-14T23:35:00Z
