OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NCB646	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0502108585	0.0698943238	5.5442877448	0.0013669093	0.0006000012	0.0000000000	-0.0009201681	0.0006216933	0.0000000000	0.0000331761	-324.1700944482	0.0000000000	0.0000000000	-0.3885797512	-7.2570688208	1.1731009026	mm
NCB646	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0506815345	0.0686338657	5.5375043009	0.0007168677	0.0006695891	0.0000000000	-0.0010046026	0.0002431304	0.0000000000	0.0004493539	324.1700944482	0.0000000000	0.0000000000	0.3885797512	9.2863201352	-1.4931887165	mm
NCB681	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0565702240	0.0305102452	5.5260259677	0.0010685024	0.0006224576	0.0000000000	-0.0004486430	0.0002205296	0.0000000000	0.0001462885	-321.9486600563	0.0000000000	0.0000000000	-0.4962173408	-8.6595072849	5.7488345322	mm
NCB681	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0776064842	0.0404511204	5.5469603389	0.0008040630	0.0007217557	0.0000000000	-0.0003709871	0.0003848915	0.0000000000	-0.0000294679	321.9486600563	0.0000000000	0.0000000000	0.4962173408	8.2761497630	0.8482973311	mm
NCB630	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0565702240	0.0305102452	5.5260259677	0.0010685024	0.0006224576	0.0000000000	-0.0004486430	0.0002205296	0.0000000000	0.0001462885	-321.9486600563	0.0000000000	0.0000000000	-0.4962173408	-8.6595072849	5.7488345322	mm
NCB630	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0776064842	0.0404511204	5.5469603389	0.0008040630	0.0007217557	0.0000000000	-0.0003709871	0.0003848915	0.0000000000	-0.0000294679	321.9486600563	0.0000000000	0.0000000000	0.4962173408	8.2761497630	0.8482973311	mm
NCB712	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310017009	0.0130221753	3.6903709599	-0.0074965500	0.0001591903	0.0000000000	-0.0000471062	0.0001195355	0.0000000000	0.0005149438	-349.2307784113	0.0000000000	0.0000000000	-0.1417244956	-7.0792977368	2.2972066829	mm
NCB712	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310879825	-0.0085132954	3.6986884891	-0.0081976473	0.0005517509	0.0000000000	0.0003969596	-0.0000335448	0.0000000000	0.0005711354	349.2307784113	0.0000000000	0.0000000000	0.1417244956	8.1379910196	2.5076553208	mm
NCB621	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0565702240	0.0305102452	5.5260259677	0.0010685024	0.0006224576	0.0000000000	-0.0004486430	0.0002205296	0.0000000000	0.0001462885	-321.9486600563	0.0000000000	0.0000000000	-0.4962173408	-8.6595072849	5.7488345322	mm
NCB621	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0776064842	0.0404511204	5.5469603389	0.0008040630	0.0007217557	0.0000000000	-0.0003709871	0.0003848915	0.0000000000	-0.0000294679	321.9486600563	0.0000000000	0.0000000000	0.4962173408	8.2761497630	0.8482973311	mm
NCB718	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0413818867	-0.0186042093	3.7106085495	-0.0082627825	0.0007963427	0.0000000000	0.0000899793	0.0002151756	0.0000000000	0.0009116845	-347.6091225454	0.0000000000	0.0000000000	-0.3573770337	-7.1489030793	-1.2105543873	mm
NCB718	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0419689601	0.0055618302	3.7099096063	-0.0081659262	0.0006169094	0.0000000000	0.0001680108	-0.0000075191	0.0000000000	0.0007311472	347.6091225454	0.0000000000	0.0000000000	0.3573770337	7.6523735725	-1.7726302718	mm
NCB717	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	0.1026846655	-0.0432392345	4.3206017283	-0.0061329176	0.0003520559	0.0000000000	0.0002442949	0.0000364444	0.0000000000	-0.0073594687	-347.4007933492	0.0000000000	0.0000000000	0.2154816352	-7.0656382422	0.5719235748	mm
NCB717	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	0.0055290442	-0.0328827082	4.3200601594	-0.0058191532	0.0002898287	0.0000000000	-0.0001023476	-0.0005678017	0.0000000000	-0.0071671858	347.4007933492	0.0000000000	0.0000000000	-0.2154816352	9.4739250793	0.0403937071	mm
NCB676	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310017009	0.0130221753	3.6903709599	-0.0074965500	0.0001591903	0.0000000000	-0.0000471062	0.0001195355	0.0000000000	0.0005149438	-349.2307784113	0.0000000000	0.0000000000	-0.1417244956	-7.0792977368	2.2972066829	mm
NCB676	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0310879825	-0.0085132954	3.6986884891	-0.0081976473	0.0005517509	0.0000000000	0.0003969596	-0.0000335448	0.0000000000	0.0005711354	349.2307784113	0.0000000000	0.0000000000	0.1417244956	8.1379910196	2.5076553208	mm
NCB705	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0502108585	0.0698943238	5.5442877448	0.0013669093	0.0006000012	0.0000000000	-0.0009201681	0.0006216933	0.0000000000	0.0000331761	-324.1700944482	0.0000000000	0.0000000000	-0.3885797512	-7.2570688208	1.1731009026	mm
NCB705	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0506815345	0.0686338657	5.5375043009	0.0007168677	0.0006695891	0.0000000000	-0.0010046026	0.0002431304	0.0000000000	0.0004493539	324.1700944482	0.0000000000	0.0000000000	0.3885797512	9.2863201352	-1.4931887165	mm
NCB622	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0555618023	0.0436392025	5.5454157201	-0.0000212496	0.0009400573	0.0000000000	-0.0007840628	0.0004758996	0.0000000000	0.0007065872	-323.1513403135	0.0000000000	0.0000000000	0.2798299619	-7.5064801133	-0.1035157645	mm
NCB622	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0002153253	0.0861362463	5.5419224533	0.0017785864	0.0003361709	0.0000000000	-0.0001209121	0.0003542920	0.0000000000	-0.0005340663	323.1513403135	0.0000000000	0.0000000000	-0.2798299619	8.5284180271	4.4817370511	mm
NCB654	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0176061506	-0.0172500716	3.7152545880	-0.0089743882	0.0008714535	0.0000000000	-0.0002293309	-0.0006352663	0.0000000000	0.0007707446	-347.8217272517	0.0000000000	0.0000000000	-0.2248236124	-7.7963497613	-0.0520005018	mm
NCB654	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0895174414	-0.0158847901	3.6927694799	-0.0087888917	0.0008287083	0.0000000000	0.0002539718	-0.0000341550	0.0000000000	0.0007915939	347.8217272517	0.0000000000	0.0000000000	0.2248236124	7.8762775554	0.9932364367	mm
NCB696	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
