CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
2021-05-WilsonsProm-BRUVS,WP_077,-39.15852,146.29597,20210525,9:57:00,Wilsons Promontory,No-take,Wilsons Promontory,-21.02,,Yes,Yes,,Lights magic
2021-05-WilsonsProm-BRUVS,WP_077F,-39.15852,146.29597,20210522,13:14:00,Wilsons Promontory,No-take,Wilsons Promontory,-21.02,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_078,-39.1591,146.2918,20210523,13:50:00,Wilsons Promontory,No-take,Wilsons Promontory,-59.15,,Yes,Yes,,Lights - beautiful drop skull rock
2021-05-WilsonsProm-BRUVS,WP_079,-39.13475,146.27035,20210522,12:48:00,Wilsons Promontory,No-take,Wilsons Promontory,-46.59,,Yes,Yes,,Nice drop
2021-05-WilsonsProm-BRUVS,WP_081,-39.14743,146.29056,20210525,9:48:00,Wilsons Promontory,No-take,Wilsons Promontory,-37.35,,Yes,Yes,,Lights very nice
2021-05-WilsonsProm-BRUVS,WP_081F,-39.14743,146.29056,20210522,13:24:00,Wilsons Promontory,No-take,Wilsons Promontory,-37.35,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_084,-39.16346,146.33297,20210524,9:25:00,Wilsons Promontory,No-take,Wilsons Promontory,-68.29,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_085,-39.17564,146.40829,20210524,14:15:00,Wilsons Promontory,No-take,Wilsons Promontory,-70.27,,Yes,Yes,,Lights good
2021-05-WilsonsProm-BRUVS,WP_089,-39.15501,146.36946,20210525,12:01:00,Wilsons Promontory,No-take,Wilsons Promontory,-61.42,,Yes,Yes,,Lights magic
2021-05-WilsonsProm-BRUVS,WP_089F,-39.15501,146.36946,20210524,9:45:00,Wilsons Promontory,No-take,Wilsons Promontory,-61.42,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_092,-39.1635,146.32442,20210524,9:22:00,Wilsons Promontory,No-take,Wilsons Promontory,-55.66,,Yes,Yes,,Would have been great with lights!
2021-05-WilsonsProm-BRUVS,WP_093,-39.1282,146.25869,20210522,11:32:00,Wilsons Promontory,No-take,Wilsons Promontory,-41.85,,Yes,Yes,,OK - pinkies
2021-05-WilsonsProm-BRUVS,WP_094,-39.10093,146.24533,20210523,12:50:00,Wilsons Promontory,No-take,Wilsons Promontory,-49.13,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_095,-39.0872,146.25795,20210523,9:31:00,Wilsons Promontory,No-take,Wilsons Promontory,-45.16,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_096,-39.0846,146.26752,20210523,9:26:00,Wilsons Promontory,No-take,Wilsons Promontory,-45.22,,Yes,Yes,,Plague of degen leatherjackets
2021-05-WilsonsProm-BRUVS,WP_097,-39.14438,146.29549,20210522,13:28:00,Wilsons Promontory,No-take,Wilsons Promontory,-24.06,,Yes,Yes,,Very nice
2021-05-WilsonsProm-BRUVS,WP_098,-39.141,146.29033,20210523,13:37:00,Wilsons Promontory,No-take,Wilsons Promontory,-51.41,,Yes,Yes,,Good 
2021-05-WilsonsProm-BRUVS,WP_099,-39.15202,146.38884,20210524,11:35:00,Wilsons Promontory,No-take,Wilsons Promontory,-91.21,,Yes,Yes,,Lights nice
2021-05-WilsonsProm-BRUVS,WP_101,-39.1528,146.38285,20210524,11:30:00,Wilsons Promontory,No-take,Wilsons Promontory,-86.59,,Yes,Yes,,Lights nice
2021-05-WilsonsProm-BRUVS,WP_103,-39.14238,146.37865,20210524,9:54:00,Wilsons Promontory,No-take,Wilsons Promontory,-81.31,,Yes,Yes,,Lights good
2021-05-WilsonsProm-BRUVS,WP_105,-39.13683,146.41629,20210524,12:03:00,Wilsons Promontory,No-take,Wilsons Promontory,-43.54,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_106,-39.13961,146.39634,20210521,13:47:00,Wilsons Promontory,No-take,Wilsons Promontory,-32.26,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_107,-39.14354,146.3626,20210521,14:05:00,Wilsons Promontory,No-take,Wilsons Promontory,-33.14,,Yes,Yes,,Good - rosie wrasse
2021-05-WilsonsProm-BRUVS,WP_108,-39.13934,146.37233,20210524,9:58:00,Wilsons Promontory,No-take,Wilsons Promontory,-51.2,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_110,-39.06523429,146.2846594,20210523,9:13:00,Wilsons Promontory,No-take,Wilsons Promontory,-39.25,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_111,-39.06278821,146.3058562,20210523,8:04:00,Wilsons Promontory,No-take,Wilsons Promontory,-28.07,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_112,-39.15307454,146.4100159,20210524,11:48:00,Wilsons Promontory,No-take,Wilsons Promontory,-66.37,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_113,-39.15605176,146.4113262,20210524,11:45:00,Wilsons Promontory,No-take,Wilsons Promontory,-55.82,,Yes,Yes,,dark but ok
2021-05-WilsonsProm-BRUVS,WP_114,-39.13976411,146.4233338,20210524,11:58:00,Wilsons Promontory,No-take,Wilsons Promontory,-74.07,,Yes,Yes,,Lights nice
2021-05-WilsonsProm-BRUVS,WP_115,-39.13565442,146.4314143,20210525,12:28:00,Wilsons Promontory,No-take,Wilsons Promontory,-68.99,,Yes,Yes,,Lights magic
2021-05-WilsonsProm-BRUVS,WP_115F,-39.13565442,146.4314143,20210524,12:09:00,Wilsons Promontory,No-take,Wilsons Promontory,-68.99,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_116,-39.12488036,146.4425771,20210524,12:23:00,Wilsons Promontory,No-take,Wilsons Promontory,-68.6,,Yes,Yes,,Lights
2021-05-WilsonsProm-BRUVS,WP_117,-39.13223893,146.4258329,20210524,12:14:00,Wilsons Promontory,No-take,Wilsons Promontory,-50.63,,Yes,Yes,,Fell on side but ok
2021-05-WilsonsProm-BRUVS,WP_118,-39.06576522,146.4718637,20210521,11:02:00,Wilsons Promontory,No-take,Wilsons Promontory,-29.65,,Yes,Yes,,Good - score RHS
2021-05-WilsonsProm-BRUVS,WP_119,-39.16967045,146.3860689,20210524,14:05:00,Wilsons Promontory,No-take,Wilsons Promontory,-70.51,,Yes,Yes,,Lights occy
