Sample,Family,Genus,Species,Count
10dAC1-4,Kyphosidae,Girella,zebra,1
10dAC1-4,Labridae,Notolabrus,parilus,1
10dAC1-5,Labridae,Coris,auricularis,20
10dAC1-5,Labridae,Notolabrus,parilus,1
10dAC1-5,Pomacentridae,Parma,mccullochi,1
10dAC1-6,Labridae,Notolabrus,parilus,1
10dAC1-6,Labridae,Notolabrus,parilus,1
10dAC1-7,Labridae,Coris,auricularis,1
10dAC1-7,Pomacentridae,Parma,mccullochi,1
10dAC1-7,Monacanthidae,Meuschenia,galii,1
10dAC1-7,Labridae,Coris,auricularis,1
10dAC1-7,Labridae,Coris,auricularis,1
10dAC1-7,Labridae,Coris,auricularis,1
10dAC1-7,Labridae,Coris,auricularis,1
10dAC1-7,Labridae,Coris,auricularis,1
10dAC1-7,Labridae,Ophthalmolepis,lineolatus,1
10dAC1-7,Pomacentridae,Parma,mccullochi,1
10dAC1-7,Labridae,Coris,auricularis,1
10dAC1-8,Labridae,Coris,auricularis,1
10dAC1-8,Labridae,Coris,auricularis,1
10dAC1-8,Labridae,Coris,auricularis,1
10dAC1-8,Labridae,Coris,auricularis,1
10dAC1-8,Pomacentridae,Parma,mccullochi,1
10dAC1-9,Pomacentridae,Parma,mccullochi,1
10dAC1-9,Pomacentridae,Parma,mccullochi,1
10dAC1-9,Labridae,Coris,auricularis,1
10dAC1-9,Labridae,Coris,auricularis,1
10dAC1-9,Labridae,Coris,auricularis,1
10dAC1-9,Labridae,Coris,auricularis,1
10dAC1-9,Labridae,Austrolabrus,maculatus,1
10dAC1-9,Kyphosidae,Girella,zebra,1
10dAC1-9,Labridae,Ophthalmolepis,lineolatus,1
10dAC1-9,Labridae,Coris,auricularis,1
10dAC1-9,Labridae,Ophthalmolepis,lineolatus,1
10dAC1-9,Labridae,Notolabrus,parilus,1
10dAC1-9,Labridae,Austrolabrus,maculatus,1
10dAC2-10,Cheilodactylidae,Cheilodactylus,rubrolabiatus,1
10dAC2-10,Glaucosomatidae,Glaucosoma,hebraicum,1
10dAC2-10,Pomacentridae,Parma,mccullochi,1
10dAC2-10,Sillaginidae,Sillaginodes,punctatus,1
10dAC2-10,Plesiopidae,Trachinops,brauni,10
10dAC2-10,Pomacentridae,Parma,mccullochi,1
10dAC2-10,Labridae,Notolabrus,parilus,1
10dAC2-10,Labridae,Coris,auricularis,1
10dAC2-10,Labridae,Coris,auricularis,1
10dAC2-10,Pomacentridae,Parma,mccullochi,1
10dAC2-10,Pomacentridae,Parma,mccullochi,1
10dAC2-11,Labridae,Coris,auricularis,1
10dAC2-11,Pomacentridae,Parma,mccullochi,1
10dAC2-11,Labridae,Notolabrus,parilus,1
10dAC2-11,Plesiopidae,Trachinops,brauni,15
10dAC2-11,Plesiopidae,Trachinops,brauni,20
10dAC2-11,Pomacentridae,Parma,mccullochi,1
10dAC2-11,Odacidae,Olisthops,cyanomelas,1
10dAC2-11,Labridae,Ophthalmolepis,lineolatus,1
10dAC2-11,Pomacentridae,Parma,mccullochi,1
10dAC2-11,Labridae,Austrolabrus,maculatus,1
10dAC2-11,Labridae,Pseudolabrus,biserialis,1
10dAC2-12,Pomacentridae,Parma,mccullochi,1
10dAC2-12,Pomacentridae,Parma,mccullochi,1
10dAC2-12,Pomacentridae,Parma,mccullochi,1
10dAC2-12,Kyphosidae,Kyphosus,cornelii,1
10dAC2-12,Kyphosidae,Kyphosus,cornelii,1
10dAC2-12,Kyphosidae,Kyphosus,cornelii,1
10dAC2-12,Kyphosidae,Kyphosus,sydneyanus,1
10dAC2-12,Pomacentridae,Parma,mccullochi,1
10dAC2-1,Pomacentridae,Parma,mccullochi,1
10dAC2-1,Pomacentridae,Parma,mccullochi,1
10dAC2-2,Pomacentridae,Parma,mccullochi,1
10dAC2-2,Labridae,Ophthalmolepis,lineolatus,1
10dAC2-2,Pomacentridae,Parma,mccullochi,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Coris,auricularis,1
10dAC2-3,Labridae,Anampses,geographicus,1
10dAC2-3,Labridae,Anampses,geographicus,1
10dAC2-3,Labridae,Coris,auricularis,10
10dAC2-3,Pomacentridae,Parma,mccullochi,1
10dAC2-3,Plesiopidae,Trachinops,noarlungae,50
10dAC2-3,Plesiopidae,Trachinops,noarlungae,250
10dAC2-3,Odacidae,Olisthops,cyanomelas,1
10dAC2-3,Pomacentridae,Parma,mccullochi,1
10dAC2-4,Kyphosidae,Kyphosus,sydneyanus,1
10dAC2-4,Pomacentridae,Parma,mccullochi,1
10dAC2-4,Pomacentridae,Parma,mccullochi,1
10dAC2-4,Labridae,Coris,auricularis,1
10dAC2-4,Pomacentridae,Parma,mccullochi,1
10dAC2-4,Plesiopidae,Trachinops,brauni,30
10dAC2-4,Pomacentridae,Parma,mccullochi,1
10dAC2-4,Pomacentridae,Parma,mccullochi,1
10dAC2-4,Plesiopidae,Trachinops,brauni,70
10dAC2-4,Pomacentridae,Parma,mccullochi,1
10dAC2-4,Plesiopidae,Trachinops,brauni,50
10dAC2-4,Labridae,Anampses,geographicus,1
10dAC2-4,Labridae,Dotalabrus,alleni,1
10dAC2-4,Labridae,Anampses,geographicus,1
10dAC2-4,Labridae,Ophthalmolepis,lineolatus,1
10dAC2-4,Labridae,Austrolabrus,maculatus,1
10dAC2-4,Pomacentridae,Parma,mccullochi,1
10dAC2-5,Labridae,Notolabrus,parilus,1
10dAC2-5,Pomacentridae,Parma,mccullochi,1
10dAC2-5,Serranidae,Epinephelides,armatus,1
10dAC2-5,Labridae,Coris,auricularis,1
10dAC2-5,Labridae,Coris,auricularis,1
10dAC2-5,Labridae,Coris,auricularis,1
10dAC2-5,Labridae,Coris,auricularis,1
10dAC2-5,Labridae,Austrolabrus,maculatus,1
10dAC2-5,Pomacentridae,Parma,mccullochi,1
10dAC2-5,Labridae,Coris,auricularis,1
10dAC2-5,Odacidae,Olisthops,cyanomelas,1
10dAC2-5,Pomacentridae,Parma,mccullochi,1
10dAC2-6,Pomacentridae,Parma,mccullochi,1
10dAC2-6,Pomacentridae,Parma,mccullochi,1
10dAC2-6,Pomacentridae,Parma,mccullochi,1
10dAC2-6,Pomacentridae,Parma,mccullochi,1
10dAC2-6,Pomacentridae,Parma,mccullochi,1
10dAC2-6,Labridae,Notolabrus,parilus,1
10dAC2-7,Pomacentridae,Parma,mccullochi,1
10dAC2-7,Labridae,Ophthalmolepis,lineolatus,1
10dAC2-7,Labridae,Coris,auricularis,1
10dAC2-7,Pomacentridae,Parma,mccullochi,1
10dAC2-7,Labridae,Coris,auricularis,1
10dAC2-7,Labridae,Ophthalmolepis,lineolatus,1
10dAC2-7,Pomacentridae,Parma,mccullochi,1
10dAC2-7,Labridae,Austrolabrus,maculatus,1
10dAC2-7,Pomacentridae,Parma,mccullochi,1
10dAC2-7,Labridae,Notolabrus,parilus,1
10dAC2-7,Pomacentridae,Parma,mccullochi,1
10dAC2-7,Pomacentridae,Parma,mccullochi,1
10dAC2-7,Labridae,Notolabrus,parilus,1
10dAC2-7,Labridae,Coris,auricularis,1
10dAC2-7,Labridae,Coris,auricularis,1
10dAC2-7,Labridae,Coris,auricularis,1
10dAC2-8,Labridae,Notolabrus,parilus,1
10dAC2-8,Labridae,Coris,auricularis,1
10dAC2-8,Labridae,Coris,auricularis,1
10dAC2-8,Labridae,Coris,auricularis,1
10dAC2-8,Pomacentridae,Parma,mccullochi,1
10dAC2-8,Pomacentridae,Parma,mccullochi,1
10dAC2-8,Pomacentridae,Parma,mccullochi,1
10dAC2-8,Labridae,Ophthalmolepis,lineolatus,1
10dAC2-8,Plesiopidae,Trachinops,brauni,50
10dAC2-8,Pomacentridae,Parma,mccullochi,1
10dAC2-8,Labridae,Achoerodus,gouldii,1
10dAC2-8,Labridae,Coris,auricularis,1
10dAC2-8,Labridae,Coris,auricularis,1
10dAC2-8,Labridae,Notolabrus,parilus,1
10dAC2-9,Pomacentridae,Parma,mccullochi,1
10dAC2-9,Pomacentridae,Parma,mccullochi,1
10dAC2-9,Pomacentridae,Parma,mccullochi,1
10dAC2-9,Labridae,Achoerodus,gouldii,1
10dAC2-9,Labridae,Coris,auricularis,1
10dAC2-9,Labridae,Coris,auricularis,1
10dAC2-9,Pomacentridae,Parma,mccullochi,1
10dAC2-9,Pomacentridae,Parma,mccullochi,1
10dAC2-9,Labridae,Notolabrus,parilus,1
10dAC2-9,Pomacentridae,Parma,mccullochi,1
10dAC2-9,Pomacentridae,Parma,mccullochi,1
10dAC2-9,Labridae,Coris,auricularis,1
10dAC2-9,Labridae,Coris,auricularis,1
10dAC2-9,Labridae,Coris,auricularis,1
10dAC2-9,Kyphosidae,Kyphosus,cornelii,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Ophthalmolepis,lineolatus,1
10dAC3-10,Labridae,Austrolabrus,maculatus,1
10dAC3-10,Labridae,Notolabrus,parilus,1
10dAC3-10,Labridae,Ophthalmolepis,lineolatus,1
10dAC3-10,Labridae,Ophthalmolepis,lineolatus,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Austrolabrus,maculatus,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Coris,auricularis,1
10dAC3-10,Labridae,Pseudolabrus,biserialis,1
10dAC3-10,Labridae,Pseudolabrus,biserialis,1
10dAC3-10,Labridae,Pseudolabrus,biserialis,1
10dAC3-11,Labridae,Austrolabrus,maculatus,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-11,Labridae,Coris,auricularis,1
10dAC3-12,Labridae,Notolabrus,parilus,1
10dAC3-12,Pomacentridae,Parma,mccullochi,1
10dAC3-12,Pempherididae,Pempheris,multiradiata,1
10dAC3-12,Labridae,Notolabrus,parilus,1
10dAC3-1,Pempherididae,Pempheris,sp,20
10dAC3-1,Labridae,Notolabrus,parilus,1
10dAC3-1,Pomacentridae,Parma,mccullochi,1
10dAC3-1,Pomacentridae,Parma,mccullochi,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-1,Labridae,Coris,auricularis,1
10dAC3-2,Pomacentridae,Parma,mccullochi,1
10dAC3-2,Labridae,Notolabrus,parilus,1
10dAC3-2,Pomacentridae,Parma,mccullochi,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Plesiopidae,Trachinops,brauni,1
10dAC3-2,Pomacentridae,Parma,mccullochi,1
10dAC3-2,Labridae,Coris,auricularis,1
10dAC3-2,Pomacentridae,Parma,mccullochi,1
10dAC3-2,Labridae,Notolabrus,parilus,1
10dAC3-3,Labridae,Notolabrus,parilus,1
10dAC3-3,Pomacentridae,Parma,mccullochi,1
10dAC3-3,Pomacentridae,Parma,mccullochi,1
10dAC3-4,Labridae,Notolabrus,parilus,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Mullidae,Parupeneus,spilurus,1
10dAC3-4,Mullidae,Parupeneus,spilurus,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-4,Pomacentridae,Parma,mccullochi,1
10dAC3-4,Pomacentridae,Parma,mccullochi,1
10dAC3-4,Pomacentridae,Parma,mccullochi,1
10dAC3-4,Mullidae,Parupeneus,spilurus,1
10dAC3-4,Labridae,Coris,auricularis,1
10dAC3-5,Labridae,Notolabrus,parilus,1
10dAC3-5,Labridae,Notolabrus,parilus,1
10dAC3-5,Pomacentridae,Parma,mccullochi,1
10dAC3-5,Pomacentridae,Parma,mccullochi,1
10dAC3-5,Labridae,Coris,auricularis,1
10dAC3-6,Scorpididae,Neatypus,obliquus,1
10dAC3-6,Pomacentridae,Parma,mccullochi,1
10dAC3-6,Labridae,Coris,auricularis,1
10dAC3-6,Kyphosidae,Kyphosus,sydneyanus,1
10dAC3-6,Kyphosidae,Kyphosus,sydneyanus,1
10dAC3-7,Labridae,Notolabrus,parilus,1
10dAC3-7,Odacidae,Olisthops,cyanomelas,1
10dAC3-7,Labridae,Notolabrus,parilus,1
10dAC3-7,Labridae,Notolabrus,parilus,1
10dAC3-7,Labridae,Notolabrus,parilus,1
10dAC3-7,Labridae,Notolabrus,parilus,1
10dAC3-7,Labridae,Coris,auricularis,1
10dAC3-8,Odacidae,Olisthops,cyanomelas,1
10dAC3-8,Pomacentridae,Parma,mccullochi,1
10dAC3-8,Pomacentridae,Parma,mccullochi,1
10dAC3-8,Labridae,Notolabrus,parilus,1
10dAC3-8,Pomacentridae,Parma,mccullochi,1
10dAC3-9,Serranidae,Epinephelides,armatus,1
10dAC3-9,Labridae,Coris,auricularis,1
10dAC3-9,Labridae,Coris,auricularis,1
10dAC3-9,Labridae,Anampses,geographicus,1
10dAC3-9,Labridae,Anampses,geographicus,1
10dAC3-9,Labridae,Anampses,geographicus,1
10dAC3-9,Labridae,Anampses,geographicus,1
10dAC3-9,Labridae,Anampses,geographicus,1
10dAC3-9,Labridae,Anampses,geographicus,1
10dAC3-9,Labridae,Coris,auricularis,1
10dAC3-9,Labridae,Austrolabrus,maculatus,1
10dAC3-9,Labridae,Coris,auricularis,1
10dAC4-10,Labridae,Coris,auricularis,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Labridae,Coris,auricularis,1
10dAC4-10,Labridae,Coris,auricularis,1
10dAC4-10,Labridae,Coris,auricularis,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-10,Pomacentridae,Parma,mccullochi,1
10dAC4-11,Plesiopidae,Trachinops,noarlungae,90
10dAC4-11,Plesiopidae,Trachinops,noarlungae,1
10dAC4-11,Plesiopidae,Trachinops,noarlungae,1
10dAC4-11,Plesiopidae,Trachinops,noarlungae,1
10dAC4-11,Plesiopidae,Trachinops,noarlungae,90
10dAC4-11,Plesiopidae,Trachinops,noarlungae,90
10dAC4-11,Pomacentridae,Parma,mccullochi,1
10dAC4-11,Plesiopidae,Trachinops,noarlungae,25
10dAC4-12,Pomacentridae,Parma,mccullochi,1
10dAC4-12,Plesiopidae,Trachinops,noarlungae,100
10dAC4-12,Pomacentridae,Parma,mccullochi,1
10dAC4-12,Pomacentridae,Parma,mccullochi,1
10dAC4-12,Plesiopidae,Trachinops,noarlungae,60
10dAC4-12,Labridae,Pseudolabrus,biserialis,1
10dAC4-12,Labridae,Notolabrus,parilus,1
10dAC4-12,Labridae,Austrolabrus,maculatus,1
10dAC4-12,Pomacentridae,Parma,mccullochi,1
10dAC4-1,Pomacentridae,Parma,mccullochi,1
10dAC4-1,Labridae,Pseudolabrus,biserialis,1
10dAC4-2,Pomacentridae,Parma,mccullochi,1
10dAC4-2,Chaetodontidae,Chelmonops,curiosus,1
10dAC4-2,Pomacentridae,Parma,mccullochi,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Labridae,Coris,auricularis,1
10dAC4-2,Plesiopidae,Trachinops,noarlungae,70
10dAC4-2,Monacanthidae,Meuschenia,galii,1
10dAC4-2,Monacanthidae,Meuschenia,galii,1
10dAC4-2,Pomacentridae,Parma,mccullochi,1
10dAC4-3,Plesiopidae,Trachinops,noarlungae,70
10dAC4-3,Pomacentridae,Parma,mccullochi,1
10dAC4-3,Labridae,Ophthalmolepis,lineolatus,1
10dAC4-3,Labridae,Coris,auricularis,1
10dAC4-3,Plesiopidae,Trachinops,brauni,1
10dAC4-3,Labridae,Coris,auricularis,1
10dAC4-3,Labridae,Coris,auricularis,1
10dAC4-3,Labridae,Coris,auricularis,1
10dAC4-3,Labridae,Coris,auricularis,1
10dAC4-3,Labridae,Notolabrus,parilus,1
10dAC4-3,Plesiopidae,Trachinops,noarlungae,75
10dAC4-3,Pomacentridae,Parma,mccullochi,1
10dAC4-3,Pomacentridae,Parma,mccullochi,1
10dAC4-4,Labridae,Ophthalmolepis,lineolatus,1
10dAC4-4,Labridae,Austrolabrus,maculatus,1
10dAC4-4,Labridae,Coris,auricularis,1
