OpCode,Period,Status,Latitude,Longitude,Date,Time,Location,Site,Successful.count,Successful.length,Depth,Observer
SIMP_Seal Island SZ_S2_20170427_DOV,T10,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T11,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T12,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T1,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T2,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T3,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T4,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T5,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T6,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T7,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T8,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T9,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
