"campaignid","sample","opcode","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","observer_count","observer_length","inclusion_probability","visibility_m"
"2022-05_PtCloates_stereo-BRUVS","12",12,-22.7505,113.5476,"2022-05-20T12:11:27+08:00",NA,NA,"No-take",80.5,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","13",13,-22.6872,113.5606,"2022-05-26T08:42:37+08:00",NA,NA,"No-take",82.1,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","14",14,-22.6876,113.5568,"2022-05-26T08:48:10+08:00",NA,NA,"No-take",90.5,"Yes","Yes","Kaitlin McCloghry","Molly Gerrans/Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","15",15,-22.6977,113.5561,"2022-05-22T12:55:29+08:00",NA,NA,"No-take",83.9,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","16",16,-22.7406,113.5395,"2022-05-20T14:06:11+08:00",NA,NA,"No-take",93.2,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","17",17,-22.7011,113.5532,"2022-05-22T12:45:32+08:00",NA,NA,"No-take",86.5,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","18",18,-22.7101,113.5492,"2022-05-22T10:29:53+08:00",NA,NA,"No-take",91.5,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","19",19,-22.6847,113.5669,"2022-05-26T08:33:41+08:00",NA,NA,"No-take",76.4,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","20",20,-22.7212,113.5561,"2022-05-22T08:44:53+08:00",NA,NA,"No-take",76,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","21",21,-22.6893,113.5652,"2022-05-22T14:43:14+08:00",NA,NA,"No-take",77.3,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","22",22,-22.7072,113.5554,"2022-05-22T10:42:04+08:00",NA,NA,"No-take",81.3,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","23",23,-22.734,113.542,"2022-05-20T14:15:28+08:00",NA,NA,"No-take",91.4,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","24",24,-22.7426,113.5507,"2022-05-20T12:42:58+08:00",NA,NA,"No-take",79.3,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","25",25,-22.7053,113.5466,"2022-05-22T12:34:21+08:00",NA,NA,"No-take",99.5,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","26",26,-22.7615,113.5484,"2022-05-20T09:08:31+08:00",NA,NA,"No-take",77.2,"Yes","Yes","Kaitlin McCloghry","Molly Gerrans/Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","27",27,-22.7254,113.5459,"2022-05-22T08:31:16+08:00",NA,NA,"No-take",90.4,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","28",28,-22.6987,113.5625,"2022-05-22T13:05:17+08:00",NA,NA,"No-take",76.3,"Yes","Yes","Kaitlin McCloghry","Molly Gerrans/Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","29",29,-22.691,113.5564,"2022-05-22T14:54:59+08:00",NA,NA,"No-take",87.9,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","30",30,-22.7058,113.5588,"2022-05-22T10:47:54+08:00",NA,NA,"No-take",78.5,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","31",31,-22.7542,113.5424,"2022-05-20T10:27:48+08:00",NA,NA,"No-take",82.3,"Yes","Yes","Kaitlin McCloghry","Molly Gerrans/Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","32",32,-22.7239,113.5552,"2022-05-22T08:39:35+08:00",NA,NA,"No-take",78.3,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","33",33,-22.719,113.549,"2022-05-22T10:09:30+08:00",NA,NA,"No-take",85.4,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
