Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,System,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Forward.habitat.image.saved,Forward.habitat.image.annotated,Backwards.habitat.image.saved,Backward.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,AFID.training,Notes,Date.time
46,-22.693,113.5605,20220522,14:30:54,NA,NA,NA,79.5,Kaitlin McCloghry,Yes,Yes,4,33,34,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220908,,Molly Gerrans/Kaitlin McCloghry,20221117,,,2022-05-22T14:30:54+08:00
47,-22.6999,113.5592,20220522,12:59:50,NA,NA,NA,80.8,Kaitlin McCloghry,Yes,Yes,7,39,40,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220830,Henry Evans,Henry Evans,20221201,,,2022-05-22T12:59:50+08:00
48,-22.696,113.5596,20220522,14:21:46,NA,NA,NA,80.2,Henry Evans,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220831,Kaitlin McCloghry,Kaitlin McCloghry,20220919,Kaitlin McCloghry 20221012,,2022-05-22T14:21:46+08:00
49,-22.7309,113.5443,20220520,14:20:55,NA,NA,NA,89.5,N/A,No,No,4,33,34,BRUV upside down underwater,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,N/A,NA,N/A,N/A,N/A,,,2022-05-20T14:20:55+08:00
50,-22.7173,113.5528,20220522,10:14:30,NA,NA,NA,81.9,Kaitlin McCloghry,Yes,Yes,3,31,32,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220823,Henry Evans,Henry Evans,20221025,,,2022-05-22T10:14:30+08:00
51,-22.69,113.5609,20220522,14:49:13,NA,NA,NA,79.4,Henry Evans,Yes,Yes,7,39,40,Bottom time 00:59:45,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220901,Kaitlin McCloghry,Kaitlin McCloghry,20220919,,,2022-05-22T14:49:13+08:00
52,-22.7635,113.5348,20220520,08:50:37,NA,NA,NA,91,Molly Gerrans,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Molly Gerrans,20220719,Kaitlin McCloghry,Kaitlin McCloghry,20220913,Kaitlin McCloghry 20221011,,2022-05-20T08:50:37+08:00
53,-22.6839,113.5636,20220526,08:29:10,NA,NA,NA,78.2,Kaitlin McCloghry,Yes,Yes,4,33,34,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,Henry Evans,20221201,,,2022-05-26T08:29:10+08:00
54,-22.7654,113.5392,20220520,08:32:36,NA,NA,NA,83.1,Molly Gerrans,Yes,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Molly Gerrans ,20220715,Kaitlin McCloghry,Kaitlin McCloghry,Check euanus lengths,Henry Evans 20221011,,2022-05-20T08:32:36+08:00
55,-22.7564,113.529,20220520,09:48:49,NA,NA,NA,89.1,test video,Yes,Yes,6,37,38,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,test video,NA,Kaitlin McCloghry,Kaitlin McCloghry,20221117,,,2022-05-20T09:48:49+08:00
56,-22.7534,113.5302,20220520,10:09:08,NA,NA,NA,99.8,Kaitlin McCloghry,Yes,Yes,7,39,40,Cam 40 was off when taken out. Back housing says 19.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220802,,Molly Gerrans/Kaitlin McCloghry,20221117,,,2022-05-20T10:09:08+08:00
57,-22.6751,113.561,20220526,08:11:51,NA,NA,NA,88.2,Kaitlin McCloghry,Yes,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,,Molly Gerrans/Kaitlin McCloghry,20221117,,,2022-05-26T08:11:51+08:00
58,-22.7056,113.5502,20220522,12:28:44,NA,NA,NA,90.9,Kaitlin McCloghry,Yes,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220829,Henry Evans,Henry Evans,20221103,,,2022-05-22T12:28:44+08:00
59,-22.7437,113.5452,20220520,12:37:35,NA,NA,NA,83.5,Kaitlin McCloghry,Yes,Yes,7,39,40,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220809,Henry Evans,Henry Evans,20221019,,"Check juvenile lethrinus (2 points), henry thinks Nemipteridae.",2022-05-20T12:37:35+08:00
60,-22.7516,113.5386,20220520,12:05:02,NA,NA,NA,91,Kaitlin McCloghry,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220803,Henry Evans,Henry Evans,20221014,,,2022-05-20T12:05:02+08:00
61,-22.6779,113.5654,20220526,08:23:34,NA,NA,NA,79.8,Kaitlin McCloghry,Yes,Yes,3,31,32,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,Henry Evans,20221201,,,2022-05-26T08:23:34+08:00
62,-22.7375,113.542,20220520,14:11:26,NA,NA,NA,90.1,Henry Evans,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220811,Kaitlin McCloghry,Kaitlin McCloghry,20220914,Kaitlin McCloghry 20221011,,2022-05-20T14:11:26+08:00
63,-22.6744,113.5666,20220526,08:17:59,NA,NA,NA,81.1,Kaitlin McCloghry,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,Henry Evans,20221206,,,2022-05-26T08:17:59+08:00
64,-22.7343,113.5508,20220520,14:30:16,NA,NA,NA,79.2,Kaitlin McCloghry,Yes,Yes,6,37,38,eDNA (passive). Rear camera in wrong housing all day. Cam#19 should be in system 7.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220815,Henry Evans,Henry Evans,20221019,,,2022-05-20T14:30:16+08:00
