CAAB	ScientificName	Authority	CommonName
40041020	Procellaria parkinsoni	Gray, 1862	black petrel
40041021	Procellaria westlandica	Falla, 1946	westland petrel
40041022	Pseudobulweria rostrata	(Peale, 1848)	Tahiti petrel
40041023	Pterodroma arminjoniana	(Giglioli and Salvadori, 1869)	herald petrel
40041024	Pterodroma baraui	(Jouanin, 1964)	Barau's petrel
40041025	Pterodroma cervicalis	(Salvin, 1891)	white-necked petrel
40041026	Pterodroma cookii	(Gray, 1843)	Cook's petrel
40041027	Pterodroma externa	(Salvin, 1875)	Juan Fernandez petrel
40041028	Pterodroma inexpectata	(Forster, 1844)	mottled petrel
40041029	Pterodroma lessonii	(Garnot, 1826)	white-headed petrel
40041030	Pterodroma leucoptera	(Gould, 1844)	Gould's petrel
40041031	Pterodroma macroptera	(Smith, 1840)	great-winged petrel
40041032	Pterodroma mollis	(Gould, 1844)	soft-plumaged petrel
40041033	Pterodroma neglecta	(Schlegel, 1863)	Kermadec petrel
40041034	Pterodroma nigripennis	(Rothschild, 1893)	black-winged petrel
40041035	Pterodroma solandri	(Gould, 1844)	providence petrel
40041036	Puffinus assimilis	Gould, 1838	little shearwater
40041037	Puffinus bulleri	Salvin, 1888	Buller's shearwater
40041038	Puffinus carneipes	Gould, 1844	flesh-footed shearwater
40041039	Puffinus creatopus	Coues, 1864	pink-footed shearwater
40041040	Puffinus gavia	(Forster, 1844)	fluttering shearwater
40041041	Puffinus gravis	(O'Reilly, 1818)	great shearwater
40041042	Puffinus griseus	(Gmelin, 1789)	sooty shearwater
40041043	Puffinus huttoni	Mathews, 1912	Hutton's shearwater
40041044	Puffinus lherminieri	Lesson, 1839	Audubon's shearwater
40041045	Puffinus pacificus	(Gmelin, 1789)	wedge-tailed shearwater
40041046	Puffinus puffinus	(Brunnich, 1764)	Manx shearwater
40041047	Puffinus tenuirostris	(Temminck, 1835)	short-tailed shearwater
40041048	Thalassoica antarctica	(Gmelin, 1789)	Antarctic petrel
40041901	Bulweria spp.	-	
40041902	Calonectris spp.	-	
40041903	Daption spp.	-	
40041904	Fulmarus spp.	-	
40041905	Halobaena spp.	-	
40041906	Lugensa spp.	-	
40041907	Macronectes spp.	-	
40041051	Pachyptila spp.	-	prions
40041908	Pagodroma spp.	-	
40041049	Pelecanoides spp.	-	diving-petrels
40041909	Procellaria spp.	-	
40041910	Pseudobulweria spp.	-	
40041911	Pterodroma spp.	-	
40041050	Puffinus spp.	-	shearwaters
40041912	Thalassoica spp.	-	
40041000	Procellariidae	-	petrels, prions and shearwaters
40042001	Fregetta grallaria	(Vieillot, 1818)	white-bellied storm-petrel
40042002	Fregetta tropica	(Gould, 1844)	black-bellied storm-petrel
40042003	Garrodia nereis	(Gould, 1841)	grey-backed storm-petrel
40042004	Oceanites oceanicus	(Kuhl, 1820)	Wilson's storm-petrel
