OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.20	9	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1474.43489	80.22522	-2574.84906	6.60204	1.30503	11.67071	12.26023	2968.20519	29.81062	Carangidae	Carangoides	spp		1	AD	Passing			
npz6.20	19	L039 (04).MP4	42348	R040 (04).MP4	40848	79.42740	1	28.46705	602.44938	-146.92829	-1213.45646	1.43007	0.65672	2.68905	4.62103	1362.72146	27.18601	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
npz6.20	23	L039 (04).MP4	48422	R040 (04).MP4	46922	81.11631	1	30.15596	-392.72795	-317.24742	-947.36166	0.82448	0.71592	1.68794	9.58350	1073.48744	28.35842	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.20	24	L039 (04).MP4	48422	R040 (04).MP4	46922	81.11631	1	30.15596	1045.67703	-278.57767	-2565.86261	5.11527	1.75754	12.56787	6.51709	2784.72564	22.99593	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.20	30	L039 (04).MP4	71557	R040 (04).MP4	70057	87.54913	1	36.58877	-114.04476	-364.62171	-1095.91749	0.59288	0.93163	2.39161	1.14855	1160.59913	19.67882	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.20	31	L039 (04).MP4	71652	R040 (04).MP4	70152	87.57554	1	36.61519	630.00321	-449.52364	-1609.67311	2.00964	1.53292	4.91975	0.93219	1786.06357	25.96082	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.21	0	L035 (07).MP4	4229	R036 (06).MP4	6337	1.17590		-1.00000	-20.88774	133.82218	-983.26810	0.49341	0.55508	1.95688	3.67367	992.55268	7.48055								sync		
npz6.21	6	L035 (09).MP4	68026	R036 (08).MP4	70254	63.99421	1	2.40740	-960.80925	-69.28581	-1544.43142	2.62014	0.75400	4.28652	14.42761	1820.22618	31.98119	Labridae	Suezichthys	cyanolaemus	37384161	1	AD	Passing			
npz6.21	7	L035 (09).MP4	68324	R036 (08).MP4	70552	64.07707	1	2.49027	-738.28306	-209.01674	-1329.13769	1.84869	0.80581	3.29997	8.13368	1534.71720	30.09935	Labridae	Suezichthys	cyanolaemus	37384161	1	AD	Passing			
npz6.21	21	L035 (10).MP4	56053	R036 (09).MP4	58280	83.20451	1	21.61771	594.96679	214.98244	-1495.54647	1.80126	0.96834	4.31413	7.40469	1623.84180	22.80610	Pomacentridae	Chromis	spp		1	AD	Passing			
npz6.21	22	L035 (10).MP4	56053	R036 (09).MP4	58280	83.20451	1	21.61771	895.61949	253.65726	-1553.25161	2.48337	1.02855	4.24565	2.67493	1810.81939	30.83561	Pomacentridae	Chromis	spp		1	AD	Passing			
npz6.21	23	L035 (10).MP4	56053	R036 (09).MP4	58280	83.20451	1	21.61771	476.62155	40.63989	-1464.51377	1.49449	0.72607	4.22491	0.63359	1540.65580	18.06088	Pomacentridae	Chromis	spp	99379175	1	AD	Passing			
npz6.21	42	L035 (11).MP4	35268	R036 (10).MP4	37496	99.96487	1	38.37806	-454.84635	427.20097	-1391.42790	1.36058	1.35850	3.80629	7.52761	1524.94507	23.90473	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.22	0	L037 (01).MP4	10388	R038 (01).MP4	7417	2.88844		-1.00000	20.08441	-74.13702	-391.25065	0.19358	0.20325	0.30574	1.89753	398.71889	11.48544								sync		
npz6.22	2	L037 (03).MP4	68902	R038 (03).MP4	65931	64.23778	1	13.66726	-1147.54928	35.80722	-2483.31578	5.43292	1.22492	11.90301	25.38756	2735.87440	24.80313	Mullidae	Parupeneus	spilurus	37355015	1	AD	Passing			
npz6.22	3	L037 (03).MP4	69991	R038 (03).MP4	67020	64.54059	1	13.97007	980.09150	135.06540	-1928.54204	3.41168	1.05093	6.80337	25.80671	2167.50927	27.10720	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.22	4	L037 (03).MP4	72387	R038 (03).MP4	69416	65.20681	1	14.63629	492.74881	-64.24436	-1133.72892	1.15844	0.56052	2.45666	14.36239	1237.84894	23.72172	Chaetodontidae	Chaetodon	assarius	37365012	1	AD	Passing			
npz6.22	5	L037 (04).MP4	2328	R038 (03).MP4	80418	68.26598	1	17.69546	-893.56620	-159.04939	-2847.64184	5.08320	1.59054	16.10683	34.15260	2988.78258	17.75101	Urolophidae		spp		1	AD	Passing			
npz6.22	8	L037 (04).MP4	49372	R038 (04).MP4	46401	81.34682	1	30.77630	-1178.86911	639.90123	-2497.32665	5.43847	3.26517	11.65462	10.00728	2834.75685	28.05587	Haemulidae	Diagramma	pictum	37350003	1	AD	Passing			
npz6.22	12	L037 (05).MP4	27092	R038 (05).MP4	24121	97.69148	1	47.12096	-26.82673	-85.79718	-2139.08794	1.04876	1.07985	9.07371	47.71870	2140.97595	2.78269	Labridae	Coris	auricularis	37384088	98	AD	Passing			
npz6.22	25	L037 (05).MP4	27236	R038 (05).MP4	24265	97.73152	1	47.16100	476.97979	558.68830	-1961.66136	1.98821	2.36538	7.51161	32.88587	2094.69750	20.23357	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.22	28	L037 (05).MP4	27248	R038 (05).MP4	24277	97.73486	1	47.16434	258.29858	90.97843	-786.70748	0.54176	0.41101	1.20830	6.59576	833.00894	19.06630	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.22	37	L037 (05).MP4	27414	R038 (05).MP4	24443	97.78102	1	47.21050	-571.61318	425.34427	-1878.06582	2.22830	1.85099	6.97331	18.57370	2008.67882	20.54425	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.22	42	L037 (05).MP4	43085	R038 (05).MP4	40114	102.13843	1	51.56791	-384.46653	1012.92860	-3152.89905	2.77253	6.54463	19.50863	35.34973	3333.85832	18.59868	Carangidae	Seriola	hippos	37337007	1	AD	Passing			
npz6.24	0	L027 (01).MP4	19517	R028 (01).MP4	18372	5.42681		-1.00000	-53.80611	97.67056	-409.85208	0.20898	0.21813	0.33458	9.65608	424.75094	15.47464								sync		
npz6.24	5	L027 (03).MP4	12561	R028 (03).MP4	11417	48.58882	1	1.29351	1057.92344	438.11070	-2500.91678	4.99777	2.32833	11.88893	44.35391	2750.58680	24.71297	Pomacentridae	Chromis	spp	99379175	40	AD	Passing			
npz6.24	40	L027 (04).MP4	71446	R028 (04).MP4	70302	87.50158	1	40.20628	24.08540	-130.53762	-1786.42411	0.88069	0.99644	6.29603	41.85435	1791.34901	3.96512	Labridae	Coris	auricularis	37384088	35	AD	Passing			
npz6.26	0	L041 (01).MP4	10106	R042 (01).MP4	7511	2.81003		-1.00000	-11.07511	118.98841	-1513.91218	0.74557	0.82818	4.58452	6.46492	1518.62141	4.22103								sync		
npz6.26	2	L041 (02).MP4	50826	R042 (02).MP4	48231	36.68887	1	0.65343	-130.80774	-54.93794	-2280.84448	1.24679	1.12292	10.31462	10.91750	2285.25280	3.68308	Labridae	Anampses	geographicus	37384048	1	AD	Passing			
npz6.26	3	L041 (02).MP4	50826	R042 (02).MP4	48231	36.68887	1	0.65343	33.92020	-20.68709	-2336.16275	1.14785	1.13286	10.80560	7.20899	2336.50057	1.15479	Labridae	Anampses	geographicus	37384048	1	AD	Passing			
npz6.26	4	L041 (02).MP4	50826	R042 (02).MP4	48231	36.68887	1	0.65343	30.56216	33.87105	-2409.49359	1.18107	1.18753	11.48486	11.84748	2409.92545	0.88871	Labridae	Anampses	geographicus	37384048	1	AD	Passing			
npz6.26	5	L041 (02).MP4	50826	R042 (02).MP4	48231	36.68887	1	0.65343	419.75469	-20.93583	-2849.18488	2.67402	1.37934	16.03234	14.25721	2880.01507	8.41076	Labridae	Anampses	geographicus	37384048	1	AD	Passing			
npz6.26	6	L041 (02).MP4	51174	R042 (02).MP4	48579	36.78564	1	0.75019	-219.56305	-152.06246	-663.35920	0.42856	0.38197	0.88135	2.22952	715.10584	22.09893	Labridae	Suezichthys	cyanolaemus	37384161	1	AD	Passing			
npz6.26	7	L041 (02).MP4	51189	R042 (02).MP4	48594	36.78981	1	0.75436	-435.28042	-152.07015	-1102.05080	1.04566	0.62597	2.42152	2.60162	1194.61724	22.80207	Labridae	Suezichthys	cyanolaemus	37384161	1	AD	Passing			
npz6.26	9	L041 (02).MP4	58839	R042 (02).MP4	56244	38.91693	1	2.88149	1465.40155	-123.80241	-2429.55733	6.15996	1.23916	10.40071	6.06273	2839.97844	31.21266	Chaetodontidae	Chaetodon	auriga	37365019	1	AD	Passing			
