Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length
10.07,113.5400165,-22.67311405,14082019,12:40:00,10,Ningaloo Marine Park,NA,138,Charlotte Aston,No ,No 
10.08,113.5383536,-22.67035488,14082019,12:46:00,10,Ningaloo Marine Park,NA,157,Charlotte Aston,No ,No 
10.09,113.55942,-22.62918,14082019,14:34:00,10,Ningaloo Marine Park,NA,160,Brooke Gibbons,Yes,Yes
10.11,113.5636,-22.61773,14082019,14:41:00,10,Ningaloo Marine Park,NA,160,Brooke Gibbons,Yes,Yes
10.12,113.57775,-22.59615,14082019,15:20:00,10,Ningaloo Marine Park,NA,136,Brooke Gibbons,Yes,Yes
10.13,113.579,-22.638,14082019,14:53:00,10,Ningaloo Marine Park,NA,78,Brooke Gibbons,Yes,Yes
10.14,113.5916667,-22.624,14082019,15:02:00,10,Ningaloo Marine Park,NA,74,Charlotte Aston,Yes,Yes
10.15,113.594,-22.6058333,14082019,15:10:00,10,Ningaloo Marine Park,NA,84,Charlotte Aston,Yes,Yes
11.01,113.6215013,-22.54044354,15082019,8:06:00,11,Ningaloo Marine Park,NA,84,Charlotte Aston,Yes,Yes
11.02,113.6248272,-22.5365347,15082019,8:11:00,11,Ningaloo Marine Park,NA,81,Charlotte Aston,Yes,Yes
11.03,113.6274404,-22.53377552,15082019,8:15:00,11,Ningaloo Marine Park,NA,79,Charlotte Aston,No,No 
11.04,113.6243521,-22.52871703,15082019,8:19:00,11,Ningaloo Marine Park,NA,91,Charlotte Aston,Yes,Yes
11.05,113.6255399,-22.52618778,15082019,8:25:00,11,Ningaloo Marine Park,NA,91,Charlotte Aston,No ,No
11.06,113.6345674,-22.52388847,15082019,8:31:00,11,Ningaloo Marine Park,NA,77,Charlotte Aston,Yes,Yes
12.02,113.67504,-22.46724,15082019,10:37:00,12,Ningaloo Marine Park,NA,56,Charlotte Aston,Yes,Yes
12.03,113.6678265,-22.46824503,15082019,10:44:00,12,Ningaloo Marine Park,NA,65,Charlotte Aston,Yes,Yes
12.04,113.6687767,-22.46433619,15082019,10:48:00,12,Ningaloo Marine Park,NA,70,Charlotte Aston,Yes,Yes
12.05,113.6599868,-22.4673253,15082019,10:29:00,12,Ningaloo Marine Park,NA,86,Charlotte Aston,Yes,Yes
12.06,113.6573736,-22.46548585,15082019,10:25:00,12,Ningaloo Marine Park,NA,94,Charlotte Aston,No ,No
12.11,113.64333,-22.48475,15082019,10:14:00,12,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes
13.02,113.7058369,-22.40386419,15082019,12:32:00,13,Ningaloo Marine Park,NA,69,Charlotte Aston,Yes,Yes
13.03,113.7013231,-22.39903562,15082019,12:52:00,13,Ningaloo Marine Park,NA,83,Charlotte Aston,Yes,Yes
13.04,113.6972845,-22.39765604,15082019,12:48:00,13,Ningaloo Marine Park,NA,92,Charlotte Aston,Yes,Yes
13.05,113.6932459,-22.40087508,15082019,12:43:00,13,Ningaloo Marine Park,NA,96,Charlotte Aston,Yes,Yes
13.06,113.6922957,-22.40478391,15082019,12:39:00,13,Ningaloo Marine Park,NA,94.5,Charlotte Aston,Yes,Yes
13.08,113.7039364,-22.39328734,15082019,12:56:00,13,Ningaloo Marine Park,NA,85,Charlotte Aston,Yes,Yes
14.01,113.72408,-22.32524,15082019,14:46:00,14,Ningaloo Marine Park,NA,96,Charlotte Aston,Yes,Yes
14.02,113.73251,-22.30284,15082019,15:12:00,14,Ningaloo Marine Park,NA,101,Charlotte Aston,Yes,Yes
14.03,113.74266,-22.27651,15082019,15:25:00,14,Ningaloo Marine Park,NA,109,Charlote Aston,No,No 
14.06,113.79046,-22.17832,16082019,8:12:00,14,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes
14.11,113.7371667,-22.3266667,15082019,14:53:00,14,Ningaloo Marine Park,NA,75,Charlotte Aston,Yes,Yes
14.12,113.746,-22.3071667,15082019,15:05:00,14,Ningaloo Marine Park,NA,82,Charlotte Aston,Yes,Yes
14.13,113.7416667,-22.2866667,15082019,15:20:00,14,Ningaloo Marine Park,NA,101,Charlotte Aston,Yes,Yes
15.01,113.7915,-22.17344,16082019,8:16:00,15,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes
15.02,113.7941,-22.16882,16082019,8:20:00,15,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes
15.05,113.78335,-22.16173,16082019,8:27:00,15,Ningaloo Marine Park,NA,122,Charlotte Aston,No,No 
15.07,113.79163,-22.13639,16082019,8:43:00,15,Ningaloo Marine Park,NA,116,Charlotte Aston,Yes,Yes
15.12,113.7899349,-22.14381158,16082019,8:39:00,15,Ningaloo Marine Park,NA,110,Charlotte Aston,Yes,Yes
16.01,113.80074,-22.12155,16082019,10:22:00,18,Ningaloo Marine Park,NA,101,Charlotte Aston,Yes,Yes
16.02,113.79192,-22.11624,16082019,10:28:00,16,Ningaloo Marine Park,NA,145,Charlotte Aston,Yes,Yes
16.03,113.7967,-22.10669,16082019,10:39:00,16,Ningaloo Marine Park,NA,190,Charlotte Aston,Yes,Yes
16.04,113.8081,-22.09742,16082019,10:48:00,16,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes
16.05,113.82563,-22.0856,16082019,11:00:00,16,Ningaloo Marine Park,NA,85,Charlotte Aston,Yes,Yes
17.08,113.8193929,-22.0943763,16082019,10:53:00,17,Ningaloo Marine Park,NA,90,Charlotte Aston,Yes,Yes
18.01,113.812266,-22.06954369,16082019,12:33:00,18,Ningaloo Marine Park,NA,91,Charlotte Aston,Yes,Yes
18.02,113.8120284,-22.06517499,16082019,12:38:00,18,Ningaloo Marine Park,NA,91,Charlotte Aston,Yes,Yes
18.03,113.8082274,-22.06563485,16082019,12:46:00,18,Ningaloo Marine Park,NA,117,Charlotte Aston,Yes,Yes
