Dot Point Measurements

Generated: Wednesday, March 18, 2020 14:07:24

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Broad	Morphology	Type	FieldOfView	Relief	Bedforms	Bedform.type	CODE	Radius %
10.02.jpg	      0		675	576													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001014	46.9
10.02.jpg	      0		944	576													Hydrocoral	Branching		Open	3. Good relief structure with some overhangs. >45 substrate slope.			11077906	64.3
10.02.jpg	      0		136	960													Octocoral/Black	Fan (2D)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			11168912	46.6
10.02.jpg	      0		405	960													Unconsolidated	Sand / mud (coarse sand)		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope."			82001014	15.5
10.02.jpg	      0		675	960													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001014	15.5
10.02.jpg	      0		944	960													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001014	46.6
10.02.jpg	      0		136	1344													Octocoral/Black	Fan (2D)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			11168912	64.3
10.02.jpg	      0		405	1344													Octocoral/Black	Fan (2D)		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope."			11168912	46.9
10.02.jpg	      0		675	1344													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001014	46.9
10.02.jpg	      0		944	1344													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001014	64.3
10.02.jpg	      0		136	1727													Octocoral/Black	Fan (2D)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			11168912	100.0
10.02.jpg	      0		405	1727													Octocoral/Black	Fan (2D)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			11168912	89.8
10.02.jpg	      0		675	1727													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001014	89.8
10.02.jpg	      0		944	1727													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001014	100.0
10.03.jpg	      0		136	193													Open Water			Open					100.0
10.03.jpg	      0		405	193													Octocoral/Black	Whip		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			11168917	89.8
10.03.jpg	      0		675	193													Octocoral/Black	Whip		Open	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168917	89.8
10.03.jpg	      0		944	193													Octocoral/Black	Whip		Open	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168917	100.0
10.03.jpg	      0		136	576													Open Water			Open					64.3
