"species","trophic_level","se","metric"
"Squalus montalbani","4.4","0.4","based on size and trophs of closest relative"
"Squalus chloroculus","4.4","0.4","based on size and trophs of closest relative"
"Cirrhigaleus australis","4.3","0.6","based on size and trophs of closest relative"
"Centrophorus westraliensis","4.3","0.3","based on size and trophs of closest relative"
"Scymnodalatias sherwoodi","4.0","0.4","based on size and trophs of closest relative"
"Squalus raoulensis","4.3","0.3","based on size and trophs of closest relative"
"Etmopterus litvinovi","4.3","0.6","based on size and trophs of closest relative"
"Oxynotus bruniensis","4.0","0.62","based on food items"
"Echinorhinus brucus","4.4","0.7","based on diet studies"
"Echinorhinus cookei","4.4","0.76","based on food items"
"Pristiophorus nudipinnis","4.0","0.6","based on size and trophs of closest relative"
"Pristiophorus cirratus","4.2","0.71","based on food items"
"Pristiophorus delicatus","3.9","0.6","based on size and trophs of closest relative"
"Squatina australis","4.0","0.66","based on food items"
"Squatina tergocellata","4.5","0.62","based on food items"
"Squatina albipunctata","4.0","0.6","based on size and trophs of closest relative"
"Squatina pseudocellata","3.9","0.6","based on size and trophs of closest relative"
"Pristis zijsron","4.0","0.6","based on size and trophs of closest relative"
"Anoxypristis cuspidata","4.5","0.62","based on food items"
"Pristis pristis","4.0","0.60","based on food items"
"Pristis clavata","3.8","0.6","based on size and trophs of closest relative"
"Rhina ancylostomus","3.6","0.50","based on food items"
"Rhynchobatus palpebratus","3.6","0.6","based on size and trophs of closest relative"
"Rhynchobatus australiae","3.5","0.50","based on food items"
"Aptychotrema vincentiana","3.6","0.6","based on size and trophs of closest relative"
"Rhinobatos sainsburyi","3.7","0.4","based on size and trophs of closest relative"
"Trygonorrhina fasciata","3.7","0.6","based on size and trophs of closest relative"
"Aptychotrema timorensis","3.6","0.6","based on size and trophs of closest relative"
"Aptychotrema rostrata","3.9","0.62","based on food items"
"Glaucostegus typus","3.6","0.50","based on food items"
"Trygonorrhina dumerilii","3.7","0.6","based on size and trophs of closest relative"
"Hypnos monopterygius","3.7","0.57","based on food items"
"Narcinops tasmaniensis","3.3","0.48","based on food items"
"Tetronarce nobiliana","4.5","0.6","based on diet studies"
"Narcinops lasti","3.3","0.4","based on size and trophs of closest relative"
"Narcinops westraliensis","3.3","0.31","based on food items"
"Narcinops ornatus","3.3","0.4","based on size and trophs of closest relative"
"Narcinops nelsoni","3.3","0.4","based on size and trophs of closest relative"
"Irolita waitii","3.8","0.7","based on size and trophs of closest relative"
"Dentiraja australis","4.1","0.7","based on size and trophs of closest relative"
"Dentiraja cerva","4.2","0.7","based on size and trophs of closest relative"
"Dentiraja confusa","4.2","0.7","based on size and trophs of closest relative"
"Spiniraja whitleyi","4.0","0.6","based on size and trophs of closest relative"
"Dentiraja lemprieri","4.0","0.67","based on food items"
"Pavoraja nitida","3.7","0.7","based on size and trophs of closest relative"
"Dipturus gudgeri","4.0","0.6","based on size and trophs of closest relative"
"Dentiraja healdi","4.2","0.7","based on size and trophs of closest relative"
"Okamejei leptoura","4.1","0.6","based on size and trophs of closest relative"
"Notoraja hirticauda","3.7","0.7","based on size and trophs of closest relative"
"Bathyraja ishiharai","4.1","0.7","based on size and trophs of closest relative"
"Irolita westraliensis","3.7","0.7","based on size and trophs of closest relative"
"Notoraja azurea","3.8","0.7","based on size and trophs of closest relative"
"Notoraja ochroderma","3.5","0.37","based on food items"
"Notoraja sticta","3.8","0.7","based on size and trophs of closest relative"
"Insentiraja laxipella","3.8","0.7","based on size and trophs of closest relative"
"Insentiraja subtilispinosa","3.5","0.37","based on food items"
