id,imcra_names,imcra_codes
37437008,Northwest Shelf Province,27
37437008,Central Western Shelf Transition,28
37437008,Central Western Shelf Province,29
37437008,Northwest Transition,3
37437008,Central Eastern Shelf Province,38
37437008,Central Eastern Shelf Transition,39
37437008,Northeast Shelf Province,40
37437008,Northeast Shelf Transition,41
37437044,Timor Province,2
37437002,Timor Province,2
37437002,Northern Shelf Province,25
37437002,Northwest Shelf Transition,26
37437002,Northwest Shelf Province,27
37437002,Central Western Shelf Transition,28
37437002,Central Western Shelf Province,29
37437002,Southwest Shelf Transition,30
37437002,Central Eastern Shelf Transition,39
37437002,Northeast Shelf Province,40
37437002,Northeast Shelf Transition,41
37437009,Northeast Province,18
37437009,Cocos (Keeling) Island Province,22
37437009,Christmas Island Province,23
37437009,Northeast Shelf Transition,41
37437010,Northeast Province,18
37437010,Timor Province,2
37437010,Cape Province,20
37437010,Cocos (Keeling) Island Province,22
37437010,Christmas Island Province,23
37437010,Northwest Shelf Province,27
37437010,Central Western Shelf Transition,28
37437010,Northwest Transition,3
37437010,Central Eastern Shelf Province,38
37437010,Central Eastern Shelf Transition,39
37437010,Northeast Shelf Province,40
37437010,Northeast Shelf Transition,41
37437041,Northeast Province,18
37437041,Cocos (Keeling) Island Province,22
37437041,Christmas Island Province,23
37437041,Northeast Shelf Transition,41
37437011,Timor Province,2
37437011,Cocos (Keeling) Island Province,22
37437011,Christmas Island Province,23
37437011,Northwest Shelf Province,27
37437011,Central Western Shelf Transition,28
37437011,Central Western Shelf Province,29
37437011,Central Eastern Shelf Province,38
37437011,Central Eastern Shelf Transition,39
37437011,Northeast Shelf Province,40
37437011,Northeast Shelf Transition,41
37437012,Northeast Province,18
37437012,Timor Province,2
37437012,Cocos (Keeling) Island Province,22
37437012,Christmas Island Province,23
37437012,Northwest Shelf Transition,26
37437012,Northwest Shelf Province,27
37437012,Central Western Shelf Transition,28
37437012,Northwest Transition,3
37437012,Central Eastern Shelf Transition,39
37437012,Northeast Shelf Province,40
37437012,Northeast Shelf Transition,41
37437013,Timor Province,2
37437013,Cocos (Keeling) Island Province,22
37437013,Christmas Island Province,23
37437013,Northwest Transition,3
37437013,Northeast Shelf Province,40
37437013,Northeast Shelf Transition,41
37437014,Lord Howe Province,14
37437014,Northeast Province,18
37437014,Northeast Transition,19
37437014,Timor Province,2
37437014,Cape Province,20
37437014,Norfolk Island Province,21
37437014,Cocos (Keeling) Island Province,22
37437014,Christmas Island Province,23
37437014,Northwest Shelf Province,27
37437014,Central Western Shelf Transition,28
37437014,Central Western Shelf Province,29
37437014,Northwest Transition,3
37437014,Southwest Shelf Transition,30
37437014,Southwest Shelf Province,31
37437014,Central Eastern Shelf Province,38
37437014,Central Eastern Shelf Transition,39
37437014,Northeast Shelf Province,40
37437014,Northeast Shelf Transition,41
37437015,Northeast Province,18
37437015,Northeast Shelf Province,40
37437015,Northeast Shelf Transition,41
37437016,Lord Howe Province,14
37437016,Northeast Province,18
37437016,Timor Province,2
37437016,Cocos (Keeling) Island Province,22
37437016,Christmas Island Province,23
37437016,Northwest Shelf Province,27
37437016,Central Western Shelf Transition,28
37437016,Central Western Shelf Province,29
37437016,Northwest Transition,3
37437016,Central Eastern Shelf Province,38
37437016,Central Eastern Shelf Transition,39
37437016,Northeast Shelf Province,40
37437016,Northeast Shelf Transition,41
37437017,Northeast Province,18
37437017,Northeast Transition,19
37437017,Timor Province,2
37437017,Cocos (Keeling) Island Province,22
37437017,Christmas Island Province,23
37437017,Northwest Transition,3
37437017,Southeast Shelf Transition,37
37437017,Central Eastern Shelf Province,38
37437017,Central Eastern Shelf Transition,39
37437017,Northeast Shelf Province,40
37437017,Northeast Shelf Transition,41
37437050,Christmas Island Province,23
37437018,Northeast Province,18
37437018,Timor Province,2
37437018,Cocos (Keeling) Island Province,22
37437018,Christmas Island Province,23
37437018,Northwest Transition,3
37437018,Northeast Shelf Transition,41
37437019,Lord Howe Province,14
37437019,Northeast Province,18
37437019,Timor Province,2
37437019,Norfolk Island Province,21
37437019,Cocos (Keeling) Island Province,22
37437019,Christmas Island Province,23
37437019,Northwest Shelf Province,27
37437019,Central Western Shelf Transition,28
37437019,Central Western Shelf Province,29
37437019,Northwest Transition,3
37437019,Southwest Shelf Transition,30
37437019,Southwest Shelf Province,31
37437019,Southeast Shelf Transition,37
37437019,Central Eastern Shelf Province,38
37437019,Central Eastern Shelf Transition,39
37437019,Northeast Shelf Province,40
37437019,Northeast Shelf Transition,41
37437051,Christmas Island Province,23
37437020,Northeast Province,18
37437020,Timor Province,2
37437020,Cocos (Keeling) Island Province,22
37437020,Christmas Island Province,23
37437020,Northwest Shelf Transition,26
37437020,Northwest Shelf Province,27
37437020,Northwest Transition,3
37437020,Central Eastern Shelf Province,38
37437020,Central Eastern Shelf Transition,39
37437020,Northeast Shelf Province,40
37437020,Northeast Shelf Transition,41
37228054,Northern Shelf Province,25
37428019,Northern Shelf Province,25
37428019,Northwest Shelf Transition,26
37428019,Northwest Shelf Province,27
37428019,Central Eastern Shelf Transition,39
37428019,Northeast Shelf Province,40
37428019,Northeast Shelf Transition,41
37428031,Northwest Shelf Transition,26
37428031,Northwest Shelf Province,27
37428031,Central Eastern Shelf Transition,39
37428031,Northeast Shelf Province,40
37428031,Northeast Shelf Transition,41
37428361,Southwest Shelf Province,31
37428361,Bass Strait Shelf Province,35
37428361,Central Eastern Shelf Province,38
37428021,Northern Shelf Province,25
37428021,Northwest Shelf Transition,26
37428021,Northwest Shelf Province,27
37428021,Central Eastern Shelf Transition,39
37428021,Northeast Shelf Province,40
37428021,Northeast Shelf Transition,41
37282035,Northeast Shelf Province,40
37282035,Northeast Shelf Transition,41
37384002,Southwest Shelf Transition,30
37384002,Southwest Shelf Province,31
37384002,Great Australian Bight Shelf Transition,32
37384002,Spencer Gulf Shelf Province,33
37384002,Western Bass Strait Shelf Transition,34
37384043,Tasmanian Shelf Province,36
37384043,Southeast Shelf Transition,37
37384043,Central Eastern Shelf Province,38
37384043,Central Eastern Shelf Transition,39
37465044,Northwest Transition,3
37465044,Northeast Shelf Province,40
37465044,Northeast Shelf Transition,41
37465042,Northern Shelf Province,25
37465042,Central Eastern Shelf Transition,39
37465042,Northeast Shelf Transition,41
37311235,Timor Transition,1
37311167,Timor Transition,1
37311167,Timor Province,2
37311167,Northern Shelf Province,25
37311167,Northwest Shelf Transition,26
37311167,Northwest Transition,3
37311167,Northwest Province,4
37311167,Central Western Transition,5
37290004,Northern Shelf Province,25
37290004,Northwest Shelf Transition,26
37290004,Northwest Shelf Province,27
37290004,Central Western Shelf Transition,28
37290004,Central Western Shelf Province,29
37290004,Central Eastern Shelf Transition,39
37290004,Northeast Shelf Province,40
37290004,Northeast Shelf Transition,41
37280003,Cape Province,20
37280003,Northeast Shelf Province,40
37280003,Northeast Shelf Transition,41
37462001,Northeast Province,18
37462001,Timor Province,2
37462001,Northwest Shelf Transition,26
37462001,Northwest Shelf Province,27
37462001,Central Western Shelf Transition,28
37462001,Central Western Shelf Province,29
37462001,Central Eastern Shelf Province,38
37462001,Central Eastern Shelf Transition,39
37462001,Northwest Province,4
37462001,Northeast Shelf Province,40
37292004,Central Western Shelf Province,29
37292004,Southwest Shelf Transition,30
37292004,Southwest Shelf Province,31
37292004,Great Australian Bight Shelf Transition,32
37292004,Spencer Gulf Shelf Province,33
37292004,Western Bass Strait Shelf Transition,34
37292004,Bass Strait Shelf Province,35
37292004,Tasmanian Shelf Province,36
37292004,Southeast Shelf Transition,37
37311134,Timor Province,2
37311134,Cocos (Keeling) Island Province,22
37311134,Christmas Island Province,23
37311134,Northwest Shelf Transition,26
37311134,Northwest Transition,3
37311134,Northeast Shelf Province,40
37311134,Northeast Shelf Transition,41
37039003,Timor Transition,1
37039003,Christmas Island Province,23
37039003,Northern Shelf Province,25
37039003,Northwest Shelf Transition,26
37039003,Northwest Shelf Province,27
37039003,Central Western Shelf Transition,28
37039003,Central Western Shelf Province,29
37039003,Central Eastern Shelf Province,38
37039003,Central Eastern Shelf Transition,39
37039003,Northeast Shelf Province,40
37039003,Northeast Shelf Transition,41
37039002,Northern Shelf Province,25
37039002,Northwest Shelf Transition,26
37039002,Northwest Shelf Province,27
37039002,Central Eastern Shelf Transition,39
37039002,Northeast Shelf Province,40
