caab_code,imcra_region
37437006,Northeast Shelf Province
37437006,Northeast Shelf Transition
37437007,Lord Howe Province
37437007,Northeast Province
37437007,Timor Province
37437007,Cocos (Keeling) Island Province
37437007,Christmas Island Province
37437007,Northwest Transition
37437007,Southeast Shelf Transition
37437007,Central Eastern Shelf Province
37437007,Central Eastern Shelf Transition
37437007,Northeast Shelf Province
37437007,Northeast Shelf Transition
37437008,Lord Howe Province
37437008,Northeast Province
37437008,Timor Province
37437008,Norfolk Island Province
37437008,Christmas Island Province
37437008,Northwest Shelf Province
37437008,Central Western Shelf Transition
37437008,Central Western Shelf Province
37437008,Northwest Transition
37437008,Central Eastern Shelf Province
37437008,Central Eastern Shelf Transition
37437008,Northeast Shelf Province
37437008,Northeast Shelf Transition
37437044,Timor Province
37437002,Timor Province
37437002,Northern Shelf Province
37437002,Northwest Shelf Transition
37437002,Northwest Shelf Province
37437002,Central Western Shelf Transition
37437002,Central Western Shelf Province
37437002,Southwest Shelf Transition
37437002,Central Eastern Shelf Transition
37437002,Northeast Shelf Province
37437002,Northeast Shelf Transition
37437009,Northeast Province
37437009,Cocos (Keeling) Island Province
37437009,Christmas Island Province
37437009,Northeast Shelf Transition
37437010,Northeast Province
37437010,Timor Province
37437010,Cape Province
37437010,Cocos (Keeling) Island Province
37437010,Christmas Island Province
37437010,Northwest Shelf Province
37437010,Central Western Shelf Transition
37437010,Northwest Transition
37437010,Central Eastern Shelf Province
37437010,Central Eastern Shelf Transition
37437010,Northeast Shelf Province
37437010,Northeast Shelf Transition
37437041,Northeast Province
37437041,Cocos (Keeling) Island Province
37437041,Christmas Island Province
37437041,Northeast Shelf Transition
37437011,Timor Province
37437011,Cocos (Keeling) Island Province
37437011,Christmas Island Province
37437011,Northwest Shelf Province
37437011,Central Western Shelf Transition
37437011,Central Western Shelf Province
37437011,Central Eastern Shelf Province
37437011,Central Eastern Shelf Transition
37437011,Northeast Shelf Province
37437011,Northeast Shelf Transition
37437012,Northeast Province
37437012,Timor Province
37437012,Cocos (Keeling) Island Province
37437012,Christmas Island Province
37437012,Northwest Shelf Transition
37437012,Northwest Shelf Province
37437012,Central Western Shelf Transition
37437012,Northwest Transition
37437012,Central Eastern Shelf Transition
37437012,Northeast Shelf Province
37437012,Northeast Shelf Transition
37437013,Timor Province
37437013,Cocos (Keeling) Island Province
37437013,Christmas Island Province
37437013,Northwest Transition
37437013,Northeast Shelf Province
37437013,Northeast Shelf Transition
37437014,Lord Howe Province
37437014,Northeast Province
37437014,Northeast Transition
37437014,Timor Province
37437014,Cape Province
37437014,Norfolk Island Province
37437014,Cocos (Keeling) Island Province
37437014,Christmas Island Province
37437014,Northwest Shelf Province
37437014,Central Western Shelf Transition
37437014,Central Western Shelf Province
37437014,Northwest Transition
37437014,Southwest Shelf Transition
37437014,Southwest Shelf Province
37437014,Central Eastern Shelf Province
37437014,Central Eastern Shelf Transition
37437014,Northeast Shelf Province
37437014,Northeast Shelf Transition
37437015,Northeast Province
37437015,Northeast Shelf Province
37437015,Northeast Shelf Transition
37437016,Lord Howe Province
37437016,Northeast Province
37437016,Timor Province
37437016,Cocos (Keeling) Island Province
37437016,Christmas Island Province
37437016,Northwest Shelf Province
37437016,Central Western Shelf Transition
37437016,Central Western Shelf Province
37437016,Northwest Transition
37437016,Central Eastern Shelf Province
37437016,Central Eastern Shelf Transition
37437016,Northeast Shelf Province
37437016,Northeast Shelf Transition
37437017,Northeast Province
37437017,Northeast Transition
37437017,Timor Province
37437017,Cocos (Keeling) Island Province
37437017,Christmas Island Province
37437017,Northwest Transition
37437017,Southeast Shelf Transition
37437017,Central Eastern Shelf Province
37437017,Central Eastern Shelf Transition
37437017,Northeast Shelf Province
37437017,Northeast Shelf Transition
37437050,Christmas Island Province
37437018,Northeast Province
37437018,Timor Province
37437018,Cocos (Keeling) Island Province
37437018,Christmas Island Province
37437018,Northwest Transition
37437018,Northeast Shelf Transition
37437019,Lord Howe Province
37437019,Northeast Province
37437019,Timor Province
37437019,Norfolk Island Province
37437019,Cocos (Keeling) Island Province
37437019,Christmas Island Province
37437019,Northwest Shelf Province
37437019,Central Western Shelf Transition
37437019,Central Western Shelf Province
37437019,Northwest Transition
37437019,Southwest Shelf Transition
37437019,Southwest Shelf Province
37437019,Southeast Shelf Transition
37437019,Central Eastern Shelf Province
37437019,Central Eastern Shelf Transition
37437019,Northeast Shelf Province
37437019,Northeast Shelf Transition
37437051,Christmas Island Province
37437020,Northeast Province
37437020,Timor Province
37437020,Cocos (Keeling) Island Province
37437020,Christmas Island Province
37437020,Northwest Shelf Transition
37437020,Northwest Shelf Province
37437020,Northwest Transition
37437020,Central Eastern Shelf Province
37437020,Central Eastern Shelf Transition
37437020,Northeast Shelf Province
37437020,Northeast Shelf Transition
37228054,Northern Shelf Province
37428019,Northern Shelf Province
37428019,Northwest Shelf Transition
37428019,Northwest Shelf Province
37428019,Central Eastern Shelf Transition
37428019,Northeast Shelf Province
37428019,Northeast Shelf Transition
37428031,Northwest Shelf Transition
37428031,Northwest Shelf Province
37428031,Central Eastern Shelf Transition
37428031,Northeast Shelf Province
37428031,Northeast Shelf Transition
37428361,Southwest Shelf Province
37428361,Bass Strait Shelf Province
37428361,Central Eastern Shelf Province
37428021,Northern Shelf Province
37428021,Northwest Shelf Transition
37428021,Northwest Shelf Province
37428021,Central Eastern Shelf Transition
37428021,Northeast Shelf Province
37428021,Northeast Shelf Transition
37282035,Northeast Shelf Province
37282035,Northeast Shelf Transition
37384002,Southwest Shelf Transition
37384002,Southwest Shelf Province
37384002,Great Australian Bight Shelf Transition
37384002,Spencer Gulf Shelf Province
37384002,Western Bass Strait Shelf Transition
37384043,Tasmanian Shelf Province
37384043,Southeast Shelf Transition
37384043,Central Eastern Shelf Province
37384043,Central Eastern Shelf Transition
37465044,Northwest Transition
37465044,Northeast Shelf Province
37465044,Northeast Shelf Transition
37465042,Northern Shelf Province
37465042,Central Eastern Shelf Transition
37465042,Northeast Shelf Transition
37311235,Timor Transition
37311167,Timor Transition
37311167,Timor Province
37311167,Northern Shelf Province
37311167,Northwest Shelf Transition
37311167,Northwest Transition
37311167,Northwest Province
37311167,Central Western Transition
37290004,Northern Shelf Province
37290004,Northwest Shelf Transition
37290004,Northwest Shelf Province
37290004,Central Western Shelf Transition
37290004,Central Western Shelf Province
37290004,Central Eastern Shelf Transition
37290004,Northeast Shelf Province
37290004,Northeast Shelf Transition
37280003,Cape Province
37280003,Northeast Shelf Province
37280003,Northeast Shelf Transition
37462001,Northeast Province
37462001,Timor Province
37462001,Northwest Shelf Transition
37462001,Northwest Shelf Province
37462001,Central Western Shelf Transition
37462001,Central Western Shelf Province
37462001,Central Eastern Shelf Province
37462001,Central Eastern Shelf Transition
37462001,Northwest Province
37462001,Northeast Shelf Province
37292004,Central Western Shelf Province
37292004,Southwest Shelf Transition
37292004,Southwest Shelf Province
37292004,Great Australian Bight Shelf Transition
37292004,Spencer Gulf Shelf Province
