"synonym","unacceptreason","aphiaid","scientific"
"Schistura pavonaceus","senior synonym",1022515,"Acanthocobitis pavonacea"
"Cobitis rubidipinnis","synonym",1021246,"Acanthocobitis rubidipinnis"
"Nemacheilus rubidipinnis",NA,1021246,"Acanthocobitis rubidipinnis"
"Nemachilus rubidipinnis",NA,1021246,"Acanthocobitis rubidipinnis"
"Noemacheilus rubidipinnis","senior synonym",1021246,"Acanthocobitis rubidipinnis"
"Nemacheilus urophthalmus","senior synonym",1020689,"Acanthocobitis urophthalmus"
"Nemachilus urophthalmus","misspelling",1020689,"Acanthocobitis urophthalmus"
"Noemacheilus urophthalmus",NA,1020689,"Acanthocobitis urophthalmus"
"Paracanthocobitis urophthalma",NA,1020689,"Acanthocobitis urophthalmus"
"Acanthocybium forbesi",NA,127014,"Acanthocybium solandri"
"Acanthocybium petus",NA,127014,"Acanthocybium solandri"
"Acanthocybium sara",NA,127014,"Acanthocybium solandri"
"Acanthocybium solanderi","misspelling",127014,"Acanthocybium solandri"
"Acanthocybrium solandri","misspelling",127014,"Acanthocybium solandri"
"Acanthoscybium solanderi","misspelling",127014,"Acanthocybium solandri"
"Acantocybium solandri","misspelling",127014,"Acanthocybium solandri"
"Cybium petus",NA,127014,"Acanthocybium solandri"
"Cybium sara",NA,127014,"Acanthocybium solandri"
"Cybium solandri",NA,127014,"Acanthocybium solandri"
"Cybium verany",NA,127014,"Acanthocybium solandri"
"Jordanidia solandri","senior synonym",127014,"Acanthocybium solandri"
"Scomber amarui",NA,127014,"Acanthocybium solandri"
"Callichthys asper","synonym",1021601,"Acanthodoras cataphractus"
"Cataphractus americanus",NA,1021601,"Acanthodoras cataphractus"
"Cataphractus americanus","ambiguous synonym",1021601,"Acanthodoras cataphractus"
"Doras blochii","synonym",1021601,"Acanthodoras cataphractus"
"Doras castaneoventris","ambiguous synonym",1021601,"Acanthodoras cataphractus"
"Silurus cataphractus","synonym",1021601,"Acanthodoras cataphractus"
"Doras depressus",NA,1019981,"Acanthodoras depressus"
"Doras brunnescens","ambiguous synonym",1019764,"Acanthodoras spinosissimus"
"Doras spinosissimus",NA,1019764,"Acanthodoras spinosissimus"
"Aboma elongatus",NA,1014667,"Acanthogobius elongatus"
"Acanthogobius elongate",NA,1014667,"Acanthogobius elongatus"
"Aboma snyderi",NA,279475,"Acanthogobius flavimanus"
"Acanthogobius flavimannus","misspelling",279475,"Acanthogobius flavimanus"
"Gobius flavimanus",NA,279475,"Acanthogobius flavimanus"
"Gobius hasta",NA,279476,"Acanthogobius hasta"
"Synechogobius hasta",NA,279476,"Acanthogobius hasta"
"Synechogobius hastus",NA,279476,"Acanthogobius hasta"
"Aboma lactipes",NA,279477,"Acanthogobius lactipes"
"Gobius lactipes",NA,279477,"Acanthogobius lactipes"
"Gobius stigmothonus",NA,1460852,"Acanthogobius stigmothonus"
"Acantholabrus couchi",NA,126957,"Acantholabrus palloni"
"Acantholabrus couchii",NA,126957,"Acantholabrus palloni"
"Acantholabrus imbricatus",NA,126957,"Acantholabrus palloni"
"Crenilabrus luscus",NA,126957,"Acantholabrus palloni"
"Labrus pallidus",NA,126957,"Acantholabrus palloni"
"Labrus palloni",NA,126957,"Acantholabrus palloni"
"Lutjanus palloni",NA,126957,"Acantholabrus palloni"
"Lumpenus fowleri",NA,249703,"Acantholumpenus mackayi"
"Lumpenus mackayi",NA,249703,"Acantholumpenus mackayi"
"Acanthonus spinifer",NA,158998,"Acanthonus armatus"
"Chrysophrys australis",NA,279070,"Acanthopagrus australis"
"Mylio australis",NA,279070,"Acanthopagrus australis"
"Roughleyia australis",NA,279070,"Acanthopagrus australis"
"Sparus australis",NA,279070,"Acanthopagrus australis"
