"synonym","unacceptreason","aphiaid","scientific"
"Acipenser aculeatus",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser brevirostris",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser brevirostris",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstadti",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstadti var. colchica","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstadtii","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedti","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedti acutirostris",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedti colchicus natio danubicus","synonym",126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedti golis",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedti longirostris",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedti scaber",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedti tanaica",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedtii scobar",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser gueldenstaedtii var. colchicus",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser guldenstadti","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser güldenstädti","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser guldenstaedti","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser güldenstaedti","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser macrophthalmus",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser macrophthalmus",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser medius",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser medius",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser pygmaeus",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser tücka","misspelling",126275,"Acipenser gueldenstaedtii"
"Acipenser tuecka",NA,126275,"Acipenser gueldenstaedtii"
"Acipenser acutirostris",NA,271695,"Acipenser medirostris"
"Accipenser lutescens",NA,126276,"Acipenser naccarii"
"Acipenser heckelii",NA,126276,"Acipenser naccarii"
"Acipenser heckelii",NA,126276,"Acipenser naccarii"
"Acipenser ladanus",NA,126276,"Acipenser naccarii"
"Acipenser ladanus",NA,126276,"Acipenser naccarii"
"Acipenser naccari","misspelling",126276,"Acipenser naccarii"
"Acipenser nardoi",NA,126276,"Acipenser naccarii"
"Acipenser nasus","synonym",126276,"Acipenser naccarii"
"Acipenser platycephalus",NA,126276,"Acipenser naccarii"
"Acipenser platycephalus",NA,126276,"Acipenser naccarii"
"Acipenser sturionaster",NA,126276,"Acipenser naccarii"
"Acipenser sturionellus",NA,126276,"Acipenser naccarii"
"Acipenser glaber",NA,126277,"Acipenser nudiventris"
"Acipenser nudivenris","misspelling",126277,"Acipenser nudiventris"
"Acipenser nudiventris derjavini",NA,126277,"Acipenser nudiventris"
"Acipenser schypa",NA,126277,"Acipenser nudiventris"
"Acipenser schypa",NA,126277,"Acipenser nudiventris"
"Acipenser turritus",NA,126277,"Acipenser nudiventris"
"Acipenser turritus",NA,126277,"Acipenser nudiventris"
"Acipenser bairdii",NA,151802,"Acipenser oxyrinchus"
"Acipenser girardi",NA,151802,"Acipenser oxyrinchus"
"Acipenser hallowellii",NA,151802,"Acipenser oxyrinchus"
"Acipenser holbrookii",NA,151802,"Acipenser oxyrinchus"
"Acipenser kennicottii",NA,151802,"Acipenser oxyrinchus"
"Acipenser lecontei",NA,151802,"Acipenser oxyrinchus"
"Acipenser lichtensteinii",NA,151802,"Acipenser oxyrinchus"
"Acipenser macrorhinus",NA,151802,"Acipenser oxyrinchus"
"Acipenser oxyrhynchus","misspelling",151802,"Acipenser oxyrinchus"
"Acipenser oxyrhynchus desotoi","misspelling",151802,"Acipenser oxyrinchus"
"Acipenser oxyrhynchus oxyrhynchus","misspelling",151802,"Acipenser oxyrinchus"
"Acipenser oxyrinchus de sotoi","misspelling",151802,"Acipenser oxyrinchus"
"Acipenser oxyrinchus desotoi",NA,151802,"Acipenser oxyrinchus"
"Acipenser oxyrinchus oxyrinchus",NA,151802,"Acipenser oxyrinchus"
"Sturio accipenser",NA,151802,"Acipenser oxyrinchus"
"Acipenser colchicus",NA,238344,"Acipenser persicus"
"Acipenser gueldenstadti colchica",NA,238344,"Acipenser persicus"
"Acipenser gueldenstaedti colchicus","misspelling",238344,"Acipenser persicus"
"Acipenser gueldenstaedti persicus",NA,238344,"Acipenser persicus"
"Acipenser gueldenstaedtii colchicus",NA,238344,"Acipenser persicus"
"Acipenser güldenstädti persicus","synonym",238344,"Acipenser persicus"
"Acipenser dubius",NA,233941,"Acipenser ruthenus"
"Acipenser dubius",NA,233941,"Acipenser ruthenus"
"Acipenser gmelini",NA,233941,"Acipenser ruthenus"
"Acipenser jeniscensis","synonym",233941,"Acipenser ruthenus"
"Acipenser jenisensis",NA,233941,"Acipenser ruthenus"
"Acipenser kamensis",NA,233941,"Acipenser ruthenus"
"Acipenser kankreni",NA,233941,"Acipenser ruthenus"
"Acipenser kostera",NA,233941,"Acipenser ruthenus"
"Acipenser lovetzkyi",NA,233941,"Acipenser ruthenus"
"Acipenser marsiglii",NA,233941,"Acipenser ruthenus"
"Acipenser pygmaeus",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenicus",NA,233941,"Acipenser ruthenus"
"Acipenser ruthensis","misspelling",233941,"Acipenser ruthenus"
"Acipenser ruthenus alba",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus albinea",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus birostrata",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus brevirostris",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus erytraea",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus grisescens","synonym",233941,"Acipenser ruthenus"
"Acipenser ruthenus leucotica",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus obtusirostris",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus rutzskyi",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus ruzskyi","misspelling",233941,"Acipenser ruthenus"
"Acipenser ruthenus septemcarinata",NA,233941,"Acipenser ruthenus"
"Acipenser ruthenus var. alba","synonym",233941,"Acipenser ruthenus"
"Acipenser ruthenus var. albinea","synonym",233941,"Acipenser ruthenus"
"Acipenser ruthenus var. birostrata","synonym",233941,"Acipenser ruthenus"
"Acipenser ruthenus var. brevirostris","ambiguous synonym",233941,"Acipenser ruthenus"
"Acipenser ruthenus var. erytraea","synonym",233941,"Acipenser ruthenus"
"Acipenser ruthenus var. obtusirostra","synonym",233941,"Acipenser ruthenus"
"Acipenser ruthenus var. septemcarinata","synonym",233941,"Acipenser ruthenus"
"Acipenser sterlet",NA,233941,"Acipenser ruthenus"
"Sterledus ruthenus","superseded new combination; misspelling: generic noun",233941,"Acipenser ruthenus"
"Sterledus ruthenus sibiricus","junior synonym; change in rank: var. --> ssp.",233941,"Acipenser ruthenus"
"Sterledus ruthenus var. sibiricus","junior synonym",233941,"Acipenser ruthenus"
"Acipenser baeri schrencki",NA,271698,"Acipenser schrenckii"
"Acipenser multiscutatus",NA,271698,"Acipenser schrenckii"
"Acipenser schrencki","misspelling",271698,"Acipenser schrenckii"
"Acipenser schrenki","misspelling",271698,"Acipenser schrenckii"
"Sturio schrenckii",NA,271698,"Acipenser schrenckii"
"Acipenser kikuchii",NA,271699,"Acipenser sinensis"
"Acipenser helops",NA,126278,"Acipenser stellatus"
"Acipenser ratzeburgii",NA,126278,"Acipenser stellatus"
"Acipenser rostratus",NA,126278,"Acipenser stellatus"
"Acipenser seuruga",NA,126278,"Acipenser stellatus"
"Acipenser stellatus danubialis",NA,126278,"Acipenser stellatus"
"Acipenser stellatus donensis",NA,126278,"Acipenser stellatus"
"Acipenser stellatus illyricus",NA,126278,"Acipenser stellatus"
"Accipenser attilus",NA,126279,"Acipenser sturio"
"Accipenser sturio","misspelling",126279,"Acipenser sturio"
"Acipenser attilus",NA,126279,"Acipenser sturio"
"Acipenser ducissae",NA,126279,"Acipenser sturio"
"Acipenser europaeus",NA,126279,"Acipenser sturio"
"Acipenser fitzingeri","misspelling",126279,"Acipenser sturio"
"Acipenser fitzingerii",NA,126279,"Acipenser sturio"
"Acipenser hospitus",NA,126279,"Acipenser sturio"
"Acipenser laevissimus",NA,126279,"Acipenser sturio"
"Acipenser latirostris",NA,126279,"Acipenser sturio"
"Acipenser milberti",NA,126279,"Acipenser sturio"
"Acipenser nehelae",NA,126279,"Acipenser sturio"
"Acipenser podapos",NA,126279,"Acipenser sturio"
"Acipenser stureio",NA,126279,"Acipenser sturio"
"Acipenser sturioides",NA,126279,"Acipenser sturio"
"Acipenser thompsonii",NA,126279,"Acipenser sturio"
"Acipenser valenciennii",NA,126279,"Acipenser sturio"
"Acipenser yarrellii",NA,126279,"Acipenser sturio"
"Arcipenser sturio","misspelling",126279,"Acipenser sturio"
"Sturio vulgaris",NA,126279,"Acipenser sturio"
"Acipenser aleutensis","synonym",238345,"Acipenser transmontanus"
"Myleus oligacanthus",NA,1022108,"Acnodon oligacanthus"
"Acreichtyes hajam","misspelling",277765,"Acreichthys hajam"
"Monacanthus hajam",NA,277765,"Acreichthys hajam"
"Monacanthus radiatus",NA,277766,"Acreichthys radiatus"
"Acreichthy tomento",NA,220054,"Acreichthys tomentosus"
"Acreichthys tomento",NA,220054,"Acreichthys tomentosus"
"Balistes tomentosus",NA,220054,"Acreichthys tomentosus"
"Monacanthus Blochii","junior synonym",220054,"Acreichthys tomentosus"
"Monacanthus tomentosus",NA,220054,"Acreichthys tomentosus"
"Monacanthus trichurus","junior synonym",220054,"Acreichthys tomentosus"
"Parvagor tomentosus","misspelling",220054,"Acreichthys tomentosus"
"Pervagor tomentosus",NA,220054,"Acreichthys tomentosus"
"Stephanolepis tomentosus",NA,220054,"Acreichthys tomentosus"
"Acrobrycon tarijae",NA,1014848,"Acrobrycon ipanquianus"
"Astyanax ipanquianus",NA,1014848,"Acrobrycon ipanquianus"
"Hemibrycon ipanquianus",NA,1014848,"Acrobrycon ipanquianus"
"Tetragonopterus ipanquianus","synonym",1014848,"Acrobrycon ipanquianus"
"Acrocheilus alutaceum",NA,592842,"Acrocheilus alutaceus"
"Lavinia alutacea",NA,592842,"Acrocheilus alutaceus"
"Acrochordonichthys chamaleon",NA,1470219,"Acrochordonichthys chamaeleon"
"Acrochordonichthys chameleon",NA,1470219,"Acrochordonichthys chamaeleon"
"Sosia chamaeleon",NA,1470219,"Acrochordonichthys chamaeleon"
"Sosia chamaleon",NA,1470219,"Acrochordonichthys chamaeleon"
"Acrochordonichthys buettikoferi","synonym",1018582,"Acrochordonichthys rugosus"
"Acrochordonichthys melanogaster",NA,1018582,"Acrochordonichthys rugosus"
"Acrochordonichthys obscurus",NA,1018582,"Acrochordonichthys rugosus"
"Acrochordonichthys platycephalus","synonym",1018582,"Acrochordonichthys rugosus"
"Acrochordonichthys pleurostigma",NA,1018582,"Acrochordonichthys rugosus"
"Acrochordonichthys varius","synonym",1018582,"Acrochordonichthys rugosus"
"Acrochordonichthys zonatus",NA,1018582,"Acrochordonichthys rugosus"
"Pimelodus melanogaster","synonym",1018582,"Acrochordonichthys rugosus"
"Pimelodus pleurostigma","synonym",1018582,"Acrochordonichthys rugosus"
"Pimelodus rugosus","synonym",1018582,"Acrochordonichthys rugosus"
"Pimelodus zonatus","synonym",1018582,"Acrochordonichthys rugosus"
"Sosia chamaeleon pallida","junior synonym",1018582,"Acrochordonichthys rugosus"
"Acrochordonichthys septemtrionalis",NA,1010047,"Acrochordonichthys septentrionalis"
"Promyllantor alcocki",NA,275420,"Acromycter alcocki"
"Promyllantor nezumi",NA,275423,"Acromycter nezumi"
"Ariosoma perturbator",NA,158564,"Acromycter perturbator"
"Acropoma japonica","misspelling",220048,"Acropoma japonicum"
"Acropoma japonicus","misspelling",220048,"Acropoma japonicum"
"Acropoma japononicum","misspelling",220048,"Acropoma japonicum"
"Synagrops japonicus",NA,220048,"Acropoma japonicum"
"Synagrops splendens",NA,220048,"Acropoma japonicum"
"Lissochilus aluoiensis",NA,1026759,"Acrossocheilus aluoiensis"
"Poropuntius aluoiensis",NA,1026759,"Acrossocheilus aluoiensis"
"Poropuntius baolacensis",NA,1009904,"Acrossocheilus baolacensis"
"Acrossocheilus wenchowensis beijiangensis",NA,279499,"Acrossocheilus beijiangensis"
"Lissochilus clivosius",NA,1026760,"Acrossocheilus clivosius"
"Lissochilus laocaiensis",NA,1026760,"Acrossocheilus clivosius"
"Acrossochilus rabaudi",NA,1016057,"Acrossocheilus fasciatus"
"Barbus lissochiloides","junior synonym",1016057,"Acrossocheilus fasciatus"
"Crossocheilus styani","junior synonym",1016057,"Acrossocheilus fasciatus"
"Crossochilus fasciatus","synonym",1016057,"Acrossocheilus fasciatus"
"Crossochilus styani","synonym",1016057,"Acrossocheilus fasciatus"
"Barbus hemispinus","synonym",1016357,"Acrossocheilus hemispinus"
"Lissochilus ikedai",NA,313594,"Acrossocheilus ikedai"
"Poropuntius ikedai",NA,313594,"Acrossocheilus ikedai"
"Acrossocheilus iridescens iridescens",NA,279500,"Acrossocheilus iridescens"
"Barbus barbodon",NA,279500,"Acrossocheilus iridescens"
"Barbus paradoxus quinquefasciatus",NA,279500,"Acrossocheilus iridescens"
"Cyclocheilichthys iridescens",NA,279500,"Acrossocheilus iridescens"
"Acrossocheilus cinctus","junior synonym",1018165,"Acrossocheilus kreyenbergii"
"Acrossocheilus hemispinus cinctus","junior synonym",1018165,"Acrossocheilus kreyenbergii"
"Barbus hemispinus cincta","junior synonym",1018165,"Acrossocheilus kreyenbergii"
"Barbus hemispinus cinctus",NA,1018165,"Acrossocheilus kreyenbergii"
"Barbus kreyenbergii","senior synonym",1018165,"Acrossocheilus kreyenbergii"
"Gymnostomus kreyenbergii",NA,1018165,"Acrossocheilus kreyenbergii"
"Varicorhinus kreyenbergii","senior synonym",1018165,"Acrossocheilus kreyenbergii"
"Lissochilus lamus",NA,1012611,"Acrossocheilus lamus"
"Acrossocheilus iridescens zhujiangensis","synonym",1011580,"Acrossocheilus longipinnis"
"Acrossocheilus stenotaeniatus",NA,1011580,"Acrossocheilus longipinnis"
"Lissochilus longipinnis","synonym",1011580,"Acrossocheilus longipinnis"
"Masticbarbus pentafasciatus","junior synonym",1011580,"Acrossocheilus longipinnis"
"Acrossocheilus iridescens yuanjiangensis",NA,1012710,"Acrossocheilus microstoma"
"Cyclocheilichthys microstoma","synonym",1012710,"Acrossocheilus microstoma"
"Crossocheilus monticola","senior synonym",1019755,"Acrossocheilus monticola"
"Crossochilus monticola",NA,1019755,"Acrossocheilus monticola"
"Acrossocheilus formosanus","junior synonym",1016878,"Acrossocheilus paradoxus"
"Acrossocheilus invirgatus","synonym",1016878,"Acrossocheilus paradoxus"
"Acrossocheilus labiatus","junior synonym",1016878,"Acrossocheilus paradoxus"
"Barbus matsudai","synonym",1016878,"Acrossocheilus paradoxus"
"Barbus paradoxus",NA,1016878,"Acrossocheilus paradoxus"
"Gymnostomus formosanus","synonym",1016878,"Acrossocheilus paradoxus"
"Gymnostomus labiatus","synonym",1016878,"Acrossocheilus paradoxus"
"Leuciscus labiatus","junior synonym",1016878,"Acrossocheilus paradoxus"
"Lissocholichthys matsudai","junior synonym",1016878,"Acrossocheilus paradoxus"
"Barbus parallens",NA,1015804,"Acrossocheilus parallens"
"Barbus rendahli",NA,1015803,"Acrossocheilus rendahli"
"Barbus wenchowensis",NA,279501,"Acrossocheilus wenchowensis"
"Barbus yunnanensis","ambiguous synonym",1018631,"Acrossocheilus yunnanensis"
"Rhinobatos annulatus",NA,871953,"Acroteriobatus annulatus"
"Rhinobatus annulatus","misspelling",871953,"Acroteriobatus annulatus"
"Rhinobatos blochi","misspelling",1022262,"Acroteriobatus blochii"
"Rhinobatos blochii",NA,1022262,"Acroteriobatus blochii"
"Rhinobatus blochii","misspelling",1022262,"Acroteriobatus blochii"
"Rhinobatos leucospilus",NA,1016293,"Acroteriobatus leucospilus"
"Rhinobatus leucospilus","misspelling",1016293,"Acroteriobatus leucospilus"
"Rhinobatos ocellatus","Superseded original combination",1016275,"Acroteriobatus ocellatus"
"Rhinobatus ocellatus","misspelling",1016275,"Acroteriobatus ocellatus"
"Rhinobatos salalah",NA,1043598,"Acroteriobatus salalah"
