"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-032",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","469.6902",,"66182",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-198",,"species.not.observed.in.region.before","Cheloniidae","Unknown","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-198",,"too big","Nemipteridae","Scaevius","milii","1","170.68842",,"15195",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-198",,"too big","Nemipteridae","Scaevius","milii","1","221.50842",,"15275",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-198",,"too big","Nemipteridae","Scaevius","milii","1","186.5795",,"15477",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-200",,"too big","Bothidae","Unknown","spp","1","204.17693",,"80704",,"27.0520672683532","153.295047854002","180.347115122355",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-200",,"too big","Terapontidae","Pelates","octolineatus","2","951.93569",,"65795",,"42","238","280",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-201",,"species.not.observed.in.region.before","Elapidae","Hydrophis","major",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-201",,"species.not.in.life.history.sheet","Bothidae","Hyporhamphus","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-202",,"too big","Clupeidae","Herklotsichthys","blackburni","4","108.06736",,"17388",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-202",,"too big","Clupeidae","Herklotsichthys","blackburni","4","101.17079",,"17388",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-202",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","480.76944",,"34176",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","1","71.67669",,"21113",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","2","86.96646",,"21131",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","2","82.38667",,"21138",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","1","78.83529",,"21138",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","1","76.22371",,"21163",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","1","42.83512",,"21174",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","1","52.08891",,"21179",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","2","50.97273",,"21183",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","2","88.5815",,"21186",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-203",,"too small","Carangidae","Gnathanodon","speciosus","1","99.53082",,"21204",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-204",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","454.10096",,"42653",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-205",,"too small","Carangidae","Gnathanodon","speciosus","1","146.22219",,"23651",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-205",,"too small","Carangidae","Gnathanodon","speciosus","1","166.8493",,"23673",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-205",,"too small","Carangidae","Gnathanodon","speciosus","1","146.61865",,"23733",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-205",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","479.81098",,"52345",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C33-206",,"too big","Tetraodontidae","Torquigener","spp","1","143.28242",,"11611",,"22.4045454805548","126.959091056477","149.363636537032",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C34-034",,"too small","Echeneidae","Echeneis","naucrates","1","146.21497",,"36931",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C34-034",,"too big","Clupeidae","Herklotsichthys","blackburni","7","102.41459",,"60398",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C35-213",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","462.76197",,"39652",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C35-215",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","500.86532",,"32618",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C35-215",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","500.77366",,"32763",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-036",,"species.not.observed.in.region.before","Phoxocephalidae","Birubius","maamus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-036",,"too big","Pinguipedidae","Parapercis","nebulosa","2","333.17539",,"28748",,"37.5","212.5","250",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-218",,"too big","Elopidae","Elops","spp","1","1011.74342",,"6576",,"178.5","1011.5","1190",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-218",,"too big","Mullidae","Upeneus","australiae","1","158.63682",,"62581",,"24","136","160",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-219",,"species.not.observed.in.region.before","Muricidae","Murexsul","octogonus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-221",,"too big","Mullidae","Upeneus","australiae","2","140.89201",,"25645",,"24","136","160",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-222",,"species.not.observed.in.region.before","Cheloniidae","Unknown","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C36-222",,"too big","Nemipteridae","Scaevius","milii","1","170.00077",,"38958",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C38-038",,"species.not.observed.in.region.before","Cheloniidae","Caretta","caretta",,,,,,,,,,,,
