"level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","qualifiers"
"Biota","Cnidaria","Corals","Stony corals","Branching",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Corymbose",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Digitate",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Encrusting",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Massive",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Solitary",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Solitary","Attached",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Solitary","Free-living",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Solitary","Mushroom (Fungiidae)",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Staghorn",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Tabulate",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals",,,,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Hydrocorals","Branching",,,,,,,,
"Biota","Cnidaria","Hydrocorals","Submassive / encrusting",,,,,,,,
"Biota","Cnidaria","Hydrocorals",,,,,,,,,
"Biota","Cnidaria","Hydroids",,,,,,,,,
"Biota","Cnidaria","True anemones","Flytrap",,,,,,,,
"Biota","Cnidaria","True anemones","Fourlobed",,,,,,,,
"Biota","Cnidaria","True anemones","Other anemones",,,,,,,,
"Biota","Cnidaria","True anemones",,,,,,,,,
"Biota","Cnidaria","Tube anemones",,,,,,,,,
"Biota","Cnidaria",,,,,,,,,,
"Biota","Crustacea","Barnacles","Acorn",,,,,,,,
"Biota","Crustacea","Barnacles","Stalked",,,,,,,,
"Biota","Crustacea","Barnacles",,,,,,,,,
"Biota","Crustacea","Crabs","King crabs",,,,,,,,
"Biota","Crustacea","Crabs","Porcelain crabs",,,,,,,,
"Biota","Crustacea","Crabs","True crabs",,,,,,,,
"Biota","Crustacea","Crabs",,,,,,,,,
"Biota","Crustacea","Hermit crabs","With anemones",,,,,,,,
"Biota","Crustacea","Hermit crabs","With shell or stone home ",,,,,,,,
"Biota","Crustacea","Hermit crabs",,,,,,,,,
"Biota","Crustacea","Lobsters","Rock lobsters",,,,,,,,
"Biota","Crustacea","Lobsters","Slipper lobsters / bugs",,,,,,,,
"Biota","Crustacea","Lobsters","Squat lobsters",,,,,,,,
"Biota","Crustacea","Lobsters","True lobsters",,,,,,,,
"Biota","Crustacea","Lobsters",,,,,,,,,
"Biota","Crustacea","Prawns / shrimps / mysids",,,,,,,,,
"Biota","Crustacea",,,,,,,,,,
"Biota","Echinoderms","Feather stars","Stalked crinoids",,,,,,,,
"Biota","Echinoderms","Feather stars","Unstalked crinoids",,,,,,,,
"Biota","Echinoderms","Feather stars",,,,,,,,,
"Biota","Echinoderms","Ophiuroids","Basket stars",,,,,,,,
"Biota","Echinoderms","Ophiuroids","Brittle / snake stars",,,,,,,,
"Biota","Echinoderms","Ophiuroids",,,,,,,,,
"Biota","Echinoderms","Sea cucumbers","Benthic",,,,,,,,
"Biota","Echinoderms","Sea cucumbers","Pelagic / swimming",,,,,,,,
"Biota","Echinoderms","Sea cucumbers",,,,,,,,,
"Biota","Echinoderms","Sea stars",,,,,,,,,
"Biota","Echinoderms","Sea urchins","Irregular urchins",,,,,,,,
"Biota","Echinoderms","Sea urchins","Regular urchins",,,,,,,,
"Biota","Echinoderms","Sea urchins",,,,,,,,,
"Biota","Echinoderms",,,,,,,,,,
"Biota","Fishes","Bony fishes",,,,,,,,,
"Biota","Fishes","Eels",,,,,,,,,
"Biota","Fishes","Elasmobranchs","Chimaeras",,,,,,,,
"Biota","Fishes","Elasmobranchs","Rays & skates",,,,,,,,
"Biota","Fishes","Elasmobranchs","Sharks",,,,,,,,
"Biota","Fishes","Elasmobranchs",,,,,,,,,
"Biota","Fishes",,,,,,,,,,
"Biota","Jellies","Ctenophores",,,,,,,,,
"Biota","Jellies","Cubozoa",,,,,,,,,
"Biota","Jellies","Hydromedusae",,,,,,,,,
"Biota","Jellies","Pyrosomes",,,,,,,,,
"Biota","Jellies","Salps",,,,,,,,,
"Biota","Jellies","Scyphozoa",,,,,,,,,
"Biota","Jellies","Siphonophores",,,,,,,,,
"Biota","Jellies",,,,,,,,,,
"Biota","Macroalgae","Articulated calcareous","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Articulated calcareous","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Articulated calcareous",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Encrusting","Brown",,,,,,,,
"Biota","Macroalgae","Encrusting","Green",,,,,,,,
"Biota","Macroalgae","Encrusting","Red",,,,,,,,
"Biota","Macroalgae","Encrusting","Red","Calcareous",,,,,,,
"Biota","Macroalgae","Encrusting","Red","Non-calcareous",,,,,,,
"Biota","Macroalgae","Encrusting",,,,,,,,,
"Biota","Macroalgae","Erect coarse branching","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Erect coarse branching","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Erect coarse branching","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Erect coarse branching",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Erect fine branching","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Erect fine branching","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Erect fine branching","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Erect fine branching",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Filamentous / filiform","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Filamentous / filiform","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Filamentous / filiform","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Filamentous / filiform",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Globose / saccate","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Globose / saccate","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Globose / saccate","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Globose / saccate",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Laminate","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Laminate","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Laminate","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Laminate",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Large canopy-forming","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Large canopy-forming","Brown",,,,,"Lessoniaceae","Ecklonia","radiata","Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Large canopy-forming","Brown",,,,,"Seirococcaceae","Scytothalia","dorycarpa","Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Large canopy-forming","Brown",,,,,"Seirococcaceae","Phyllospora","spp","Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Large canopy-forming","Brown",,,,,"Sargassaceae","Sargassum","spp","Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Large canopy-forming",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Sheet-like / membraneous","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Sheet-like / membraneous","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"Biota","Macroalgae","Sheet-like / membraneous","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
