level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code
Cnidaria	Corals	Stony corals	Branching		Bleached	11290912
Cnidaria	Corals	Stony corals	Branching		Dead	11290912
Cnidaria	Corals	Stony corals	Branching		Recently dead	11290912
Cnidaria	Corals	Stony corals	Columnar			11290915
Cnidaria	Corals	Stony corals	Columnar		Alive	11290915
Cnidaria	Corals	Stony corals	Columnar		Recruit	11290915
Cnidaria	Corals	Stony corals	Columnar		Bleached	11290915
Cnidaria	Corals	Stony corals	Columnar		Dead	11290915
Cnidaria	Corals	Stony corals	Columnar		Recently dead	11290915
Cnidaria	Corals	Stony corals	Corymbose			11290910
Cnidaria	Corals	Stony corals	Corymbose		Alive	11290910
Cnidaria	Corals	Stony corals	Corymbose		Recruit	11290910
Cnidaria	Corals	Stony corals	Corymbose		Bleached	11290910
Cnidaria	Corals	Stony corals	Corymbose		Dead	11290910
Cnidaria	Corals	Stony corals	Corymbose		Recently dead	11290910
Cnidaria	Corals	Stony corals	Digitate			11290909
Cnidaria	Corals	Stony corals	Digitate		Alive	11290909
Cnidaria	Corals	Stony corals	Digitate		Recruit	11290909
Cnidaria	Corals	Stony corals	Digitate		Bleached	11290909
Cnidaria	Corals	Stony corals	Digitate		Dead	11290909
Cnidaria	Corals	Stony corals	Digitate		Recently dead	11290909
Cnidaria	Corals	Stony corals	Encrusting			11290908
Cnidaria	Corals	Stony corals	Encrusting		Alive	11290908
Cnidaria	Corals	Stony corals	Encrusting		Recruit	11290908
Cnidaria	Corals	Stony corals	Encrusting		Bleached	11290908
Cnidaria	Corals	Stony corals	Encrusting		Dead	11290908
Cnidaria	Corals	Stony corals	Encrusting		Recently dead	11290908
Cnidaria	Corals	Stony corals	Foliose / plate			11290907
Cnidaria	Corals	Stony corals	Foliose / plate		Alive	11290907
Cnidaria	Corals	Stony corals	Foliose / plate		Recruit	11290907
Cnidaria	Corals	Stony corals	Foliose / plate		Bleached	11290907
Cnidaria	Corals	Stony corals	Foliose / plate		Dead	11290907
Cnidaria	Corals	Stony corals	Foliose / plate		Recently dead	11290907
